company_key,signal_id,present,observed_date,strength,confidence,source,url
CHIPOLA BAPTIST ASSOCIATION|MARIANNA,ucc_renewal_window,false,,0,no active UCC filing for this company,quintel_ucc_model,
CHIPOLA BAPTIST ASSOCIATION|MARIANNA,ucc_termination_12mo,false,,0,not available in file: raw.ucc_fl carries no termination flag,quintel_ucc_model,
CHIPOLA BAPTIST ASSOCIATION|MARIANNA,fmcsa_new_dot_12mo,false,2016-04-14,0,DOT registration older than 12 months,fmcsa_census,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2877415
CHIPOLA BAPTIST ASSOCIATION|MARIANNA,fmcsa_fleet_size,true,20250515 0,0.200,"2 power units; size feature, not an intent signal",fmcsa_census,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2877415
CHIPOLA BAPTIST ASSOCIATION|MARIANNA,fmcsa_fleet_delta,false,,0,needs second snapshot; only one FMCSA pull exists (2026-09-03),fmcsa_census,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2877415
BELL CONCRETE PRODUCTS|BELL,ucc_renewal_window,false,,0,no active UCC filing for this company,quintel_ucc_model,
BELL CONCRETE PRODUCTS|BELL,ucc_termination_12mo,false,,0,not available in file: raw.ucc_fl carries no termination flag,quintel_ucc_model,
BELL CONCRETE PRODUCTS|BELL,fmcsa_new_dot_12mo,false,1990-01-29,0,DOT registration older than 12 months,fmcsa_census,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=379935
BELL CONCRETE PRODUCTS|BELL,fmcsa_fleet_size,true,20250909 0,1.000,"14 power units; size feature, not an intent signal",fmcsa_census,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=379935
BELL CONCRETE PRODUCTS|BELL,fmcsa_fleet_delta,false,,0,needs second snapshot; only one FMCSA pull exists (2026-09-03),fmcsa_census,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=379935
ULLRICHS WATER CONDITIONING SERVICE|WAUCHULA,ucc_renewal_window,false,,0,no active UCC filing for this company,quintel_ucc_model,
ULLRICHS WATER CONDITIONING SERVICE|WAUCHULA,ucc_termination_12mo,false,,0,not available in file: raw.ucc_fl carries no termination flag,quintel_ucc_model,
ULLRICHS WATER CONDITIONING SERVICE|WAUCHULA,fmcsa_new_dot_12mo,false,2013-11-04,0,DOT registration older than 12 months,fmcsa_census,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2451335
ULLRICHS WATER CONDITIONING SERVICE|WAUCHULA,fmcsa_fleet_size,true,20251030 0,0.900,"9 power units; size feature, not an intent signal",fmcsa_census,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2451335
ULLRICHS WATER CONDITIONING SERVICE|WAUCHULA,fmcsa_fleet_delta,false,,0,needs second snapshot; only one FMCSA pull exists (2026-09-03),fmcsa_census,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2451335
SEMINOLE TRUSSES|MIDWAY,ucc_renewal_window,false,,0,no active UCC filing for this company,quintel_ucc_model,
SEMINOLE TRUSSES|MIDWAY,ucc_termination_12mo,false,,0,not available in file: raw.ucc_fl carries no termination flag,quintel_ucc_model,
SEMINOLE TRUSSES|MIDWAY,fmcsa_new_dot_12mo,false,1995-11-14,0,DOT registration older than 12 months,fmcsa_census,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=620656
SEMINOLE TRUSSES|MIDWAY,fmcsa_fleet_size,true,20260316 1,0.600,"6 power units; size feature, not an intent signal",fmcsa_census,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=620656
SEMINOLE TRUSSES|MIDWAY,fmcsa_fleet_delta,false,,0,needs second snapshot; only one FMCSA pull exists (2026-09-03),fmcsa_census,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=620656
LAKE CITY INDUSTRIES|LAKE CITY,ucc_renewal_window,false,,0,no active UCC filing for this company,quintel_ucc_model,
LAKE CITY INDUSTRIES|LAKE CITY,ucc_termination_12mo,false,,0,not available in file: raw.ucc_fl carries no termination flag,quintel_ucc_model,
LAKE CITY INDUSTRIES|LAKE CITY,fmcsa_new_dot_12mo,false,1983-05-26,0,DOT registration older than 12 months,fmcsa_census,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=231625
LAKE CITY INDUSTRIES|LAKE CITY,fmcsa_fleet_size,true,20250730 0,0.700,"7 power units; size feature, not an intent signal",fmcsa_census,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=231625
LAKE CITY INDUSTRIES|LAKE CITY,fmcsa_fleet_delta,false,,0,needs second snapshot; only one FMCSA pull exists (2026-09-03),fmcsa_census,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=231625
GILCHRIST BUILDING SUPPLY|BELL,ucc_renewal_window,false,,0,no active UCC filing for this company,quintel_ucc_model,
GILCHRIST BUILDING SUPPLY|BELL,ucc_termination_12mo,false,,0,not available in file: raw.ucc_fl carries no termination flag,quintel_ucc_model,
GILCHRIST BUILDING SUPPLY|BELL,fmcsa_new_dot_12mo,false,1999-10-04,0,DOT registration older than 12 months,fmcsa_census,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=831364
GILCHRIST BUILDING SUPPLY|BELL,fmcsa_fleet_size,true,20260121 0,1.000,"11 power units; size feature, not an intent signal",fmcsa_census,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=831364
GILCHRIST BUILDING SUPPLY|BELL,fmcsa_fleet_delta,false,,0,needs second snapshot; only one FMCSA pull exists (2026-09-03),fmcsa_census,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=831364
DOMERS|OKEECHOBEE,ucc_renewal_window,false,,0,no active UCC filing for this company,quintel_ucc_model,
DOMERS|OKEECHOBEE,ucc_termination_12mo,false,,0,not available in file: raw.ucc_fl carries no termination flag,quintel_ucc_model,
DOMERS|OKEECHOBEE,fmcsa_new_dot_12mo,false,2008-07-28,0,DOT registration older than 12 months,fmcsa_census,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1796253
DOMERS|OKEECHOBEE,fmcsa_fleet_size,true,20250319 0,0.200,"2 power units; size feature, not an intent signal",fmcsa_census,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1796253
DOMERS|OKEECHOBEE,fmcsa_fleet_delta,false,,0,needs second snapshot; only one FMCSA pull exists (2026-09-03),fmcsa_census,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1796253
CROSS KEY MARINE CANVAS AND UPHOLSTERY|KEY LARGO,ucc_renewal_window,false,,0,no active UCC filing for this company,quintel_ucc_model,
CROSS KEY MARINE CANVAS AND UPHOLSTERY|KEY LARGO,ucc_termination_12mo,false,,0,not available in file: raw.ucc_fl carries no termination flag,quintel_ucc_model,
CROSS KEY MARINE CANVAS AND UPHOLSTERY|KEY LARGO,fmcsa_new_dot_12mo,false,1999-08-23,0,DOT registration older than 12 months,fmcsa_census,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=824354
