company,fit_flag,alek_signal,lender_note,lane,line_type,cnam_match,lien_age_months,ucc_status,ucc_secured_party,ucc_lender_class,power_units,equipment_ticket,crm,funded,david_colour,outcome,human_reached,owner_reached,david_comment
"Stonewall Towing & Recovery, Llc",DELIVERED,EXPANSION;HOT;lien_maturing,EXPANSION — 2026-05-15 — https://stonewalltowing.com/motorcoach-bus-heavy-equipment-t,W_TOW,mobile,other,58,maturing,NAVITAS CREDIT CORP.,ef_independent,4,TOWING (conf M),no,0,,no_decision,0,0,Stright to MB. LVM for Stephanie. Offered promo rates
Southern Septic,DELIVERED,EXPANSION;HOT;lien_maturing,"Own post: launched ATU drain field installation service in Palm Beach, 2026-08-10, newsroom.xpr.media | other liens on file: CAPTIVE:KUBOTA CREDIT CORPORATION, U.S:2021-12-17",A_VAC,mobile,owner,53,maturing,NAVITAS CREDIT CORP.,ef_independent,6,septic (conf M),no,0,,no_decision,0,0,AI Assitant screened. Offered promo rates
All City Septic Inc.,DELIVERED;PCF_SOURCE_FUNDER,HIRE_OPS;HOT;lien_maturing,HIRE_OPS — 2026-08-26 — https://www.linkedin.com/in/matthew-rico-876786269,A_VAC,tollFree,none,52,maturing,"LEAF CAPITAL FUNDING, LLC",pcf_source,6,septic (conf H),yes,0,existing,existing_lead,0,0,DO NOT CALL. APP in.
Top Shelf Tree Service And Landscaping Llc,DELIVERED,NEW_DOT;HOT;lien_maturing,"New DOT number 2026-05-05 (4 units) per FMCSA census | other liens on file: BANK:WELLS FARGO VENDOR FINANCIAL S:2020-11-17;INDEP_EF:WESTERN EQUIPMENT FINANCE, INC:2021-07-20",T_TREE,mobile,surname,49,maturing,WESTERN EQUIPMENT FINANCE,ef_independent,4,T_TREE (conf L),no,0,,no_decision,0,0,LVM for Pat. Offered promo rates
Accruate Transport,DELIVERED,NEW_DOT;HOT;lien_maturing,New DOT number 2026-03-30 (5 units) per FMCSA census,W_TOW,mobile,owner,47,maturing,OAKMONT CAPITAL HOLDINGS LLC,ef_independent,5,TOW (conf L),no,0,green,maybe_later,1,1,Brian is set now. OK with call back in a couple of months
Southern Environmental Group Llc,DELIVERED;PCF_SOURCE_FUNDER,EXPANSION;HOT;lien_maturing,EXPANSION — 2026-04-09 — https://southern-enviro.com/areas/,T_TREE,mobile,owner,45,maturing,"LEAF CAPITAL FUNDING, LLC",pcf_source,4,tree service & land clearing (conf M),yes,0,existing,existing_lead,0,0,DO NOT CALL. Rossie's lead
Liberty Hauling Services,DELIVERED;REV_BAND_EDGE,EXPANSION;HOT;lien_lapsed,"Launched same-day commercial dumpster rental service, 2026-08-26, company press release | other liens on file: MASKED:C T CORPORATION SYSTEM, AS REP:2023-06-22;OTHER:CHTD COMPANY:2026-07-30",R_ROLL,fixedVoip,surname,44,lapsed,COMMERCIAL CREDIT GROUP INC. ON BEHALF OF ITSELF AND ON BEHALF OF ALL AFFIL,ef_independent,3,roll-off (conf H),no,0,,no_decision,0,0,LMWS. Offered promo rate
Farina Tree Care Llc,DELIVERED;REV_BAND_EDGE,NEW_DOT;HOT;lien_lapsed,New DOT number 2025-09-21 (3 units) per FMCSA census,T_TREE,mobile,owner,67,lapsed,OAKMONT CAPITAL HOLDINGS LLC,ef_independent,3,tree (conf M),no,0,,no_decision,0,0,Straight to MB. Message asked for text instead. LVM. Offered promo rate
Dixie Directional Llc,DELIVERED;SINGLE_UNIT;REV_BAND_EDGE,LIEN_LAPSED;WARM;lien_lapsed,"Lien LAPSED: DE LAGE LANDEN FINANCIAL SERVICES, INC. 2021-05-28",P_PUMP,mobile,none,64,lapsed,"DE LAGE LANDEN FINANCIAL SERVICES, INC.",ef_independent,1,,no,0,,no_decision,0,0,Mark's VM. Offered promo rates
"Bradford Garbage Service, Inc.",DELIVERED;REV_BAND_EDGE,LIEN_LAPSED;WARM;lien_lapsed,Lien LAPSED: MERIDIAN EQUIPMENT FINANCE LLC 2021-03-26 | other liens on file: BANK:CAPITAL CITY BANK:2019-10-15,R_ROLL,unknown,none,66,lapsed,MERIDIAN EQUIPMENT FINANCE LLC,ef_independent,3,,no,0,yellow,dead,0,0,NIS
Gautier Tree & Landscape,DELIVERED,LIEN_LAPSED;WARM;lien_lapsed,"Lien LAPSED: WESTERN EQUIPMENT FINANCE, INC. 2020-09-08",T_TREE,fixedVoip,other,72,lapsed,"WESTERN EQUIPMENT FINANCE, INC.",ef_independent,6,T_TREE (conf L),no,0,red_font,dead,0,0,URL is down. Different company's name! LMIG. Offered promo rate
Jh Towing Inc.,DELIVERED;REV_BAND_EDGE,LIEN_LAPSED;WARM;lien_lapsed,Lien LAPSED: SIGNATURE FINANCIAL AND LEASINGL LLC 2020-05-21,W_TOW,fixedVoip,company,76,lapsed,SIGNATURE FINANCIAL AND LEASINGL LLC,ef_independent,3,,no,0,yellow,dead,1,0,Not buying anything anytime soon.
"Lolley'S Tree Service, Llc.",DELIVERED;REV_BAND_EDGE,LIEN_MATURING;WARM;lien_maturing,"Lien MATURING: WESTERN EQUIPMENT FINANCE, INC. 2019-12-27",T_TREE,fixedVoip,company,81,maturing,"WESTERN EQUIPMENT FINANCE, INC.",ef_independent,2,tree service (conf M),no,0,yellow,dead,1,0,John hanged up as soon as he heard financing
"G & G Concrete Pumping, Llc",DELIVERED,LIEN_MATURING;WARM;lien_maturing,Lien MATURING: INTERNATIONAL FINANCIAL SERVICES CORPORATION 2022-03-28,P_PUMP,mobile,surname,54,maturing,INTERNATIONAL FINANCIAL SERVICES CORPORATION,ef_independent,2,CONCRETE PUMP (conf M),no,0,,no_decision,0,0,LVM for Mike. Offered promo rate
"Fletcher'S Hauling, Inc.",DELIVERED,LIEN_MATURING;WARM;lien_maturing,"Lien MATURING: VERDANT COMMERCIAL CAPITAL, LLC 2022-04-29",R_ROLL,mobile,none,53,maturing,"VERDANT COMMERCIAL CAPITAL, LLC",ef_independent,5,ROLL (conf M),yes,0,yellow,dead,1,1,Bruce said they are all set no plans to buy anything for a long time
Professional Auto Transport,DELIVERED,LIEN_MATURING;WARM;lien_maturing,Lien MATURING: OAKMONT CAPITAL HOLDINGS LLC 2022-04-27 | other liens on file: CAPTIVE:TOYOTA INDUSTRIES COMMERCIAL F:2021-03-02,W_TOW,mobile,other,53,maturing,OAKMONT CAPITAL HOLDINGS LLC,ef_independent,4,TOWING (conf L),no,0,yellow,dead,1,0,Picked up and hanged up! Not a good indstry
Selective Land Clearing,DELIVERED,LIEN_MATURING;WARM;lien_maturing,"Lien MATURING: OAKMONT CAPITAL HOLDINGS LLC 2022-02-16 | other liens on file: BANK:FNCB BANK:2020-08-19;BANK:PNC EQUIPMENT FINANCE, LLC:2019-11-29;CAPTIVE:KUBOTA CREDIT CORPORATION, U.S:2019-10-03;CAPTIVE:KUBOTA CREDIT CORPORATION, U.S:2021-01-12;CAPTIVE:KUBOTA LEASING:2020-02-",T_TREE,mobile,surname,55,maturing,OAKMONT CAPITAL HOLDINGS LLC,ef_independent,4,land clearing (conf L),no,0,,no_decision,0,0,LMIG. Offered promo rates
Artistic Towing & Repair Inc,DELIVERED,LIEN_MATURING;WARM;lien_maturing,Lien MATURING: EASTERN FUNDING LLC 2022-02-10,W_TOW,fixedVoip,company,55,maturing,EASTERN FUNDING LLC,ef_independent,4,TOWING (conf L),no,0,yellow,dead,1,1,Emp said they are not looking for financing and hanged up
Alfie'S Heavy Towing & Transport Llc,DELIVERED,LIEN_MATURING;WARM;lien_maturing,Lien MATURING: MARLIN  LEASING CORP 2022-01-21,W_TOW,mobile,company,56,maturing,MARLIN  LEASING CORP,ef_independent,5,TOWING (conf L),no,0,yellow,dead,0,0,MB is full!
"Scott'S Affordable Towing, Inc.",DELIVERED,LIEN_MATURING;WARM;lien_maturing,"Lien MATURING: MITSUBISHI HC CAPITAL AMERICA, INC. 2022-01-04",W_TOW,nonFixedVoip,company,56,maturing,"MITSUBISHI HC CAPITAL AMERICA, INC.",ef_independent,5,TOWING (conf M),no,0,,no_decision,0,0,LMWS. Offered promo rate
Zamora Concrete And General Labor Corp,DELIVERED;PCF_SOURCE_FUNDER,LIEN_MATURING;WARM;lien_maturing,Lien MATURING: NORTH MILL CREDIT TRUST 2022-09-01,P_PUMP,mobile,owner,48,maturing,NORTH MILL CREDIT TRUST,pcf_source,3,concrete (conf L),no,0,,no_decision,0,0,AI Assitant screened. Offered promo rates
"After Hours Well & Pump, Llc",DELIVERED,LIEN_MATURING;WARM;lien_maturing,Lien MATURING: WESTERN EQUIPMENT FINANCE 2022-09-01,P_PUMP,mobile,none,48,maturing,WESTERN EQUIPMENT FINANCE,ef_independent,2,well & pump (conf L),no,0,,no_decision,0,0,LMIG. Offered promo rates
Venice Wrecker Service Inc.,DELIVERED,LIEN_MATURING;WARM;lien_maturing,"Lien MATURING: SIGNATURE FINANCIAL AND LEASING, LLC 2022-10-24",W_TOW,nonFixedVoip,company,47,maturing,"SIGNATURE FINANCIAL AND LEASING, LLC",ef_independent,7,WRECKER (conf M),no,0,yellow,dead,0,0,Generic MB. Dropped the call before I could leave a message
Magic Tows,DELIVERED,LIEN_MATURING;WARM;lien_maturing,Lien MATURING: BEACON FUNDING CORPORATION 2022-10-19,W_TOW,fixedVoip,company,47,maturing,BEACON FUNDING CORPORATION,ef_independent,4,,no,0,yellow,dead,1,0,"Guy answered. ""No man….we need nothing!"""
Waste Works Disposal Llc,DELIVERED,LIEN_MATURING;WARM;lien_maturing,Lien MATURING: COMMERCIAL CREDIT GROUP INC. ON BEHALF OF ITSELF AND ON BEHALF OF ALL AFFIL 2022-11-15,R_ROLL,nonFixedVoip,company,46,maturing,COMMERCIAL CREDIT GROUP INC. ON BEHALF OF ITSELF AND ON BEHALF OF ALL AFFIL,ef_independent,5,waste/dumpster (conf L),no,0,yellow,dead,1,1,Emp said Jake is not in and he is not interested in financing!
"Violet'S Roll-Off Service, Inc.",DELIVERED;REV_BAND_EDGE,LIEN_LAPSED;WARM;lien_lapsed,"Lien LAPSED: DE LAGE LANDEN FINANCIAL SERVICES, INC. 2021-06-25 | other liens on file: OTHER:CUSTOM TRUCK CAPITAL:2026-09-08",R_ROLL,mobile,none,63,lapsed,"DE LAGE LANDEN FINANCIAL SERVICES, INC.",ef_independent,2,roll-off dumpster (conf M),no,0,yellow,dead,0,0,LMWS. Offered promo rate
Central Florida Sitework,DELIVERED;REV_BAND_EDGE,LIEN_LAPSED;WARM;lien_lapsed,Lien LAPSED: DLL FINANCE LLC 2021-06-03,T_TREE,fixedVoip,none,63,lapsed,DLL FINANCE LLC,ef_independent,2,T_TREE (conf M),no,0,yellow,dead,0,0,NIS
Roll-Off Services Of Florida,DELIVERED,LIEN_MATURING;WARM;lien_maturing,Lien MATURING: COMMERCIAL CREDIT GROUP INC. ON BEHALF OF ITSELF AND ON BEHALF OF ALL AFFIL 2022-12-22,R_ROLL,fixedVoip,surname,45,maturing,COMMERCIAL CREDIT GROUP INC. ON BEHALF OF ITSELF AND ON BEHALF OF ALL AFFIL,ef_independent,5,waste (conf L),no,0,yellow,dead,1,1,Randy said they are trying to sell the company. Getting out!
Mecko Concrete & Masonry Inc.,DELIVERED,LIEN_MATURING;WARM;lien_maturing,"Lien MATURING: FINANCIAL PACIFIC LEASING, INC. 2022-12-09",P_PUMP,mobile,other,45,maturing,"FINANCIAL PACIFIC LEASING, INC.",ef_independent,6,concrete & masonry (conf L),no,0,,no_decision,0,0,Straight to generic MB. Offered promo rates
"Boyett Timber, Inc.",DELIVERED,LIEN_MATURING;WARM;lien_maturing,Lien MATURING: FARM CREDIT LEASING SERVICES CORPORATION 2021-05-26,T_TREE,fixedVoip,company,64,maturing,FARM CREDIT LEASING SERVICES CORPORATION,ef_independent,5,timber/tree (conf M),no,0,,no_decision,0,0,Provided numner is NIS. Called (352) 583-2130. LMIG.
Trash Taxi Corp,DELIVERED;REV_BAND_EDGE,LIEN_LAPSED;WARM;lien_lapsed,Lien LAPSED: COMMERCIAL CREDIT GROUP INC. ON BEHALF OF ITSELF AND ON BEHALF OF ALL AFFIL 2023-02-27 | other liens on file: INDEP_EF:COMMERCIAL CREDIT GROUP INC. O:2023-02-27,R_ROLL,tollFree,none,43,lapsed,COMMERCIAL CREDIT GROUP INC. ON BEHALF OF ITSELF AND ON BEHALF OF ALL AFFIL,ef_independent,3,,no,0,,no_decision,0,0,LMIGMB. No promos
"Stan'S Pro Tows Of Florida, Llc",DELIVERED,LIEN_MATURING;WARM;lien_maturing,Lien MATURING: OLD NATIONAL EQUIPMENT FINANCE COMPANY 2023-02-09 | other liens on file: INDEP_EF:OLD NATIONAL EQUIPMENT FINANCE:2022-11-18,W_TOW,nonFixedVoip,other,43,maturing,OLD NATIONAL EQUIPMENT FINANCE COMPANY,ef_independent,4,TOW (conf L),no,0,,no_decision,0,0,LMWS. Offered promo rate
"Clean Sweep & Vac, Llc",DELIVERED;REV_BAND_EDGE,LIEN_LAPSED;WARM;lien_lapsed,Lien LAPSED: TARGETED LEASE CAPITAL LLC 2021-02-04,A_VAC,nonFixedVoip,none,67,lapsed,TARGETED LEASE CAPITAL LLC,ef_independent,2,vacuum/street sweeper (conf M),no,0,yellow,dead,0,0,Line 1 is blocked. Different number online 772 349-9311. LMIGMB
Jb Towing Service Llc,DELIVERED,LIEN_LAPSED;WARM;lien_lapsed,"Lien LAPSED: NEW EQUIPMENT LEASING, INC. 2021-02-03",W_TOW,mobile,company,67,lapsed,"NEW EQUIPMENT LEASING, INC.",ef_independent,5,,no,0,yellow,dead,1,1,Brooke said they have a full fleet. Not buying anymore
"""Towpros Towing & Recovery Llc """,DELIVERED;REV_BAND_EDGE,LIEN_LAPSED;WARM;lien_lapsed,"Lien LAPSED: ""EASTERN FUNDING LLC "" 2023-06-22",W_TOW,mobile,none,39,lapsed,"""EASTERN FUNDING LLC """,ef_independent,2,tow truck (conf M),no,0,,no_decision,0,0,LMWS. Sec didn't want to know why I was calling!
Quality Tree Care Inc,DELIVERED,LIEN_LAPSED;WARM;lien_lapsed,"Lien LAPSED: DE LAGE LANDEN FINANCIAL SERVICES, INC. 2020-11-19",T_TREE,landline,company,70,lapsed,"DE LAGE LANDEN FINANCIAL SERVICES, INC.",ef_independent,4,tree service (conf H),no,0,,no_decision,0,0,LVM . Offered promo rates
Affordable Well Drilling And Service Inc.,DELIVERED,LIEN_MATURING;WARM;lien_maturing,Lien MATURING: PEOPLE'S UNITED EQUIPMENT FINANCE CORP. 2020-10-16 | other liens on file: BANK:U.S. SMALL BUSINESS ADMINISTRA:2020-12-03,P_PUMP,fixedVoip,company,71,maturing,PEOPLE'S UNITED EQUIPMENT FINANCE CORP.,ef_independent,4,well drilling (conf L),no,0,,no_decision,0,0,LMWS. Offered promo rate.
"Payless Pumping, Inc.",DELIVERED;REV_BAND_EDGE,LIEN_LAPSED;WARM;lien_lapsed,"Lien LAPSED: WESTERN EQUIPMENT FINANCE, INC. 2020-09-25",A_VAC,mobile,company,72,lapsed,"WESTERN EQUIPMENT FINANCE, INC.",ef_independent,2,septic/grease pumping (conf M),no,0,,no_decision,0,0,LMWS. Offered promo rate
Bayside Waste Services,DELIVERED;REV_BAND_EDGE,LIEN_LAPSED;WARM;lien_lapsed,"Lien LAPSED: HFH CAPITAL LLC 2020-09-23 | other liens on file: MCA:FUNDBOX:2020-03-25;OTHER:ACME COMPANY:2020-02-27;OTHER:AJ EQUITY GROUP LLC:2020-01-13;OTHER:FUNDING METRICS, LLC:2019-12-05;OTHER:FUNDING METRICS, LLC:2020-02-11",R_ROLL,mobile,none,72,lapsed,HFH CAPITAL LLC,ef_independent,4,,no,0,,no_decision,0,0,LMIG. Offered promo rates
