company,segment,lane,line_type,cnam_match,crm,david_colour,outcome,human_reached,owner_reached,says_cash_buyer,hung_up,ai_screened,david_comment,david_action
S&T TRACTOR WORX LLC,LIEN,B,mobile,surname,no,dead,dead,True,False,False,True,False,Sec hanged up as soon as I asked for Lawrence,Email
D & H SAND INC.,LIEN,B,mobile,owner,yes,,no_decision,False,False,False,False,False,No answer. LMIG. Offered promos rates,Email
"HOWARD SEPTIC TANK SERVICE, INC.",LIEN,A_VAC,mobile,none,yes,,maybe_later,True,False,False,False,False,LMWS. She said no plans to buy anything. OK with call back in 6 months,Email
ODOM FORESTRY LLC,LIEN,B,mobile,owner,no,dead,dead,True,True,False,True,True,iPhone AI screened. Hanged up after he heard Providence,Email
ATLANTIC TRASH & TRANSFER LLC,LIEN,C,mobile,company,no,dead,dead,True,True,False,True,False,LMIG. Offered promo rates - Called back and hanged up as soon as she heard financing,Email
MARTY TAYLOR LAND CLEARING LLC,LIEN,A_DIRT,fixedVoip,owner,no,dead,unreachable,False,False,False,False,False,NIS,
"JUAREZ M&M CONSTRUCTION, INC.",LIEN,A_DIRT,landline,company,no,dead,unreachable,False,False,False,False,False,MB is not set up,
"CERTIFIED SERVICE CENTER, INC.",LIEN,C,nonFixedVoip,other,no,,dead,True,True,False,True,False,Greg said he is not interested and hanged up,
BAKER CONCRETE PUMPING INC,LIEN,B,fixedVoip,company,active,existing,existing_lead,False,False,False,False,False,DO NOT CALL. Active lead - No traction,
BOSWELL SEPTIC SERVICE LLC,LIEN,A_VAC,fixedVoip,company,no,,no_decision,False,False,False,False,False,LVM for Brett. Offered promo rates,
"J CURRY FARMS, LLC",LIEN,A_DIRT,mobile,none,no,dead,dead,True,True,True,False,False,"Guy answered by saying ""hello"". He said he is all set with financing",
JUAN MONTES SOD LLC,LIEN,B,mobile,owner,yes,,no_decision,False,False,False,False,False,LMIGMB. Offered promo rates,
SW LAND CLEARING LLC,LIEN,A_DIRT,mobile,owner,active,existing,existing_lead,False,False,False,False,False,DO NOT CALL. Active lead - No traction,
TAYLOR SEPTIC SERVICES LLC.,LIEN,A_VAC,mobile,owner,no,,no_decision,True,False,False,False,False,LMWS. No promos. She didn't want to know why I was calling!,
"BIG GREEN BINS, LLC",LIEN,C,mobile,none,no,dead,dead,True,False,False,False,False,Sara said they are a franchise and use preferred & approved lenders,
"BURNSED TRANSPORT, LLC",LIEN,B,mobile,none,no,,no_decision,False,False,False,False,False,LMIGMB. Offered promo rates,
CALOHN WASTE LLC,LIEN,C,mobile,other,no,maybe,maybe_later,True,False,False,False,False,Sec said no current needs. Maybe in Spring,
"CHANCEY BOHANNAN SEPTIC AND PORTA-JON, LLC",LIEN,A_VAC,mobile,company,no,,no_decision,False,False,False,False,False,Straight to GMB. Offered promo rates,
LAZARO'S FINE GRADING L.L.C,LIEN,A_DIRT,mobile,owner,no,,no_decision,False,False,False,False,False,Straight to GMB. Offered promo rates,
"PURVIS PUMPING SERVICES, INC.",LIEN,A_VAC,mobile,none,no,,no_decision,False,False,False,False,False,Straight to GMB. Offered promo rates,
A-C TOWING LLC,LIEN,C,mobile,none,no,dead,dead,True,True,False,True,True,iPhone AI screened. Hanged up after he heard Providence,
STEPHEN MADDEN SEPTIC SERVICES INC,LIEN,A_VAC,fixedVoip,company,no,dead,dead,True,True,False,False,False,"Marie answered and said ""they"" are good and don't need financing",
ENSLEY SEPTIC TANK SERVICE INC,LIEN,A_VAC,landline,company,no,followup,followup,True,False,False,False,False,Sec said Anges never comes in! She said call back. No one was in office,
MATT'S HAULING LLC,LIEN,B,mobile,owner,no,dead,dead,True,True,False,True,False,"Matt hanged up as soon as he heard financing. He answered by saying ""hello""",
"JC CONCRETE PUMPING, INC.",LIEN,B,mobile,surname,no,followup,followup,False,True,False,False,False,Has 3 boom trucks. One is payong off Oct. wants to buy more in 6 months. Intro email sent,
"360 GREASE PATROL, LLC",NOLIEN,A_VAC,mobile,company,no,dead,dead,True,True,False,False,False,LVM. Offered promo rates. Called back. Not interested. Does not want follow up,
ALL PRO SEPTIC SERVICES LLC,NOLIEN,A_VAC,mobile,company,no,maybe,maybe_later,True,False,False,False,False,Sec said they don't need eqp. OK with call back in 6 months,
"ELROD SEPTIC SERVICE, LLC",NOLIEN,A_VAC,mobile,company,no,,no_decision,True,False,False,False,False,LMWS (dog barking in background). Offered promo rate,
"ASAP, INC.",NOLIEN,A_DIRT,mobile,none,no,,no_decision,True,False,False,False,False,LMWS. Offered promo rate,
"DARRELL CREWS SEPTIC TANK SERVICE ""LLC""",NOLIEN,A_VAC,mobile,company,yes,,no_decision,False,False,False,False,False,"No operator or DBN (3 ext., but no live person). LMIG. No promos",
"DESOTO SAND & FILL, INC.",NOLIEN,B,mobile,other,no,dead,dead,True,False,False,False,False,Sec said they are not looking for any financing. Does not want follow ups,
"EARTHGREEN FARMS, L.L.C.",NOLIEN,A_DIRT,mobile,none,no,maybe,maybe_later,True,True,False,False,False,LVMIG. Offered promo rates. Message said call Broady 850 673 7186. Called him. He is a dealer. Provided email. Gets 0-3 % rates from CAT and other manufactures.,
