company,lane,line_type,cnam_match,fit_flag,alek_signal,lien_age_months,ucc_status,lender,lender_class,power_units,crm,lp,gm,last_contact,david_colour,outcome,human_reached,owner_reached,name_added,david_comment
"Hanco Utilities, Inc.",A_VAC,landline,none,units_63,signal_B;renewal_window;independent_lender,39,unexpired,Oakmont Capital Holdings LLC,ef_independent,63,yes,Yes,Yes,2026-07-01,existing,existing_lead,False,False,False,Have been calling since 23. He is gone dark!
"Captain Commodes, Inc.",A_VAC,nonFixedVoip,company,single_unit,signal_B;independent_lender,7,unexpired,BEACON FUNDING CORPORATION,ef_independent,1,no,NO,NO,,blue,followup,True,False,False,On vacation. Call next week
"Urban Tree Service, LLC",B_CRANE,mobile,owner,,signal_B;independent_lender,16,unexpired,Oakmont Capital Holdings LLC,ef_independent,3,no,NO,NO,,,no_decision,False,False,False,Call is blocked! Added number from Website. LMIG.
Sewer Ninjas LLC,A_VAC,nonFixedVoip,company,,signal_B;independent_lender,18,unexpired,NCMIC Finance Corporation,ef_independent,,no,NO,NO,,,no_decision,False,False,False,LMWS. Sec didn't want to know why I was calling!
Bucklin's Tree Service,B_CRANE,nonFixedVoip,company,tax_liens;filed_<6mo;bank_lien,signal_B;bank_financed_ok_per_user,1,unexpired,Wolf River Community Bank,bank,,no,NO,NO,,yellow,dead,True,False,False,Sec hanged up as soon as she heard financing
Becker Sanitation,A_VAC,mobile,other,bank_lien;cnam_mismatch,signal_B;bank_financed_ok_per_user,16,unexpired,Western Equipment Finance,bank,3,no,NO,NO,,,no_decision,False,False,False,LMIG. Offered promo rate
Kopitzke Forest Products LLC,B_CRANE,mobile,company,bank_lien,signal_B;bank_financed_ok_per_user,20,unexpired,BONDUEL STATE BANK,bank,4,no,NO,NO,,,no_decision,False,False,False,iPhone AI screen. LVM. Offered promo rate
"PUSH, Inc.",B_AERIAL,nonFixedVoip,company,bank_lien;units_8,signal_B;bank_financed_ok_per_user,39,unexpired,JOHNSON BANK,bank,8,no,NO,NO,,blue,followup,True,False,False,Sec woudn't transfer the call to Chase! Call back and ask for Phil Fader CFO
DTAK LLC,B_CRANE,landline,company,units_10,signal_A;bank_financed_ok_per_user,75,unexpired,U.S. Small Business Administration,sba,10,no,NO,NO,,yellow,dead,False,False,False,Tom is not in DBN. Second number goes to Drew. LVM. Offered promo rate
"Arnold's Environmental Services, Inc.",A_VAC,landline,none,bank_lien;lien_lapsed,signal_B;bank_financed_ok_per_user,116,historical,STATE BANK OF NEWBURG,bank,,no,NO,NO,,,no_decision,False,False,False,LVM. Offered promo rate
Island Septic,A_VAC,nonFixedVoip,other,bank_lien;lien_lapsed;cnam_mismatch,signal_B;phone_single_source;bank_financed_ok_per_user,62,historical,Northern State Bank,bank,6,no,NO,NO,,,no_decision,False,False,False,LMIG. Offered promo rate
MID WISCONSIN CONCRETE & EXCAVATING LLC,B_PUMP,nonFixedVoip,other,cnam_mismatch,renewal_window;lapsing_12m;independent_lender,8,unexpired,"CapFirst Equipment Finance, Inc.",ef_independent,6,yes,Yes,Yes,2017-08-01,existing,existing_lead,False,False,False,Applied in 2017. LMIGMB. Offerd promo rate. No contact in the past 9 years!
"Phoenix Sewer & Septic, LLC",A_VAC,fixedVoip,other,cnam_mismatch;single_unit,renewal_window;phone_single_source;independent_lender,8,unexpired,"S & P Financial Services, Inc.",ef_independent,1,no,No,NO,,yellow,dead,False,False,False,Ringer to hang up! No answer!
Frosch Tree Service LLC,B_AERIAL,mobile,owner,single_unit,renewal_window;phone_single_source;independent_lender,9,unexpired,Oakmont Capital Holdings LLC,ef_independent,1,no,NO,NO,,yellow,dead,True,True,False,"Justing screened his own call! He said ""Jusin"" is not interested!"
Colten's Down To Earth Tree Service LLC,B_CRANE,nonFixedVoip,none,,renewal_window;lapsing_12m;phone_single_source;independent_lender,11,unexpired,"Kinetic Leasing, Inc.",ef_independent,,no,NO,NO,,,no_decision,False,False,False,LVM. Offered promo rate
Tree Solutions LLC,B_CRANE,mobile,none,,renewal_window;lapsing_12m;independent_lender,16,unexpired,"Kinetic Leasing, Inc.",ef_independent,6,no,NO,NO,,,no_decision,False,False,False,Straight to MB. LVM. Offered promo rate.
SW Underground LLC,A_VAC,mobile,owner,single_unit,renewal_window;lapsing_12m;independent_lender,36,unexpired,Dick Tracie Leasing LLC,ef_independent,1,no,NO,NO,,yellow,dead,True,True,False,Brian said he has zero interest to borrow!
"STANG TREE SERVICE, LLC",B_CRANE,mobile,company,,renewal_window;independent_lender,43,unexpired,Apex Commercial Capital Corp.,ef_independent,4,no,NO,NO,,,no_decision,False,False,False,LMIG. Offered promo rate
"United Electric, Inc.",B_AERIAL,landline,company,units_14,renewal_window;phone_single_source;independent_lender,46,unexpired,Oakmont Capital Holdings LLC,ef_independent,14,yes,Yes,Yes,2026-07-26,existing,existing_lead,False,False,False,DO NOT CALL. Funded customer (2 deals)
The Stump King LLC,B_AERIAL,mobile,owner,single_unit,renewal_window;independent_lender,46,unexpired,"Kinetic Leasing, Inc.",ef_independent,1,no,NO,NO,,,no_decision,False,False,False,Mike is the owner. LVM. Offered promo rate.
Expert Tree LLC,B_CRANE,mobile,company,,renewal_window;phone_single_source;independent_lender,48,unexpired,"Kinetic Leasing, Inc.",ef_independent,4,no,NO,NO,,,no_decision,False,False,False,LVM. Offered promo rate
"HALBACH EXCAVATING, LLC",OTHER,mobile,company,lien_lapsed,renewal_window;phone_single_source;independent_lender,48,historical,GreatAmerica Financial Services Corporation,ef_independent,4,no,NO,NO,,,no_decision,False,False,False,LMIG. Offered promo rate
"Aspen Ridge Landscaping & Tree Service, Inc.",B_AERIAL,mobile,owner,,renewal_window;lapsing_12m;independent_lender,50,unexpired,Oakmont Capital Holdings LLC,ef_independent,,no,NO,NO,,,no_decision,False,False,False,LVM. Offered promo rate
"L. P. Tree Service, LLP",B_AERIAL,mobile,none,lien_lapsed,renewal_window;lapsing_12m;independent_lender,50,historical,"BLUE BRIDGE FINANCIAL, LLC",ef_independent,,no,NO,NO,,yellow,dead,False,False,False,VM is not set up
"Selner Tree & Shrub Care, LLC",B_AERIAL,nonFixedVoip,company,units_9,renewal_window;lapsing_12m;phone_single_source;independent_lender,50,unexpired,"TRANS LEASE, INC.",ef_independent,9,no,NO,NO,,,no_decision,False,False,False,LMIG. Offered promo rate
"Al's Extreme Tree, LLC",B_AERIAL,mobile,none,lien_lapsed,renewal_window;lapsing_12m;phone_single_source;independent_lender,52,historical,"Auxilior Capital Partners, Inc.",ef_independent,,no,NO,NO,,grey,no_decision,False,False,True,Corrected name. LVM for Alex. Offered promo rate
KETTLE MORAINE TREE SERVICES LLC,B_AERIAL,mobile,other,cnam_mismatch;single_unit,renewal_window;lapsing_12m;phone_single_source;independent_lender,53,unexpired,"Auxilior Capital Partners, Inc.",ef_independent,1,no,NO,NO,,,no_decision,False,False,False,LVM. Offered promo rate
METTA GRADING AND EXCAVATING LLC,A_VAC,mobile,owner,,renewal_window;lapsing_12m;phone_single_source;independent_lender,53,unexpired,"Ailco Equipment Finance Group, Inc.",ef_independent,4,no,NO,NO,,yellow,dead,True,False,False,Erin was very short. Hanged up when she heard financing
Mr Biffy LLC,A_VAC,landline,company,,renewal_window;phone_single_source;independent_lender,64,unexpired,"TRANS LEASE, INC.",ef_independent,3,yes,Yes,NO,2026-09-01,existing,existing_lead,False,False,False,DO NOT CALL. Funded active customer (2 deals)
Reon's Monster Tree Service LLC,B_AERIAL,mobile,owner,filed_<6mo,phone_single_source;independent_lender,0,unexpired,"Trans Lease, Inc.",ef_independent,,no,NO,NO,,yellow,dead,True,True,False,iphone AI screen. Hanged up when he heard financing
Badger Underground Services LLC,OTHER,mobile,surname,filed_<6mo,phone_single_source;independent_lender,1,unexpired,North Mill Credit Trust,ef_independent,3,no,NO,NO,,yellow,dead,True,True,False,Goes by Luke. iphone AI screen. Hanged up when he heard financing
"Clear View Tree Care, LLC",B_AERIAL,mobile,surname,filed_<6mo;units_8,independent_lender,1,unexpired,"Auxilior Capital Partners, Inc.",ef_independent,8,no,NO,NO,,yellow,dead,False,False,False,LVM for Dave. Offered promo rates.
"Jed's Tree Service, LLC",B_AERIAL,mobile,none,filed_<6mo;no_owner_name,phone_single_source;independent_lender,1,unexpired,Oakmont Capital Holdings LLC,ef_independent,,no,NO,NO,,grey,no_decision,False,False,True,Added POC & title. LMWS. Offered promo rate
All American Hydro Wash LLC,A_VAC,mobile,none,filed_<6mo,phone_single_source;independent_lender,2,unexpired,North Mill Credit Trust,ef_independent,,no,NO,NO,,,no_decision,False,False,False,LVM for Letaya (personal cell). Offered promo rate
