	Name	City	State
*	Annex Depot Corporation	Sacramento 	CA
*	Ferno USA	Wilmington	OH
**	Southeastern Steel Manufacturing Co	Statesville	NC
*	Sun Equipment Inc	Fort Wayne	IN
*	Luminary Laser CNC Solutions Inc	Houston 	TX
*	Kleis Equipment	Salem	OH
*	Ambulance Depot, Inc	Houston	TX
*	Lift Max Pros	Statesville	NC
	Associated Supply Company, Inc.	Tulsa	OK
	Bitimec International Inc.	Greenwich	CT
	BROOKSIDE EQUIPMENT SALES, INC	PHILLIPSTON	MA
	Hawkeye Truck & Wrecker Sales, Inc.	Bono	AR
	Tow World, Inc. 	Hawthorne	CA
	Zip's AW Direct	Taylor	MI
*	American Contractors Equipment Supply	Livonia	MI
***	VacSource	Crawfordsville	IN
**	Great Lakes Equipment Sales, Inc.	Crestwood	IL
*	HDD Broker LLC	Bonita Springs	FL
	Lewis Steel Works Inc	Wrens	GA
*	Ditch Witch of the Rockies	Salt Lake 	UT
	Source: HDD	Hutchinson	KS
