mergr_deal_id,date,deal_type,target_id,target_name,target_sector,target_location,buyers,sellers,advisors,deal_value,_fetched_at
243675,2026-09-02,Add-on Acquisition,338064,Serpentix,Machinery,"Westminster, Colorado, United States",NWPX Infrastructure,Dry Fly Capital,,,2026-09-03T15:00:00-05:00
243622,2026-09-01,Add-on Acquisition,353352,Delta Star,Machinery,"Lynchburg, Virginia, United States",MacLean Power Systems,,,,2026-09-03T15:00:00-05:00
243640,2026-09-01,Add-on Acquisition,333051,ServerLIFT,Machinery,"Phoenix, Arizona, United States",Justrite,American Pacific Group,,,2026-09-03T15:00:00-05:00
243566,2026-08-31,Divestiture,210278,Kelvion,Machinery,"Herne, Germany",Schlumberger,Apollo Global Management; Triton Partners,,3400,2026-09-03T15:00:00-05:00
243496,2026-08-27,"Buyout (LBO, MBO, MBI)",353243,Resodyn,Machinery,"Butte, Montana, United States",Continuim Equity Partners,,"Liberty Advisor Group (bank, buyer)",,2026-09-03T15:00:00-05:00
243151,2026-08-18,Add-on Acquisition,180212,Dukane,Machinery,"St. Charles, Illinois, United States",Crest Ultrasonics,,"Stout (bank, seller); Paul Hastings (law, seller); Morrison & Foerster (law, buyer)",,2026-09-03T15:00:00-05:00
243085,2026-08-18,Add-on Acquisition,352872,Leistung,Machinery,"Ahmedabad, India",Dover,,,,2026-09-03T15:00:00-05:00
243090,2026-08-18,Add-on Acquisition,352876,East Elevator,Machinery,"Chicago, Illinois, United States",Elevator Service,,,,2026-09-03T15:00:00-05:00
243534,2026-08-18,Growth Capital,353266,Koma Precision,Machinery,"East Windsor, Connecticut, United States",Compass Group Equity Partners,,,,2026-09-03T15:00:00-05:00
242581,2026-08-05,Add-on Acquisition,352462,Arumani,Machinery,"La Vall d'Uixo, Spain","Victaulic Company, Inc.",,,,2026-09-03T15:00:00-05:00
242591,2026-08-05,Add-on Acquisition,352468,Buckley Belcher,Machinery,"Charleston, South Carolina, United States",American Testing and Inspection Services,,,,2026-09-03T15:00:00-05:00
242477,2026-08-03,Add-on Acquisition,352353,Carlson,Machinery,"Tulsa, Oklahoma, United States",Zink Industrial Group,"Riverbend Industries, Inc.",,,2026-09-03T15:00:00-05:00
242446,2026-08-03,Add-on Acquisition,352340,Lone Star Turbo,Machinery,"Houston, Texas, United States",IR,,,,2026-09-03T15:00:00-05:00
242221,2026-07-28,Add-on Acquisition,183921,Taco,Machinery,"Cranston, Rhode Island, United States",Pentair,,,1400,2026-09-03T15:00:00-05:00
242190,2026-07-28,Add-on Acquisition,352091,Cloeren,Machinery,"Orange, Texas, United States",Dover,,,,2026-09-03T15:00:00-05:00
241642,2026-07-10,Merger,300472,Precision Roll Solutions,Machinery,"Green Bay, Wisconsin, United States",American Roller Company,Guardian Capital Partners,,,2026-09-03T15:00:00-05:00
241167,2026-07-07,Add-on Acquisition,351243,STEPR,Machinery,"Wilmington, Delaware, United States",Interactive Strength,,,6.7,2026-09-03T15:00:00-05:00
241044,2026-07-03,Add-on Acquisition,215175,DB Defence,Machinery,"Huddersfield, United Kingdom",RENK,Stellex Capital Management,"Barclays Investment Bank (bank, buyer); Linklaters (law, buyer)",,2026-09-03T15:00:00-05:00
240757,2026-06-29,Secondary Buyout,160037,Extrude Hone,Machinery,"Irwin, Pennsylvania, United States",Gladstone Investment,Madison Industries,,,2026-09-03T15:00:00-05:00
240891,2026-06-29,Divestiture,351010,Clevertech,Machinery,"Cadelbosco Sopra, Italy",CVC Capital Partners,Refa,,,2026-09-03T15:00:00-05:00
240781,2026-06-24,Add-on Acquisition,350920,SATec,Machinery,"Bischofswiesen, Germany",2Connect,,,,2026-09-03T15:00:00-05:00
