mergr_firm_id,name,hq_street,hq_city,hq_state,hq_zip,hq_country,hq_phone,website,mergr_url,_fetched_at
328,KKR,30 Hudson Yards,New York,New York,10001,United States,(212) 750-8300,www.kkr.com,https://mergr.com/firms/328,2026-09-03T15:00:00-05:00
251,H.I.G. Capital,"1450 Brickell Avenue, 31st Floor",Miami,Florida,33131,United States,(305) 379-2322,www.hig.com,https://mergr.com/firms/251,2026-09-03T15:00:00-05:00
751,The Carlyle Group,1001 Pennsylvania Avenue NW Suite 220 South,Washington,District of Columbia,20004,United States,(202) 729-5626,www.carlyle.com,https://mergr.com/firms/751,2026-09-03T15:00:00-05:00
1111,Advantage Capital Partners,"909 Poydras Street, Suite 2230",New Orleans,Louisiana,70112,United States,(504) 522-4850,www.advantagecap.com,https://mergr.com/firms/1111,2026-09-03T15:00:00-05:00
3377,Credit Mutuel Equity,25-27 rue des Pyramides,Paris,,75001,France,+33(0)1 53 48 53 00,www.creditmutuelequity.com,https://mergr.com/firms/3377,2026-09-03T15:00:00-05:00
362,Main Street Capital,1300 Post Oak Blvd 8th Floor,Houston,Texas,77056,United States,(713) 350-6000,www.mainstcapital.com,https://mergr.com/firms/362,2026-09-03T15:00:00-05:00
1087,One Equity Partners,"510 Madison Avenue, 19th Floor",New York,New York,10022,United States,(212) 277-1500,www.oneequity.com,https://mergr.com/firms/1087,2026-09-03T15:00:00-05:00
4924,Bpifrance Investissement,,,,,,,www.bpifrance.fr,https://mergr.com/firms/4924,2026-09-03T15:00:00-05:00
6310,Groupe Baelen,"10, rue Cimarosa",Paris,,75116,France,,www.groupe-baelen.fr,https://mergr.com/firms/6310,2026-09-03T15:00:00-05:00
5422,Anders Invest,"Villa Anderstein, Andersteinweg 2",Maarsbergen,,3953 BA,Netherlands,+31 (0) 85 4019312,www.andersinvest.nl,https://mergr.com/firms/5422,2026-09-03T15:00:00-05:00
