owner_firm_id,owner_firm_name,company_id,company_name,sector,location,acquired_date,acquisition_type,exit_date,exit_type,hold_years,is_current,revenue_millions_usd,acquisitions_during_hold,divestitures_during_hold,mergr_url,_fetched_at
328,KKR,137377,CIRCOR,Machinery,"Burlington, Massachusetts, United States",2023-06-05,Going Private,,,3.2,True,787,3,3,https://mergr.com/company/137377,2026-09-03T15:00:00-05:00
328,KKR,330039,Fortifi,Machinery,"The Woodlands, Texas, United States",2021-11-03,Consolidation,,,4.8,True,,1,0,https://mergr.com/company/330039,2026-09-03T15:00:00-05:00
328,KKR,206605,Selecta,Machinery,"Steinhausen, Switzerland",2015-10-12,Secondary Buyout,,,10.8,True,805,2,1,https://mergr.com/company/206605,2026-09-03T15:00:00-05:00
328,KKR,68938,ACCO MHS,Machinery,"York, Pennsylvania, United States",2013-10-09,Divestiture,,,12.8,True,,0,0,https://mergr.com/company/68938,2026-09-03T15:00:00-05:00
328,KKR,60202,Kito Crosby,Machinery,"Manheim, Pennsylvania, United States",2013-10-09,Divestiture,2025-02-10,Divestiture,11.3,False,,2,0,https://mergr.com/company/60202,2026-09-03T15:00:00-05:00
328,KKR,2696,KION Group,Machinery,"Frankfurt, Germany",2006-11-06,"Buyout (LBO, MBO, MBI)",2013-06-28,IPO,6.6,False,12963,0,0,https://mergr.com/company/2696,2026-09-03T15:00:00-05:00
328,KKR,24768,KraussMaffei,Machinery,"Parsdorf, Germany",2002-07-26,Divestiture,2006-06-06,Trade Sale - Public Company,3.8,False,,0,0,https://mergr.com/company/24768,2026-09-03T15:00:00-05:00
251,H.I.G. Capital,329137,Onis Visa,Machinery,"Fontanelle, Italy",2022-11-15,"Buyout (LBO, MBO, MBI)",,,3.8,True,,0,0,https://mergr.com/company/329137,2026-09-03T15:00:00-05:00
251,H.I.G. Capital,31768,Siat,Machinery,"Turate, Italy",2022-04-11,"Buyout (LBO, MBO, MBI)",,,4.3,True,,0,0,https://mergr.com/company/31768,2026-09-03T15:00:00-05:00
251,H.I.G. Capital,235580,Time Manufacturing,Machinery,"Waco, Texas, United States",2021-12-03,Secondary Buyout,,,4.8,True,,1,0,https://mergr.com/company/235580,2026-09-03T15:00:00-05:00
251,H.I.G. Capital,208109,Hart & Cooley,Machinery,"Grand Rapids, Michigan, United States",2020-10-07,Divestiture,2021-10-05,Divestiture,0.9,False,,0,1,https://mergr.com/company/208109,2026-09-03T15:00:00-05:00
251,H.I.G. Capital,28907,Wastequip,Machinery,"Charlotte, North Carolina, United States",2018-02-06,Secondary Buyout,,,8.5,True,310,3,0,https://mergr.com/company/28907,2026-09-03T15:00:00-05:00
251,H.I.G. Capital,2066,Environmental Filtration Technologies LLC,Machinery,"Charlotte, North Carolina, United States",2005-10-21,"Buyout (LBO, MBO, MBI)",2012-09-11,Divestiture,6.8,False,99,0,0,https://mergr.com/company/2066,2026-09-03T15:00:00-05:00
751,The Carlyle Group,328604,Farmfront Group,Machinery,"Castelvetro di Modena , Italy",2023-10-31,Consolidation,,,2.8,True,,4,0,https://mergr.com/company/328604,2026-09-03T15:00:00-05:00
751,The Carlyle Group,328607,Ocmis,Machinery,"Castelvetro di Modena, Italy",2022-08-08,"Buyout (LBO, MBO, MBI)",2023-10-31,Divestiture,1.2,False,,0,0,https://mergr.com/company/328607,2026-09-03T15:00:00-05:00
751,The Carlyle Group,286822,Agilox,Machinery,"Neukirchen bei Lambach, Austria",2021-06-21,Growth Capital,,,5.2,True,,0,0,https://mergr.com/company/286822,2026-09-03T15:00:00-05:00
751,The Carlyle Group,263333,Rigaku,Machinery,"Tokyo, Japan",2021-01-06,"Buyout (LBO, MBO, MBI)",,,5.6,True,,1,0,https://mergr.com/company/263333,2026-09-03T15:00:00-05:00
751,The Carlyle Group,259185,Jeanologia,Machinery,"Valencia, Spain",2019-03-12,Stake Purchase,,,7.4,True,36,0,0,https://mergr.com/company/259185,2026-09-03T15:00:00-05:00
751,The Carlyle Group,189200,Duravant,Machinery,"Downers Grove, Illinois, United States",2017-06-16,Secondary Buyout,,,9.2,True,,19,0,https://mergr.com/company/189200,2026-09-03T15:00:00-05:00
