owner_firm_id,owner_firm_name,owner_firm_state,company_id,company_name,sector,location,acquired_date,acquisition_type,exit_date,exit_type,hold_years,is_current,revenue_millions_usd,acquisitions_during_hold,divestitures_during_hold,mergr_url,_fetched_at
6642,Valeas Capital Partners,California,300108,My Pension Expert,Business Services,"Doncaster, United Kingdom",2026-07-23,Secondary Buyout,,,0.1,True,,0,0,https://mergr.com/company/300108,2026-09-03T23:57:24Z
6642,Valeas Capital Partners,California,258274,Suntera Group,Financial Services,"Wembley, United Kingdom",2025-05-07,Secondary Buyout,,,1.3,True,,0,0,https://mergr.com/company/258274,2026-09-03T23:57:24Z
6642,Valeas Capital Partners,California,289026,Baker Tilly,Business Services,"Chicago, Illinois, United States",2024-02-05,Growth Capital,,,2.5,True,,8,0,https://mergr.com/company/289026,2026-09-03T23:57:24Z
6642,Valeas Capital Partners,California,228970,Ren,Information Technology,"Indianapolis, Indiana, United States",2023-07-26,Growth Capital,,,3.1,True,,0,0,https://mergr.com/company/228970,2026-09-03T23:57:24Z
6642,Valeas Capital Partners,California,321525,Sequoia,Financial Services,"Akron, Ohio, United States",2022-10-19,Stake Purchase,,,3.8,True,,6,0,https://mergr.com/company/321525,2026-09-03T23:57:24Z
6642,Valeas Capital Partners,California,321520,CINQCARE,Healthcare Services,"Washington, District of Columbia, United States",2021-12-01,Growth Capital,,,4.8,True,,0,0,https://mergr.com/company/321520,2026-09-03T23:57:24Z
68,Caltius Equity Partners,California,351677,SaaS Consulting Group,Information Technology,"Austin, Texas, United States",2026-07-15,Growth Capital,,,0.1,True,,0,0,https://mergr.com/company/351677,2026-09-03T23:57:24Z
68,Caltius Equity Partners,California,319277,Aphix,Business Services,"Frankfort, Kentucky, United States",2023-11-15,Growth Capital,,,2.8,True,,0,0,https://mergr.com/company/319277,2026-09-03T23:57:24Z
68,Caltius Equity Partners,California,264383,ACIS Innovative Solutions,Business Services,"McKinney, Texas, United States",2019-09-04,Growth Capital,2021-12-21,Trade Sale - Public Company,2.3,False,,1,0,https://mergr.com/company/264383,2026-09-03T23:57:24Z
68,Caltius Equity Partners,California,250579,HPS,Information Technology,"Milwaukee, Wisconsin, United States",2018-05-02,Growth Capital,2021-02-11,Unknown,2.8,False,,0,0,https://mergr.com/company/250579,2026-09-03T23:57:24Z
68,Caltius Equity Partners,California,264420,Casting Networks,Internet Software and Services,"Los Angeles, California, United States",2017-06-01,Growth Capital,,,9.3,True,,0,0,https://mergr.com/company/264420,2026-09-03T23:57:24Z
68,Caltius Equity Partners,California,13081,Stratus Unlimited,Business Services,"Mentor, Ohio, United States",2015-09-24,Secondary Buyout,2018-01-08,Trade Sale - Public Company,2.3,False,,0,0,https://mergr.com/company/13081,2026-09-03T23:57:24Z
68,Caltius Equity Partners,California,203812,OC Orthodontics,Medical Products,"McMinnville, Oregon, United States",2015-07-01,Growth Capital,,,11.2,True,,0,0,https://mergr.com/company/203812,2026-09-03T23:57:24Z
