owner_firm_id,owner_firm_name,owner_firm_state,company_id,company_name,sector,location,acquired_date,acquisition_type,exit_date,exit_type,hold_years,is_current,revenue_millions_usd,acquisitions_during_hold,divestitures_during_hold,mergr_url,_fetched_at
45,Bow River Capital,Colorado,305699,HRSoft,Internet Software and Services,"Maitland, Florida, United States",2026-03-03,Secondary Buyout,2026-03-03,Trade Sale - Public Company,0,False,,0,0,https://mergr.com/company/305699,2026-09-08T00:42:34.119377+00:00
45,Bow River Capital,Colorado,302230,RippleWorx,Software,"Huntsville, Alabama, United States",2024-08-20,Recapitalization,,,2,True,,0,0,https://mergr.com/company/302230,2026-09-08T00:42:34.119377+00:00
45,Bow River Capital,Colorado,351137,Arctic,Construction,"Sarasota, Florida, United States",2024-07-15,"Buyout (LBO, MBO, MBI)",,,2.1,True,,0,0,https://mergr.com/company/351137,2026-09-08T00:42:34.119377+00:00
45,Bow River Capital,Colorado,101533,Senior Helpers,Franchising,"Towson, Maryland, United States",2024-03-21,Divestiture,,,2.4,True,,0,0,https://mergr.com/company/101533,2026-09-08T00:42:34.119377+00:00
45,Bow River Capital,Colorado,279814,Accelo,Software,"Denver, Colorado, United States",2024-02-29,Secondary Buyout,,,2.5,True,,1,0,https://mergr.com/company/279814,2026-09-08T00:42:34.119377+00:00
45,Bow River Capital,Colorado,317755,Landmark Aquatic,Construction,"Maryland Heights, Missouri, United States",2023-10-05,Consolidation,,,2.9,True,,1,0,https://mergr.com/company/317755,2026-09-08T00:42:34.119377+00:00
45,Bow River Capital,Colorado,315317,Vitruvi,Software,"Denver, Colorado, United States",2023-07-19,"Buyout (LBO, MBO, MBI)",,,3.1,True,,0,0,https://mergr.com/company/315317,2026-09-08T00:42:34.119377+00:00
45,Bow River Capital,Colorado,305699,HRSoft,Internet Software and Services,"Maitland, Florida, United States",2022-09-13,Growth Capital,2026-03-03,Trade Sale - Public Company,3.4,False,,1,0,https://mergr.com/company/305699,2026-09-08T00:42:34.119377+00:00
45,Bow River Capital,Colorado,266961,One10,Marketing,"Plano, Texas, United States",2022-06-13,Growth Capital,,,4.2,True,,1,0,https://mergr.com/company/266961,2026-09-08T00:42:34.119377+00:00
45,Bow River Capital,Colorado,305694,ProductPlan,Internet Software and Services,"Denver, Colorado, United States",2022-05-12,Growth Capital,,,4.3,True,,1,0,https://mergr.com/company/305694,2026-09-08T00:42:34.119377+00:00
45,Bow River Capital,Colorado,271096,Amazing Care,Healthcare Services,"Aurora, Colorado, United States",2022-05-03,Recapitalization,,,4.3,True,,0,0,https://mergr.com/company/271096,2026-09-08T00:42:34.119377+00:00
45,Bow River Capital,Colorado,305687,Xima,Software,"South Jordan, Utah, United States",2022-04-27,Growth Capital,,,4.3,True,,0,0,https://mergr.com/company/305687,2026-09-08T00:42:34.119377+00:00
45,Bow River Capital,Colorado,291055,Progressive Roofing,Construction,"Phoenix, Arizona, United States",2021-10-05,Recapitalization,2025-07-08,Divestiture,3.8,False,,0,0,https://mergr.com/company/291055,2026-09-08T00:42:34.119377+00:00
45,Bow River Capital,Colorado,285072,Xyleme,Internet Software and Services,"Denver, Colorado, United States",2021-05-06,Recapitalization,2024-01-11,Divestiture,2.7,False,,0,0,https://mergr.com/company/285072,2026-09-08T00:42:34.119377+00:00
