owner_firm_id,owner_firm_name,owner_firm_state,company_id,company_name,sector,location,acquired_date,acquisition_type,exit_date,exit_type,hold_years,is_current,revenue_millions_usd,acquisitions_during_hold,divestitures_during_hold,mergr_url,_fetched_at
1464,Southfield Capital,Connecticut,335410,Metric,Staffing,"New York, New York, United States",2026-03-24,Secondary Buyout,,,0.4,True,,0,0,https://mergr.com/company/335410,2026-09-04T01:29:30Z
1464,Southfield Capital,Connecticut,345292,Contextual,Software,"Leesburg, Virginia, United States",2026-01-26,"Buyout (LBO, MBO, MBI)",,,0.6,True,,0,0,https://mergr.com/company/345292,2026-09-04T01:29:30Z
1464,Southfield Capital,Connecticut,345034,Perfect Franchise,Business Services,"Shohola, Pennsylvania, United States",2026-01-15,Growth Capital,,,0.6,True,,0,0,https://mergr.com/company/345034,2026-09-04T01:29:30Z
1464,Southfield Capital,Connecticut,327068,TFS,Business Services,"Perrysburg, Ohio, United States",2024-07-15,Divestiture,,,2.1,True,,0,0,https://mergr.com/company/327068,2026-09-04T01:29:30Z
1464,Southfield Capital,Connecticut,326969,Business Development Resources,Education,"SeaTac, Washington, United States",2024-07-10,Growth Capital,,,2.1,True,,0,0,https://mergr.com/company/326969,2026-09-04T01:29:30Z
1464,Southfield Capital,Connecticut,334304,Property Management Holdings,Business Services,"Clearwater, Florida, United States",2023-03-01,"Buyout (LBO, MBO, MBI)",,,3.5,True,,0,0,https://mergr.com/company/334304,2026-09-04T01:29:30Z
1464,Southfield Capital,Connecticut,303118,Franchise FastLane,Business Services,"Omaha, Nebraska, United States",2022-05-11,Growth Capital,,,4.3,True,,2,0,https://mergr.com/company/303118,2026-09-04T01:29:30Z
1464,Southfield Capital,Connecticut,338391,Osprey Landscape Group,Business Services,"Carlsbad, California, United States",2021-12-01,Consolidation,,,4.8,True,,3,0,https://mergr.com/company/338391,2026-09-04T01:29:30Z
1464,Southfield Capital,Connecticut,303119,Alba Wheels Up,Transportation,"Valley Stream, New York, United States",2021-03-16,Growth Capital,,,5.4,True,,4,0,https://mergr.com/company/303119,2026-09-04T01:29:30Z
1464,Southfield Capital,Connecticut,269211,Milrose Consultants,Engineering,"New York, New York, United States",2019-08-07,"Buyout (LBO, MBO, MBI)",2026-06-03,Trade Sale - Public Company,6.8,False,,6,0,https://mergr.com/company/269211,2026-09-04T01:29:30Z
1464,Southfield Capital,Connecticut,263793,Protos Security,Safety/Security,"Norwalk, Connecticut, United States",2019-03-06,"Buyout (LBO, MBO, MBI)",,,7.4,True,,8,2,https://mergr.com/company/263793,2026-09-04T01:29:30Z
1464,Southfield Capital,Connecticut,116661,Match Marketing Group,Marketing,"Mississauga, Ontario, Canada",2018-07-13,Secondary Buyout,,,8.1,True,,0,2,https://mergr.com/company/116661,2026-09-04T01:29:30Z
1464,Southfield Capital,Connecticut,245398,ARC Mechanical,Business Services,"Wilmington, Massachusetts, United States",2017-11-14,"Buyout (LBO, MBO, MBI)",,,8.8,True,,5,0,https://mergr.com/company/245398,2026-09-04T01:29:30Z
1464,Southfield Capital,Connecticut,295750,Kelvin Group,Business Services,"Wilmington, Massachusetts, United States",2017-10-01,"Buyout (LBO, MBO, MBI)",,,8.9,True,,5,0,https://mergr.com/company/295750,2026-09-04T01:29:30Z
1464,Southfield Capital,Connecticut,214272,Ntiva,Information Technology,"Mclean, Virginia, United States",2016-11-30,Growth Capital,2022-01-27,Trade Sale - Public Company,5.1,False,,11,0,https://mergr.com/company/214272,2026-09-04T01:29:30Z
1464,Southfield Capital,Connecticut,216022,Tier One Relocation,Transportation,"Weirton, West Virginia, United States",2016-02-22,"Buyout (LBO, MBO, MBI)",2018-12-06,Trade Sale - Public Company,2.8,False,,0,0,https://mergr.com/company/216022,2026-09-04T01:29:30Z
1464,Southfield Capital,Connecticut,265095,Spectrum Automotive Holdings,Business Services,"Fairfield, New Jersey, United States",2015-01-01,"Buyout (LBO, MBO, MBI)",2019-10-11,Trade Sale,4.8,False,,0,0,https://mergr.com/company/265095,2026-09-04T01:29:30Z
1464,Southfield Capital,Connecticut,30168,BioPharm Communications LLC,Marketing,"New Hope, Pennsylvania, United States",2012-04-18,Recapitalization,2016-05-05,Divestiture,4,False,,0,0,https://mergr.com/company/30168,2026-09-04T01:29:30Z
1464,Southfield Capital,Connecticut,7614,Hallcon,Transportation,"Chicago, Illinois, United States",2011-05-04,Secondary Buyout,2015-08-04,Trade Sale - Public Company,4.3,False,,2,0,https://mergr.com/company/7614,2026-09-04T01:29:30Z
1464,Southfield Capital,Connecticut,11601,"RPS Composites, Inc.",Plastics,"Mahone Bay, Nova Scotia, Canada",2008-01-14,Growth Capital,,,18.6,True,,0,0,https://mergr.com/company/11601,2026-09-04T01:29:30Z
1464,Southfield Capital,Connecticut,11602,Dealers' Financial Services LLC,Financial Services,"Lexington, Kentucky, United States",2006-11-01,"Buyout (LBO, MBO, MBI)",2009-10-28,Divestiture,2.9,False,,0,0,https://mergr.com/company/11602,2026-09-04T01:29:30Z
1464,Southfield Capital,Connecticut,11603,RCR International,Building Materials,"Boucherville, Quebec, Canada",2006-04-01,"Buyout (LBO, MBO, MBI)",2014-06-17,Trade Sale - Public Company,8.2,False,,0,0,https://mergr.com/company/11603,2026-09-04T01:29:30Z
1464,Southfield Capital,Connecticut,15503,OnPoint Group,Business Services,"Perrysburg, Ohio, United States",2005-10-01,"Buyout (LBO, MBO, MBI)",2012-07-19,Trade Sale - Public Company,6.8,False,,0,0,https://mergr.com/company/15503,2026-09-04T01:29:30Z
1464,Southfield Capital,Connecticut,27346,TS3 Technology,Electronics,"Franklin, Tennessee, United States",2004-03-01,"Buyout (LBO, MBO, MBI)",,,22.5,True,,2,0,https://mergr.com/company/27346,2026-09-04T01:29:30Z
1464,Southfield Capital,Connecticut,11605,Presidio Partners LLC,Real Estate,"San Francisco, California, United States",2003-04-01,"Buyout (LBO, MBO, MBI)",2007-01-01,Trade Sale,3.8,False,,0,0,https://mergr.com/company/11605,2026-09-04T01:29:30Z
537,Sterling Investment Partners,Connecticut,306663,Cyber Advisors,Information Technology,"Maple Grove, Minnesota, United States",2026-03-19,Secondary Buyout,,,0.4,True,,0,0,https://mergr.com/company/306663,2026-09-04T01:29:30Z
537,Sterling Investment Partners,Connecticut,257845,PROtect,Business Services,"Wichita, Kansas, United States",2024-11-12,Secondary Buyout,,,1.8,True,,2,0,https://mergr.com/company/257845,2026-09-04T01:29:30Z
537,Sterling Investment Partners,Connecticut,302014,Verdantas,Engineering,"Dublin, Ohio, United States",2024-05-07,Secondary Buyout,,,2.3,True,,22,0,https://mergr.com/company/302014,2026-09-04T01:29:30Z
537,Sterling Investment Partners,Connecticut,338808,Banner Industries,Distribution,"Danvers, Massachusetts, United States",2023-12-20,Growth Capital,,,2.7,True,,0,0,https://mergr.com/company/338808,2026-09-04T01:29:30Z
