owner_firm_id,owner_firm_name,owner_firm_state,company_id,company_name,sector,location,acquired_date,acquisition_type,exit_date,exit_type,hold_years,is_current,revenue_millions_usd,acquisitions_during_hold,divestitures_during_hold,mergr_url,_fetched_at
7041,Uplift Investors,Connecticut,296129,Engage FI,Business Services,"Orlando, Florida, United States",2026-08-18,Secondary Buyout,,,0,True,,0,0,https://mergr.com/company/296129,2026-09-04T01:37:49Z
7041,Uplift Investors,Connecticut,245983,IMS ExpertServices,Business Services,"Pensacola, Texas, United States",2026-04-06,Secondary Buyout,,,0.3,True,,0,0,https://mergr.com/company/245983,2026-09-04T01:37:49Z
7041,Uplift Investors,Connecticut,351837,Orion Legal MSO,Business Services,"South Darieni, Connecticut, United States",2026-01-22,"Buyout (LBO, MBO, MBI)",,,0.6,True,,0,0,https://mergr.com/company/351837,2026-09-04T01:37:49Z
6349,Lime Rock New Energy,Connecticut,348964,Boulder Imaging,Software,"Louisville, Colorado, United States",2026-04-08,Growth Capital,,,0.3,True,,0,0,https://mergr.com/company/348964,2026-09-04T01:37:49Z
6349,Lime Rock New Energy,Connecticut,343011,Hawk Line Construction,Energy Services and Equipment,"Neosho, Missouri, United States",2025-11-18,Growth Capital,,,0.8,True,,0,0,https://mergr.com/company/343011,2026-09-04T01:37:49Z
6349,Lime Rock New Energy,Connecticut,311158,Aperia Technologies,Automotive,"Burlingame, California, United States",2022-09-01,Growth Capital,,,4,True,,0,0,https://mergr.com/company/311158,2026-09-04T01:37:49Z
6349,Lime Rock New Energy,Connecticut,296277,Electric Power Engineers,Engineering,"Austin, Texas, United States",2022-01-13,Growth Capital,2025-01-07,Trade Sale - Public Company,2.9,False,,0,0,https://mergr.com/company/296277,2026-09-04T01:37:49Z
6349,Lime Rock New Energy,Connecticut,311161,Smart Wires,Electrical Equipment,"Durham, North Carolina, United States",2019-12-19,Growth Capital,2021-05-18,IPO,1.3,False,,0,0,https://mergr.com/company/311161,2026-09-04T01:37:49Z
472,RFE Investment Partners,Connecticut,195649,A.R.M. Solutions,Financial Services,"Camarillo, California, United States",2025-06-11,Recapitalization,,,1.2,True,,0,0,https://mergr.com/company/195649,2026-09-04T01:37:49Z
472,RFE Investment Partners,Connecticut,333726,BryteBridge,Business Services,"Winter Park, Florida, United States",2023-12-13,Recapitalization,,,2.7,True,,4,0,https://mergr.com/company/333726,2026-09-04T01:37:49Z
472,RFE Investment Partners,Connecticut,316949,LaunchPad Home Group,Business Services,"Austin, Texas, United States",2023-02-28,Consolidation,,,3.5,True,,9,0,https://mergr.com/company/316949,2026-09-04T01:37:49Z
472,RFE Investment Partners,Connecticut,322317,SEG,Marketing,"Chicago, Illinois, United States",2022-08-05,Recapitalization,,,4,True,,0,0,https://mergr.com/company/322317,2026-09-04T01:37:49Z
472,RFE Investment Partners,Connecticut,164693,Max Home Inspections,Business Services,"Davie, Florida, United States",2022-06-21,Growth Capital,2023-02-28,Divestiture,0.7,False,,0,0,https://mergr.com/company/164693,2026-09-04T01:37:49Z
472,RFE Investment Partners,Connecticut,282192,Congruity HR,Staffing,"Winston-Salem, North Carolina, United States",2021-02-25,Recapitalization,,,5.5,True,,1,0,https://mergr.com/company/282192,2026-09-04T01:37:49Z
472,RFE Investment Partners,Connecticut,306271,Veransa Group,Environmental,"Sarasota, Florida, United States",2021-01-01,"Buyout (LBO, MBO, MBI)",,,5.7,True,,1,0,https://mergr.com/company/306271,2026-09-04T01:37:49Z
472,RFE Investment Partners,Connecticut,292652,Friendly Group,Business Services,"Westlake, Texas, United States",2020-01-01,"Buyout (LBO, MBO, MBI)",,,6.7,True,,2,0,https://mergr.com/company/292652,2026-09-04T01:37:49Z
472,RFE Investment Partners,Connecticut,200414,ZRG Partners,Staffing,"Rochelle Park, New Jersey, United States",2018-12-17,Recapitalization,,,7.7,True,,16,0,https://mergr.com/company/200414,2026-09-04T01:37:49Z
472,RFE Investment Partners,Connecticut,247041,ThreeBridge Solutions,Information Technology,"Minneapolis, Minnesota, United States",2018-01-04,Recapitalization,2021-01-01,Spin Off,2.9,False,,3,0,https://mergr.com/company/247041,2026-09-04T01:37:49Z
472,RFE Investment Partners,Connecticut,226566,EnsembleIQ,Information Services,"Chicago, Illinois, United States",2016-02-17,"Buyout (LBO, MBO, MBI)",,,10.5,True,,3,0,https://mergr.com/company/226566,2026-09-04T01:37:49Z
472,RFE Investment Partners,Connecticut,56210,Global Point Technology Group,Manufacturing,"South Beloit, Illinois, United States",2015-09-30,Consolidation,,,10.9,True,,2,0,https://mergr.com/company/56210,2026-09-04T01:37:49Z
472,RFE Investment Partners,Connecticut,216754,Squan Solutions,Communications,"Carlstadt, New Jersey, United States",2014-10-14,Growth Capital,,,11.8,True,,4,0,https://mergr.com/company/216754,2026-09-04T01:37:49Z
472,RFE Investment Partners,Connecticut,16193,Wind River Environmental,Environmental,"Marlborough, Massachusetts, United States",2014-07-08,Secondary Buyout,2017-04-04,Trade Sale - Public Company,2.7,False,,0,0,https://mergr.com/company/16193,2026-09-04T01:37:49Z
472,RFE Investment Partners,Connecticut,171433,PCX Aerostructures,Aerospace,"Newington, Connecticut, United States",2014-04-21,Divestiture,2021-04-26,Trade Sale - Public Company,7,False,,1,0,https://mergr.com/company/171433,2026-09-04T01:37:49Z
472,RFE Investment Partners,Connecticut,6692,Hastings Manufacturing,Automotive,"Hastings, Michigan, United States",2013-05-01,Secondary Buyout,2026-04-20,Divestiture,12.9,False,,0,0,https://mergr.com/company/6692,2026-09-04T01:37:49Z
472,RFE Investment Partners,Connecticut,2383,JSI Store Fixtures,Manufacturing,"Milo, Maine, United States",2013-01-10,Secondary Buyout,2021-05-24,Divestiture,8.3,False,,0,0,https://mergr.com/company/2383,2026-09-04T01:37:49Z
472,RFE Investment Partners,Connecticut,268618,Global IFS,Building Materials,"Kentwood, Michigan, United States",2012-05-02,"Buyout (LBO, MBO, MBI)",,,14.3,True,,0,0,https://mergr.com/company/268618,2026-09-04T01:37:49Z
472,RFE Investment Partners,Connecticut,177107,PureRED,Marketing,"Stone Mountain, Georgia, United States",2011-10-20,"Buyout (LBO, MBO, MBI)",2025-02-18,Divestiture,13.3,False,,0,0,https://mergr.com/company/177107,2026-09-04T01:37:49Z
472,RFE Investment Partners,Connecticut,16137,ShelterLogic,Consumer Products,"Watertown, Connecticut, United States",2011-09-16,Secondary Buyout,2018-06-22,Trade Sale - Public Company,6.8,False,,3,0,https://mergr.com/company/16137,2026-09-04T01:37:49Z
472,RFE Investment Partners,Connecticut,26397,Green Garden Products LLC,Consumer Products,"Norton, Massachusetts, United States",2010-12-17,"Buyout (LBO, MBO, MBI)",2015-01-07,Trade Sale - Public Company,4,False,,1,0,https://mergr.com/company/26397,2026-09-04T01:37:49Z
472,RFE Investment Partners,Connecticut,20516,iMedX,Internet Software and Services,"Atlanta, Georgia, United States",2009-08-12,Growth Capital,2023-01-01,Divestiture,13.3,False,,4,0,https://mergr.com/company/20516,2026-09-04T01:37:49Z
472,RFE Investment Partners,Connecticut,20509,Brook & Whittle,Packaging,"Guilford, Connecticut, United States",2009-03-02,Recapitalization,2017-10-18,Trade Sale - Public Company,8.6,False,,1,0,https://mergr.com/company/20509,2026-09-04T01:37:49Z
472,RFE Investment Partners,Connecticut,3776,Lectrus Corp.,Manufacturing,"Chattanooga, Tennessee, United States",2007-08-01,"Buyout (LBO, MBO, MBI)",2017-12-13,Bankruptcy,10.3,False,,0,0,https://mergr.com/company/3776,2026-09-04T01:37:49Z
472,RFE Investment Partners,Connecticut,5067,"DelStar Technologies, Inc.",Chemicals,"Middletown, Delaware, United States",2005-12-02,"Buyout (LBO, MBO, MBI)",2013-11-18,Divestiture,7.9,False,,0,0,https://mergr.com/company/5067,2026-09-04T01:37:49Z
