owner_firm_id,owner_firm_name,owner_firm_state,company_id,company_name,sector,location,acquired_date,acquisition_type,exit_date,exit_type,hold_years,is_current,revenue_millions_usd,acquisitions_during_hold,divestitures_during_hold,mergr_url,_fetched_at
6885,Baldwin Creek Partners,Connecticut,340483,TruTemp,Business Services,"New York, New York, United States",2025-09-16,"Buyout (LBO, MBO, MBI)",,,0.9,True,,1,0,https://mergr.com/company/340483,2026-09-04T01:37:59Z
6692,3 Boomerang Capital,Connecticut,337527,LSOMS Holdings,Business Services,"Greenwich, Connecticut, United States",2025-06-03,"Buyout (LBO, MBO, MBI)",,,1.3,True,,1,0,https://mergr.com/company/337527,2026-09-04T01:37:59Z
6692,3 Boomerang Capital,Connecticut,326086,ABS,Life Science,"New Castle, Delaware, United States",2024-06-17,"Buyout (LBO, MBO, MBI)",,,2.2,True,,1,0,https://mergr.com/company/326086,2026-09-04T01:37:59Z
1769,BHMS Investments,Connecticut,289479,King Risk Partners,Insurance,"Gainesville, Florida, United States",2025-04-23,Growth Capital,,,1.3,True,,24,0,https://mergr.com/company/289479,2026-09-04T01:37:59Z
1769,BHMS Investments,Connecticut,352387,Boost Insurance,Financial Services,"New York, New York, United States",2024-07-31,Growth Capital,,,2.1,True,,0,0,https://mergr.com/company/352387,2026-09-04T01:37:59Z
1769,BHMS Investments,Connecticut,290316,Innovisk,Business Services,"London , United Kingdom",2021-09-09,Divestiture,2024-10-30,Divestiture,3.1,False,58,0,0,https://mergr.com/company/290316,2026-09-04T01:37:59Z
1769,BHMS Investments,Connecticut,261226,Inszone Insurance Services,Insurance,"Rancho Cordova, California, United States",2020-07-01,Growth Capital,,,6.2,True,,201,0,https://mergr.com/company/261226,2026-09-04T01:37:59Z
1769,BHMS Investments,Connecticut,247690,Advanced Service Solutions,Business Services,"Hammonton, New Jersey, United States",2018-01-18,"Buyout (LBO, MBO, MBI)",2022-01-25,Divestiture,4,False,,0,0,https://mergr.com/company/247690,2026-09-04T01:37:59Z
1769,BHMS Investments,Connecticut,237050,Trucordia,Insurance,"Lindon, Utah, United States",2017-03-02,Growth Capital,2020-04-01,Trade Sale - Public Company,3,False,,3,0,https://mergr.com/company/237050,2026-09-04T01:37:59Z
1769,BHMS Investments,Connecticut,188150,Hilb Group,Insurance,"Richmond, Virginia, United States",2011-06-10,"Buyout (LBO, MBO, MBI)",2015-06-25,Trade Sale - Public Company,4,False,,15,0,https://mergr.com/company/188150,2026-09-04T01:37:59Z
6176,Brighton Park Capital,Connecticut,340922,HITRUST,Information Technology,"Frisco, Texas, United States",2025-03-17,Growth Capital,,,1.4,True,,0,0,https://mergr.com/company/340922,2026-09-04T01:37:59Z
6176,Brighton Park Capital,Connecticut,250663,TickPick,Internet Software and Services,"New York City, New York, United States",2024-08-22,Secondary Buyout,,,2,True,,0,0,https://mergr.com/company/250663,2026-09-04T01:37:59Z
