owner_firm_id,owner_firm_name,owner_firm_state,company_id,company_name,sector,location,acquired_date,acquisition_type,exit_date,exit_type,hold_years,is_current,revenue_millions_usd,acquisitions_during_hold,divestitures_during_hold,mergr_url,_fetched_at
751,The Carlyle Group,District of Columbia,308378,Prime Capital Financial,Financial Services,"Overland Park, Kansas, United States",2026-08-06,Stake Purchase,,,0.1,True,,0,0,https://mergr.com/company/308378,2026-09-08T12:32:04.951476+00:00
751,The Carlyle Group,District of Columbia,352035,Secturion,Information Technology,"Centerville, Utah, United States",2026-07-27,"Buyout (LBO, MBO, MBI)",,,0.1,True,,0,0,https://mergr.com/company/352035,2026-09-08T12:32:04.951476+00:00
751,The Carlyle Group,District of Columbia,340314,EqualizeRCM,Software,"Austin, Texas, United States",2026-05-05,"Buyout (LBO, MBO, MBI)",,,0.3,True,,0,0,https://mergr.com/company/340314,2026-09-08T12:32:04.951476+00:00
751,The Carlyle Group,District of Columbia,332859,Knack RCM,Information Technology,"Woodbridge, New Jersey, United States",2026-05-04,"Buyout (LBO, MBO, MBI)",,,0.3,True,,0,0,https://mergr.com/company/332859,2026-09-08T12:32:04.951476+00:00
751,The Carlyle Group,District of Columbia,290560,MAI Capital,Financial Services,"Cleveland, Ohio, United States",2026-03-31,Divestiture,,,0.4,True,,1,0,https://mergr.com/company/290560,2026-09-08T12:32:04.951476+00:00
751,The Carlyle Group,District of Columbia,242636,Peloton,Software,"Calgary, Alberta, Canada",2026-02-24,Recapitalization,,,0.5,True,,0,0,https://mergr.com/company/242636,2026-09-08T12:32:04.951476+00:00
751,The Carlyle Group,District of Columbia,341300,Sterling,Insurance,"East York, Ontario, Canada",2025-10-06,Growth Capital,,,0.9,True,,0,0,https://mergr.com/company/341300,2026-09-08T12:32:04.951476+00:00
751,The Carlyle Group,District of Columbia,62354,IntelliFlo,Software,"Wimbledon, United Kingdom",2025-08-26,Divestiture,,,1,True,,0,0,https://mergr.com/company/62354,2026-09-08T12:32:04.951476+00:00
751,The Carlyle Group,District of Columbia,345793,Ingentis,Software,"Nürnberg, Germany",2025-08-25,Stake Purchase,,,1,True,,0,0,https://mergr.com/company/345793,2026-09-08T12:32:04.951476+00:00
751,The Carlyle Group,District of Columbia,270203,Adastra,Information Technology,"Frankfurt am Main, Germany",2025-07-22,"Buyout (LBO, MBO, MBI)",,,1.1,True,,0,0,https://mergr.com/company/270203,2026-09-08T12:32:04.951476+00:00
751,The Carlyle Group,District of Columbia,97345,Psychiatric Medical Care,Healthcare Services,"Brentwood, Tennessee, United States",2025-06-30,Secondary Buyout,,,1.2,True,,0,0,https://mergr.com/company/97345,2026-09-08T12:32:04.951476+00:00
