owner_firm_id,owner_firm_name,owner_firm_state,company_id,company_name,sector,location,acquired_date,acquisition_type,exit_date,exit_type,hold_years,is_current,revenue_millions_usd,acquisitions_during_hold,divestitures_during_hold,mergr_url,_fetched_at
4831,Revolution,District of Columbia,311559,Meati,Food,"Boulder, Colorado, United States",2022-07-25,Venture,,,4.1,True,,0,0,https://mergr.com/company/311559,2026-09-08T12:32:04.951476+00:00
4831,Revolution,District of Columbia,311553,Curbio,Internet Software and Services,"Potomac, Maryland, United States",2022-01-18,Venture,,,4.6,True,,0,0,https://mergr.com/company/311553,2026-09-08T12:32:04.951476+00:00
4831,Revolution,District of Columbia,253539,Cava,Restaurants,"Washington, District of Columbia, United States",2021-04-27,Venture,2023-06-15,IPO,2.1,False,1180,0,0,https://mergr.com/company/253539,2026-09-08T12:32:04.951476+00:00
4831,Revolution,District of Columbia,298356,Orchard,Real Estate,"New York, New York, United States",2020-09-10,Venture,,,5.9,True,,0,0,https://mergr.com/company/298356,2026-09-08T12:32:04.951476+00:00
4831,Revolution,District of Columbia,296091,Tempus,Information Technology,"Chicago, Illinois, United States",2019-05-30,Venture,,,7.3,True,,4,0,https://mergr.com/company/296091,2026-09-08T12:32:04.951476+00:00
4831,Revolution,District of Columbia,298353,Tala,Internet Software and Services,"Santa Monica, California, United States",2018-04-17,Venture,,,8.3,True,,0,0,https://mergr.com/company/298353,2026-09-08T12:32:04.951476+00:00
4831,Revolution,District of Columbia,22588,Resonate,Internet Software and Services,"Reston, Virginia, United States",2017-11-14,Growth Capital,2022-07-27,Trade Sale - Public Company,4.7,False,,0,0,https://mergr.com/company/22588,2026-09-08T12:32:04.951476+00:00
4831,Revolution,District of Columbia,268384,Scopely,Digital Media,"Culver City, California, United States",2017-06-15,Venture,2023-04-06,Divestiture,5.8,False,,3,0,https://mergr.com/company/268384,2026-09-08T12:32:04.951476+00:00
4831,Revolution,District of Columbia,250267,Uptake,Internet Software and Services,"Chicago, Illinois, United States",2017-02-01,Growth Capital,,,9.6,True,,2,0,https://mergr.com/company/250267,2026-09-08T12:32:04.951476+00:00
4831,Revolution,District of Columbia,280820,Custom Ink,E-Commerce,"Fairfax, Virginia, United States",2016-11-15,Growth Capital,2019-04-04,Merger,2.3,False,,0,0,https://mergr.com/company/280820,2026-09-08T12:32:04.951476+00:00
4831,Revolution,District of Columbia,31424,KLDiscovery,Software,"Eden Prairie, Minnesota, United States",2016-01-04,Secondary Buyout,2019-06-05,SPAC,3.4,False,346,2,0,https://mergr.com/company/31424,2026-09-08T12:32:04.951476+00:00
4831,Revolution,District of Columbia,212016,Bedrock,Consumer Products,"Dallas, Texas, United States",2015-06-23,Growth Capital,,,11.2,True,,0,0,https://mergr.com/company/212016,2026-09-08T12:32:04.951476+00:00
4831,Revolution,District of Columbia,211004,Handy,Internet Software and Services,"New York City, New York, United States",2015-03-30,Venture,2018-10-11,Divestiture,3.5,False,,0,0,https://mergr.com/company/211004,2026-09-08T12:32:04.951476+00:00
4831,Revolution,District of Columbia,242930,Revolution Foods,Food,"Commerce, California, United States",2014-06-04,Growth Capital,,,12.3,True,,2,0,https://mergr.com/company/242930,2026-09-08T12:32:04.951476+00:00
4831,Revolution,District of Columbia,261559,Sweetgreen,Restaurants,"Los Angeles, California, United States",2013-12-04,Growth Capital,2021-11-15,IPO,7.9,False,679,2,0,https://mergr.com/company/261559,2026-09-08T12:32:04.951476+00:00
4831,Revolution,District of Columbia,298344,Optoro,Internet Software and Services,"Washington, District of Columbia, United States",2013-07-16,Venture,2025-08-19,Divestiture,12.1,False,,0,0,https://mergr.com/company/298344,2026-09-08T12:32:04.951476+00:00
4831,Revolution,District of Columbia,201607,Echo360,Software,"Youngstown, Ohio, United States",2012-05-01,Growth Capital,,,14.3,True,,5,0,https://mergr.com/company/201607,2026-09-08T12:32:04.951476+00:00
4831,Revolution,District of Columbia,243929,FedBid,Internet Software and Services,"Vienna, Virginia, United States",2012-01-18,Growth Capital,2017-10-03,Divestiture,5.7,False,,0,0,https://mergr.com/company/243929,2026-09-08T12:32:04.951476+00:00
4831,Revolution,District of Columbia,10197,Interactions,Information Technology,"Franklin, Massachusetts, United States",2005-01-01,Venture,2025-09-09,Divestiture,20.7,False,,1,0,https://mergr.com/company/10197,2026-09-08T12:32:04.951476+00:00
2287,NGP Energy Technology Partners,District of Columbia,178406,Signum Instruments,Test/Measurement Equipment,"Houston, Texas, United States",2015-03-11,Growth Capital,,,11.4,True,,0,0,https://mergr.com/company/178406,2026-09-08T12:32:04.951476+00:00
2287,NGP Energy Technology Partners,District of Columbia,102717,Oilfield Water Logistics,Energy Services and Equipment,"Dallas, Texas, United States",2014-06-20,Growth Capital,2019-10-28,Trade Sale - Public Company,5.3,False,,1,0,https://mergr.com/company/102717,2026-09-08T12:32:04.951476+00:00
