owner_firm_id,owner_firm_name,owner_firm_state,company_id,company_name,sector,location,acquired_date,acquisition_type,exit_date,exit_type,hold_years,is_current,revenue_millions_usd,acquisitions_during_hold,divestitures_during_hold,mergr_url,_fetched_at
6730,Affinity Partners,Florida,40209,Electronic Arts,Digital Media,"Redwood City, California, United States",2025-09-29,Going Private,,,0.9,True,7463,0,0,https://mergr.com/company/40209,2026-09-04T02:09:13Z
6880,Act III Holdings,Florida,340159,Level99,Leisure,"Natick, Massachusetts, United States",2025-09-09,Growth Capital,,,0.9,True,,0,0,https://mergr.com/company/340159,2026-09-04T02:09:13Z
6880,Act III Holdings,Florida,343329,Honest Greens,Restaurants,"Barcelona, Spain",2025-01-13,Growth Capital,,,1.6,True,,0,0,https://mergr.com/company/343329,2026-09-04T02:09:13Z
6880,Act III Holdings,Florida,136969,BJ's,Restaurants,"Huntington Beach, California, United States",2020-05-01,Stake Purchase,,,6.3,True,1399,0,0,https://mergr.com/company/136969,2026-09-04T02:09:13Z
6880,Act III Holdings,Florida,343326,Tatte Bakery & Cafe,Restaurants,"Cambridge, Massachusetts, United States",2018-01-01,Divestiture,,,8.7,True,,0,0,https://mergr.com/company/343326,2026-09-04T02:09:13Z
6322,CNL Strategic Capital Management,Florida,280107,Shipley Do-Nuts,Franchising,"Houston, Texas, United States",2025-07-28,Secondary Buyout,,,1.1,True,,0,0,https://mergr.com/company/280107,2026-09-04T02:09:13Z
6322,CNL Strategic Capital Management,Florida,312483,IFPG,Franchising,"Parlin, New Jersey, United States",2025-07-07,Secondary Buyout,,,1.1,True,,2,0,https://mergr.com/company/312483,2026-09-04T02:09:13Z
6322,CNL Strategic Capital Management,Florida,327276,Madison Retirement,Business Services,"Appleton, Wisconsin, United States",2024-07-18,Growth Capital,,,2.1,True,,0,0,https://mergr.com/company/327276,2026-09-04T02:09:13Z
6322,CNL Strategic Capital Management,Florida,307840,USA Water,Environmental,"Houston, Texas, United States",2024-02-22,Secondary Buyout,,,2.5,True,,0,0,https://mergr.com/company/307840,2026-09-04T02:09:13Z
6322,CNL Strategic Capital Management,Florida,318361,Sill Public Adjusters,Insurance,"Cleveland, Ohio, United States",2023-10-24,"Buyout (LBO, MBO, MBI)",,,2.8,True,,0,0,https://mergr.com/company/318361,2026-09-04T02:09:13Z
6322,CNL Strategic Capital Management,Florida,257438,TacMed Solutions,Consumer Products,"Anderson, South Carolina, United States",2023-03-27,Secondary Buyout,,,3.4,True,,0,0,https://mergr.com/company/257438,2026-09-04T02:09:13Z
6322,CNL Strategic Capital Management,Florida,225535,Vektek,Manufacturing,"Emporia, Kansas, United States",2022-05-10,Secondary Buyout,,,4.3,True,,0,0,https://mergr.com/company/225535,2026-09-04T02:09:13Z
6322,CNL Strategic Capital Management,Florida,237874,Clarion,Business Services,"Milford, Pennsylvania, United States",2021-12-09,Secondary Buyout,,,4.7,True,,3,0,https://mergr.com/company/237874,2026-09-04T02:09:13Z
6322,CNL Strategic Capital Management,Florida,1715,Douglas Machines,Machinery,"Clearwater, Florida, United States",2021-10-07,Secondary Buyout,2025-08-07,Divestiture,3.8,False,,0,0,https://mergr.com/company/1715,2026-09-04T02:09:13Z
6322,CNL Strategic Capital Management,Florida,297210,ATA National Title Group,Insurance,"Farmington Hills, Michigan, United States",2021-04-05,"Buyout (LBO, MBO, MBI)",,,5.3,True,,1,0,https://mergr.com/company/297210,2026-09-04T02:09:13Z
6322,CNL Strategic Capital Management,Florida,314670,Healthcare Safety Holdings,Medical Products,"Excelsior, Minnesota, United States",2020-07-17,"Buyout (LBO, MBO, MBI)",,,6.1,True,,0,0,https://mergr.com/company/314670,2026-09-04T02:09:13Z
6322,CNL Strategic Capital Management,Florida,200998,Blue Ridge Associates,Business Services,"Charlottesville, Virginia, United States",2020-03-26,Growth Capital,,,6.4,True,,4,0,https://mergr.com/company/200998,2026-09-04T02:09:13Z
6322,CNL Strategic Capital Management,Florida,24465,Resolution Economics,Business Services,"Los Angeles, California, United States",2020-01-06,Secondary Buyout,,,6.6,True,,1,0,https://mergr.com/company/24465,2026-09-04T02:09:13Z
6322,CNL Strategic Capital Management,Florida,214223,Milton Industries,Machinery,"Chicago, Illinois, United States",2019-11-22,Secondary Buyout,,,6.8,True,,0,0,https://mergr.com/company/214223,2026-09-04T02:09:13Z
6322,CNL Strategic Capital Management,Florida,283941,Auriemma Roundtables,Business Services,"New York City, New York, United States",2019-08-01,"Buyout (LBO, MBO, MBI)",,,7.1,True,,2,0,https://mergr.com/company/283941,2026-09-04T02:09:13Z
6322,CNL Strategic Capital Management,Florida,52818,Polyform Products,Consumer Products,"Elk Grove Village, Illinois, United States",2018-02-07,Secondary Buyout,,,8.5,True,,0,0,https://mergr.com/company/52818,2026-09-04T02:09:13Z
6322,CNL Strategic Capital Management,Florida,32310,Lawn Doctor,Franchising,"Holmdel, New Jersey, United States",2018-02-07,Secondary Buyout,,,8.5,True,,0,0,https://mergr.com/company/32310,2026-09-04T02:09:13Z
6322,CNL Strategic Capital Management,Florida,70833,Law Business Research,Media,"London, United Kingdom",2017-12-22,Secondary Buyout,,,8.7,True,,4,0,https://mergr.com/company/70833,2026-09-04T02:09:13Z
6061,Weatherford Capital Management,Florida,13268,Vision Government Solutions,Software,"Hudson, Massachusetts, United States",2025-05-05,Recapitalization,,,1.3,True,,0,0,https://mergr.com/company/13268,2026-09-04T02:09:13Z
6061,Weatherford Capital Management,Florida,221870,Kalkomey,Software,"Richardson, Texas, United States",2024-06-24,Secondary Buyout,,,2.2,True,,0,0,https://mergr.com/company/221870,2026-09-04T02:09:13Z
6061,Weatherford Capital Management,Florida,320595,BusPatrol,Information Technology,"Lorton, Virginia, United States",2024-01-09,Growth Capital,,,2.6,True,,0,0,https://mergr.com/company/320595,2026-09-04T02:09:13Z
6061,Weatherford Capital Management,Florida,345257,Coreforce,Information Technology,"Atlanta, Georgia, United States",2023-10-01,"Buyout (LBO, MBO, MBI)",,,2.9,True,,0,0,https://mergr.com/company/345257,2026-09-04T02:09:13Z
6061,Weatherford Capital Management,Florida,312771,IMG Academy,Education,"Bradenton, Florida, United States",2023-04-25,Divestiture,,,3.3,True,,1,0,https://mergr.com/company/312771,2026-09-04T02:09:13Z
6061,Weatherford Capital Management,Florida,324608,Bishop Street Underwriters,Insurance,"Chicago , Illinois, United States",2023-04-01,"Buyout (LBO, MBO, MBI)",,,3.4,True,,5,0,https://mergr.com/company/324608,2026-09-04T02:09:13Z
6061,Weatherford Capital Management,Florida,312950,Stellar,Business Services,"Dallas, Texas, United States",2022-12-01,Venture,,,3.8,True,,0,0,https://mergr.com/company/312950,2026-09-04T02:09:13Z
6061,Weatherford Capital Management,Florida,333300,Arax Investment Partners,Financial Services,"New York, New York, United States",2022-08-01,"Buyout (LBO, MBO, MBI)",,,4.1,True,,6,0,https://mergr.com/company/333300,2026-09-04T02:09:13Z
6061,Weatherford Capital Management,Florida,312952,Branch,Insurance,"Columbus, Ohio, United States",2022-06-08,Venture,,,4.2,True,,0,0,https://mergr.com/company/312952,2026-09-04T02:09:13Z
6061,Weatherford Capital Management,Florida,30380,Summit Broadband,Communications,"Orlando, Florida, United States",2020-05-06,Secondary Buyout,,,6.3,True,,1,0,https://mergr.com/company/30380,2026-09-04T02:09:13Z
6061,Weatherford Capital Management,Florida,203512,CloudFactory,Internet Software and Services,"Reading, United Kingdom",2019-11-20,Growth Capital,,,6.8,True,,1,0,https://mergr.com/company/203512,2026-09-04T02:09:13Z
55,Brockway Moran & Partners,Florida,31594,MD Now Urgent Care,Healthcare Services,"West Palm Beach, Florida, United States",2012-03-30,Growth Capital,2018-08-02,Trade Sale - Public Company,6.3,False,,0,0,https://mergr.com/company/31594,2026-09-04T02:09:13Z
55,Brockway Moran & Partners,Florida,4376,Crisis Prevention Institute,Education,"Milwaukee, Wisconsin, United States",2011-11-21,Secondary Buyout,2016-11-16,Trade Sale - Public Company,4.9,False,86,0,0,https://mergr.com/company/4376,2026-09-04T02:09:13Z
