owner_firm_id,owner_firm_name,owner_firm_state,company_id,company_name,sector,location,acquired_date,acquisition_type,exit_date,exit_type,hold_years,is_current,revenue_millions_usd,acquisitions_during_hold,divestitures_during_hold,mergr_url,_fetched_at
3677,Blue Sea Capital,Florida,321675,CompletePet,Consumer Products,"Miami, Florida, United States",2026-09-01,Secondary Buyout,,,0,True,,0,0,https://mergr.com/company/321675,2026-09-04T02:09:13Z
3677,Blue Sea Capital,Florida,274228,WillowWood,Medical Products,"Mount Sterling, Ohio, United States",2026-06-16,Secondary Buyout,2026-06-16,Trade Sale - Public Company,0,False,,0,0,https://mergr.com/company/274228,2026-09-04T02:09:13Z
3677,Blue Sea Capital,Florida,303721,MicroCare,Chemicals,"New Britain, Connecticut, United States",2025-08-13,Secondary Buyout,,,1,True,,0,0,https://mergr.com/company/303721,2026-09-04T02:09:13Z
3677,Blue Sea Capital,Florida,294169,Rhino Tool House,Manufacturing,"Concord, North Carolina, United States",2023-04-05,Secondary Buyout,,,3.3,True,,5,0,https://mergr.com/company/294169,2026-09-04T02:09:13Z
3677,Blue Sea Capital,Florida,328745,Flagger Force,Safety/Security,"Hummelstown, Pennsylvania, United States",2023-02-16,"Buyout (LBO, MBO, MBI)",,,3.5,True,,2,0,https://mergr.com/company/328745,2026-09-04T02:09:13Z
3677,Blue Sea Capital,Florida,252884,ProSource,Distribution,"Greenville, South Carolina, United States",2022-09-26,Secondary Buyout,,,3.9,True,,1,0,https://mergr.com/company/252884,2026-09-04T02:09:13Z
3677,Blue Sea Capital,Florida,302508,Specialty Smile Partners,Healthcare Services,"Eau Claire, Wisconsin, United States",2022-04-08,"Buyout (LBO, MBO, MBI)",,,4.3,True,,0,0,https://mergr.com/company/302508,2026-09-04T02:09:13Z
3677,Blue Sea Capital,Florida,302444,Plasma Processes,Business Services,"Huntsville, Alabama, United States",2021-12-17,Growth Capital,,,4.7,True,,1,0,https://mergr.com/company/302444,2026-09-04T02:09:13Z
3677,Blue Sea Capital,Florida,274228,WillowWood,Medical Products,"Mount Sterling, Ohio, United States",2021-12-06,Secondary Buyout,2026-06-16,Trade Sale - Public Company,4.5,False,,2,0,https://mergr.com/company/274228,2026-09-04T02:09:13Z
3677,Blue Sea Capital,Florida,28960,Abrasive Technology,Manufacturing,"Lewis Center, Ohio, United States",2021-05-10,Growth Capital,,,5.3,True,,0,0,https://mergr.com/company/28960,2026-09-04T02:09:13Z
