owner_firm_id,owner_firm_name,owner_firm_state,company_id,company_name,sector,location,acquired_date,acquisition_type,exit_date,exit_type,hold_years,is_current,revenue_millions_usd,acquisitions_during_hold,divestitures_during_hold,mergr_url,_fetched_at
484,Roark Capital Group,Georgia,337061,Dave's Hot Chicken,Restaurants,"Pasadena, California, United States",2025-06-02,"Buyout (LBO, MBO, MBI)",,,1.3,True,,0,0,https://mergr.com/company/337061,2026-09-04T01:58:15.235565+00:00
484,Roark Capital Group,Georgia,245695,GPRS,Technology Hardware,"Maumee, Ohio, United States",2025-01-13,Secondary Buyout,,,1.6,True,,0,0,https://mergr.com/company/245695,2026-09-04T01:58:15.235565+00:00
484,Roark Capital Group,Georgia,316371,Subway,Restaurants,"Milford, Connecticut, United States",2023-08-24,"Buyout (LBO, MBO, MBI)",,,3,True,,0,0,https://mergr.com/company/316371,2026-09-04T01:58:15.235565+00:00
484,Roark Capital Group,Georgia,292593,Mathnasium,Franchising,"Los Angeles, California, United States",2021-11-16,"Buyout (LBO, MBO, MBI)",,,4.8,True,,0,0,https://mergr.com/company/292593,2026-09-04T01:58:15.235565+00:00
484,Roark Capital Group,Georgia,293551,Youth Enrichment Brands,Consumer Services,"San Rafael, California, United States",2021-10-19,Consolidation,,,4.8,True,,3,0,https://mergr.com/company/293551,2026-09-04T01:58:15.235565+00:00
484,Roark Capital Group,Georgia,227876,Nothing Bundt Cakes,Franchising,"Addison, Texas, United States",2021-05-14,Secondary Buyout,2026-03-26,Trade Sale - Public Company,4.8,False,,0,0,https://mergr.com/company/227876,2026-09-04T01:58:15.235565+00:00
484,Roark Capital Group,Georgia,275867,ServiceMaster,Consumer Services,"Atlanta, Georgia, United States",2020-09-02,Divestiture,,,6,True,,1,0,https://mergr.com/company/275867,2026-09-04T01:58:15.235565+00:00
484,Roark Capital Group,Georgia,277177,US Sports Camps,Education,"San Rafael, California, United States",2020-08-31,Growth Capital,,,6,True,,3,0,https://mergr.com/company/277177,2026-09-04T01:58:15.235565+00:00
484,Roark Capital Group,Georgia,69270,Divisions Maintenance Group,Business Services,"Cincinnati, Ohio, United States",2020-08-17,Growth Capital,,,6,True,,0,0,https://mergr.com/company/69270,2026-09-04T01:58:15.235565+00:00
484,Roark Capital Group,Georgia,134381,Cheesecake Factory,Restaurants,"Calabasas, California, United States",2020-04-20,Stake Purchase,,,6.3,True,3752,0,0,https://mergr.com/company/134381,2026-09-04T01:58:15.235565+00:00
