owner_firm_id,owner_firm_name,owner_firm_state,company_id,company_name,sector,location,acquired_date,acquisition_type,exit_date,exit_type,hold_years,is_current,revenue_millions_usd,acquisitions_during_hold,divestitures_during_hold,mergr_url,_fetched_at
5231,Resurgens Technology Partners,Georgia,352786,Qarma,Internet Software and Services,"Aarhus, Denmark",2026-08-13,"Buyout (LBO, MBO, MBI)",,,0,True,,0,0,https://mergr.com/company/352786,2026-09-04T01:58:15.235565+00:00
5231,Resurgens Technology Partners,Georgia,346622,Breezeway,Internet Software and Services,"Boston, Massachusetts, United States",2026-03-03,Growth Capital,,,0.5,True,,0,0,https://mergr.com/company/346622,2026-09-04T01:58:15.235565+00:00
5231,Resurgens Technology Partners,Georgia,330325,Movemedical,Software,"San Diego, California, United States",2024-10-28,Growth Capital,,,1.8,True,,0,0,https://mergr.com/company/330325,2026-09-04T01:58:15.235565+00:00
5231,Resurgens Technology Partners,Georgia,273739,Avantra,Software,"London, United Kingdom",2024-10-01,Secondary Buyout,,,1.9,True,,0,0,https://mergr.com/company/273739,2026-09-04T01:58:15.235565+00:00
5231,Resurgens Technology Partners,Georgia,259910,Valant,Internet Software and Services,"Seattle, Washington, United States",2023-12-04,Secondary Buyout,,,2.8,True,,0,0,https://mergr.com/company/259910,2026-09-04T01:58:15.235565+00:00
5231,Resurgens Technology Partners,Georgia,72061,Detechtion Technologies,Information Technology,"Houston, Texas, United States",2023-07-10,Secondary Buyout,,,3.1,True,,1,0,https://mergr.com/company/72061,2026-09-04T01:58:15.235565+00:00
5231,Resurgens Technology Partners,Georgia,309143,MCIM by Fulcrum Collaborations,Software,"Glen Allen, Virginia, United States",2023-01-17,Growth Capital,,,3.6,True,,0,0,https://mergr.com/company/309143,2026-09-04T01:58:15.235565+00:00
5231,Resurgens Technology Partners,Georgia,319193,Knack,Software,"Austin, Texas, United States",2022-08-30,Growth Capital,,,4,True,,0,0,https://mergr.com/company/319193,2026-09-04T01:58:15.235565+00:00
5231,Resurgens Technology Partners,Georgia,241542,Wellspring,Software,"Arvada, Colorado, United States",2022-07-14,Growth Capital,,,4.1,True,,2,0,https://mergr.com/company/241542,2026-09-04T01:58:15.235565+00:00
5231,Resurgens Technology Partners,Georgia,299149,Case IQ,Software,"Ottawa, Ontario, Canada",2022-04-27,Growth Capital,,,4.3,True,,2,0,https://mergr.com/company/299149,2026-09-04T01:58:15.235565+00:00
5231,Resurgens Technology Partners,Georgia,297301,Superna,Information Technology,"Ottawa, Ontario, Canada",2022-03-10,Growth Capital,,,4.4,True,,0,0,https://mergr.com/company/297301,2026-09-04T01:58:15.235565+00:00
5231,Resurgens Technology Partners,Georgia,247232,AgencyBloc,Software,"Cedar Falls, Iowa, United States",2021-10-07,Growth Capital,,,4.8,True,,2,0,https://mergr.com/company/247232,2026-09-04T01:58:15.235565+00:00
5231,Resurgens Technology Partners,Georgia,303950,EnergyCAP,Software,"Boalsburg, Pennsylvania, United States",2021-03-17,Growth Capital,,,5.4,True,,1,0,https://mergr.com/company/303950,2026-09-04T01:58:15.235565+00:00
5231,Resurgens Technology Partners,Georgia,302927,RelayHub,Software,"Bristol, Rhode Island, United States",2021-03-01,Growth Capital,,,5.5,True,,0,0,https://mergr.com/company/302927,2026-09-04T01:58:15.235565+00:00
5231,Resurgens Technology Partners,Georgia,290635,GitKraken,Software,"Scottsdale, Arizona, United States",2020-09-03,Growth Capital,,,6,True,,3,0,https://mergr.com/company/290635,2026-09-04T01:58:15.235565+00:00
5231,Resurgens Technology Partners,Georgia,295441,OfficeSpace,Internet Software and Services,"Wilmington, Delaware, United States",2019-12-17,Growth Capital,,,6.7,True,,1,0,https://mergr.com/company/295441,2026-09-04T01:58:15.235565+00:00
5231,Resurgens Technology Partners,Georgia,319205,Verity,Software,"Boston, Massachusetts, United States",2019-06-25,Growth Capital,2025-10-01,Divestiture,6.3,False,,0,0,https://mergr.com/company/319205,2026-09-04T01:58:15.235565+00:00
5231,Resurgens Technology Partners,Georgia,250943,Castellan,Software,"Audubon, Pennsylvania, United States",2018-05-16,Divestiture,2022-07-12,Divestiture,4.1,False,,2,0,https://mergr.com/company/250943,2026-09-04T01:58:15.235565+00:00
5231,Resurgens Technology Partners,Georgia,206867,Investment Metrics,Information Technology,"Norwalk, Connecticut, United States",2017-06-20,Growth Capital,2021-11-03,Divestiture,4.3,False,,2,0,https://mergr.com/company/206867,2026-09-04T01:58:15.235565+00:00
3525,Eagle Merchant Partners,Georgia,340965,ES Integrated,Environmental,"Charleston, South Carolina, United States",2025-09-29,Growth Capital,,,0.9,True,,0,0,https://mergr.com/company/340965,2026-09-04T01:58:15.235565+00:00
3525,Eagle Merchant Partners,Georgia,337828,Aligned Fitness Posture Therapy,Consumer Services,"San Jose, California, United States",2025-06-26,Growth Capital,,,1.2,True,,1,0,https://mergr.com/company/337828,2026-09-04T01:58:15.235565+00:00
3525,Eagle Merchant Partners,Georgia,330606,AYA Medical Spa,Consumer Services,"Atlanta, Georgia, United States",2024-11-12,Growth Capital,,,1.8,True,,1,0,https://mergr.com/company/330606,2026-09-04T01:58:15.235565+00:00
3525,Eagle Merchant Partners,Georgia,330003,SamCo,Construction,"Centennial, Colorado, United States",2024-10-23,"Buyout (LBO, MBO, MBI)",,,1.8,True,,0,0,https://mergr.com/company/330003,2026-09-04T01:58:15.235565+00:00
3525,Eagle Merchant Partners,Georgia,319727,Impact Home Services,Consumer Services,"Tampa, Florida, United States",2023-05-09,Growth Capital,,,3.3,True,,0,0,https://mergr.com/company/319727,2026-09-04T01:58:15.235565+00:00
3525,Eagle Merchant Partners,Georgia,327215,TCB Franchising,Business Services,"Cordova, Tennessee, United States",2023-04-13,Consolidation,,,3.3,True,,2,0,https://mergr.com/company/327215,2026-09-04T01:58:15.235565+00:00
3525,Eagle Merchant Partners,Georgia,306535,Eskola,Construction,"Morristown, Tennessee, United States",2022-10-31,Growth Capital,,,3.8,True,,6,0,https://mergr.com/company/306535,2026-09-04T01:58:15.235565+00:00
3525,Eagle Merchant Partners,Georgia,305722,Puget Collision,Automotive,"Kent, Washington, United States",2022-09-27,Growth Capital,,,3.9,True,,0,0,https://mergr.com/company/305722,2026-09-04T01:58:15.235565+00:00
3525,Eagle Merchant Partners,Georgia,229063,Enviro-Master Services,Business Services,"Charlotte, North Carolina, United States",2022-04-18,Growth Capital,,,4.3,True,,0,0,https://mergr.com/company/229063,2026-09-04T01:58:15.235565+00:00
3525,Eagle Merchant Partners,Georgia,280539,Caliber Car Wash,Consumer Services,"Atlanta, Georgia, United States",2021-01-12,Growth Capital,2021-12-16,Trade Sale - Public Company,0.9,False,,0,0,https://mergr.com/company/280539,2026-09-04T01:58:15.235565+00:00
3525,Eagle Merchant Partners,Georgia,273471,Code Ninjas,Education,"Peachtree Corners, Georgia, United States",2020-06-22,Growth Capital,,,6.2,True,,0,0,https://mergr.com/company/273471,2026-09-04T01:58:15.235565+00:00
3525,Eagle Merchant Partners,Georgia,253483,The Recreational Group,Manufacturing,"Dalton, Georgia, United States",2018-08-14,Growth Capital,2022-01-13,Trade Sale - Public Company,3.3,False,,7,0,https://mergr.com/company/253483,2026-09-04T01:58:15.235565+00:00
3525,Eagle Merchant Partners,Georgia,185880,Chicken Salad Chick,Restaurants,"Atlanta, Georgia, United States",2015-05-04,Growth Capital,2019-11-04,Trade Sale - Public Company,4.5,False,,0,0,https://mergr.com/company/185880,2026-09-04T01:58:15.235565+00:00
3525,Eagle Merchant Partners,Georgia,4335,LSO,Transportation,"Plano, Texas, United States",2014-04-24,Secondary Buyout,2021-12-01,Trade Sale - Public Company,7.6,False,,1,0,https://mergr.com/company/4335,2026-09-04T01:58:15.235565+00:00
3525,Eagle Merchant Partners,Georgia,111445,Square 1 Restaurants,Restaurants,"Irving, Texas, United States",2013-12-16,"Buyout (LBO, MBO, MBI)",2017-10-30,Bankruptcy,3.8,False,,0,0,https://mergr.com/company/111445,2026-09-04T01:58:15.235565+00:00
3557,Caymus Equity Partners,Georgia,336438,Valley Lighting,Electrical Equipment,"Linthicum Heights, Maryland, United States",2025-05-13,"Buyout (LBO, MBO, MBI)",,,1.3,True,,1,0,https://mergr.com/company/336438,2026-09-04T01:58:15.235565+00:00
3557,Caymus Equity Partners,Georgia,319002,Quality Environmental Services,Environmental,"Beaverton, Michigan, United States",2023-11-15,"Buyout (LBO, MBO, MBI)",,,2.8,True,,1,0,https://mergr.com/company/319002,2026-09-04T01:58:15.235565+00:00
3557,Caymus Equity Partners,Georgia,305261,Seneca Resources,Staffing,"Reston, Virginia, United States",2022-09-21,"Buyout (LBO, MBO, MBI)",,,3.9,True,,0,0,https://mergr.com/company/305261,2026-09-04T01:58:15.235565+00:00
3557,Caymus Equity Partners,Georgia,322182,Overland Vehicle Systems,Automotive,"Santa Fe Springs, California, United States",2022-07-01,Growth Capital,,,4.2,True,,0,0,https://mergr.com/company/322182,2026-09-04T01:58:15.235565+00:00
3557,Caymus Equity Partners,Georgia,286076,Colorado Barricade,Safety/Security,"Denver, Colorado, United States",2021-05-31,"Buyout (LBO, MBO, MBI)",,,5.3,True,,1,0,https://mergr.com/company/286076,2026-09-04T01:58:15.235565+00:00
3557,Caymus Equity Partners,Georgia,276265,PlanIT Group,Information Technology,"Alpharetta, Georgia, United States",2020-09-01,Recapitalization,,,6,True,,0,0,https://mergr.com/company/276265,2026-09-04T01:58:15.235565+00:00
3557,Caymus Equity Partners,Georgia,269303,Pan-Am Dental,Medical Products,"Savannah, Georgia, United States",2019-12-01,Growth Capital,,,6.8,True,,4,0,https://mergr.com/company/269303,2026-09-04T01:58:15.235565+00:00
3557,Caymus Equity Partners,Georgia,336670,Catalis Dental Lab Partners,Healthcare Services,"Tempe, Arizona, United States",2019-01-01,"Buyout (LBO, MBO, MBI)",,,7.7,True,,1,0,https://mergr.com/company/336670,2026-09-04T01:58:15.235565+00:00
