owner_firm_id,owner_firm_name,owner_firm_state,company_id,company_name,sector,location,acquired_date,acquisition_type,exit_date,exit_type,hold_years,is_current,revenue_millions_usd,acquisitions_during_hold,divestitures_during_hold,mergr_url,_fetched_at
5992,Red Dog Equity,Georgia,350317,Entegee,Staffing,"Braintree, Massachusetts, United States",2026-06-11,Divestiture,,,0.2,True,,0,0,https://mergr.com/company/350317,2026-09-04T01:58:15.235565+00:00
5992,Red Dog Equity,Georgia,315554,ADL Delivery,Transportation,"Thonotosassa, Florida, United States",2022-04-11,Consolidation,,,4.3,True,,3,0,https://mergr.com/company/315554,2026-09-04T01:58:15.235565+00:00
5992,Red Dog Equity,Georgia,315555,Superior USA Waste,Environmental,"Shawnee, Oklahoma, United States",2022-04-04,Acquisition Financing,2025-09-09,Divestiture,3.4,False,,4,0,https://mergr.com/company/315555,2026-09-04T01:58:15.235565+00:00
5992,Red Dog Equity,Georgia,262641,Mammoth Holdings,Consumer Services,"Atlanta, Georgia, United States",2018-10-18,Consolidation,,,7.8,True,,18,0,https://mergr.com/company/262641,2026-09-04T01:58:15.235565+00:00
525,Source Capital,Georgia,350921,KCI Telecommunications,Communications,"Harrisburg, North Carolina, United States",2026-03-27,Growth Capital,,,0.4,True,,0,0,https://mergr.com/company/350921,2026-09-04T01:58:15.235565+00:00
525,Source Capital,Georgia,336589,Archway Service Group,Business Services,"Shelby, North Carolina, United States",2025-05-15,"Buyout (LBO, MBO, MBI)",,,1.3,True,,0,0,https://mergr.com/company/336589,2026-09-04T01:58:15.235565+00:00
525,Source Capital,Georgia,334811,Pilot Painting,Construction,"Orange, California, United States",2025-03-13,Growth Capital,,,1.4,True,,0,0,https://mergr.com/company/334811,2026-09-04T01:58:15.235565+00:00
525,Source Capital,Georgia,205002,KeyMark,Information Technology,"Liberty, South Carolina, United States",2025-03-01,Growth Capital,,,1.5,True,,0,0,https://mergr.com/company/205002,2026-09-04T01:58:15.235565+00:00
525,Source Capital,Georgia,332271,CollectiveCare Dental,Healthcare Services,"Moorestown, New Jersey, United States",2025-01-02,Growth Capital,,,1.7,True,,0,0,https://mergr.com/company/332271,2026-09-04T01:58:15.235565+00:00
525,Source Capital,Georgia,344094,World Water Works,Environmental,"Oklahoma city, Oklahoma, United States",2024-12-04,Growth Capital,,,1.8,True,,0,0,https://mergr.com/company/344094,2026-09-04T01:58:15.235565+00:00
525,Source Capital,Georgia,330103,Pinnacle Central,Business Services,"Jacksonville, Florida, United States",2024-10-28,Growth Capital,,,1.8,True,,0,0,https://mergr.com/company/330103,2026-09-04T01:58:15.235565+00:00
525,Source Capital,Georgia,330003,SamCo,Construction,"Centennial, Colorado, United States",2024-10-23,"Buyout (LBO, MBO, MBI)",,,1.8,True,,0,0,https://mergr.com/company/330003,2026-09-04T01:58:15.235565+00:00
525,Source Capital,Georgia,320599,Rapid Prep,Business Services,"North Kingstown, Rhode Island, United States",2023-12-01,Growth Capital,,,2.8,True,,0,0,https://mergr.com/company/320599,2026-09-04T01:58:15.235565+00:00
525,Source Capital,Georgia,319731,Septic Blue,Environmental,"Cumming, Georgia, United States",2023-11-15,"Buyout (LBO, MBO, MBI)",,,2.8,True,,1,0,https://mergr.com/company/319731,2026-09-04T01:58:15.235565+00:00
525,Source Capital,Georgia,326439,Guardian Fleet Services,Transportation,"West Palm Beach, Florida, United States",2023-02-21,Growth Capital,,,3.5,True,,2,0,https://mergr.com/company/326439,2026-09-04T01:58:15.235565+00:00
525,Source Capital,Georgia,300044,Kitchen Brains,Machinery,"Stratford, Connecticut, United States",2022-05-19,"Buyout (LBO, MBO, MBI)",,,4.3,True,,2,0,https://mergr.com/company/300044,2026-09-04T01:58:15.235565+00:00
525,Source Capital,Georgia,312960,AE Tools & Computers,Automotive,"Olathe, Kansas, United States",2022-03-01,"Buyout (LBO, MBO, MBI)",,,4.5,True,,0,0,https://mergr.com/company/312960,2026-09-04T01:58:15.235565+00:00
525,Source Capital,Georgia,282932,Amplifi,Information Technology,"Dallas, Texas, United States",2022-01-01,Stake Purchase,,,4.7,True,,1,0,https://mergr.com/company/282932,2026-09-04T01:58:15.235565+00:00
525,Source Capital,Georgia,292932,Nexus Cognitive Solutions,Software,"Addison, Texas, United States",2021-11-23,Growth Capital,,,4.8,True,,0,0,https://mergr.com/company/292932,2026-09-04T01:58:15.235565+00:00
525,Source Capital,Georgia,289521,Big Blanket,Retail,"Springfield, Missouri, United States",2021-07-27,Recapitalization,,,5.1,True,,0,0,https://mergr.com/company/289521,2026-09-04T01:58:15.235565+00:00
525,Source Capital,Georgia,286288,CTL Amedica,Medical Products,"Addison, Texas, United States",2021-06-08,Growth Capital,,,5.2,True,,0,0,https://mergr.com/company/286288,2026-09-04T01:58:15.235565+00:00
525,Source Capital,Georgia,285265,Spinnaker SCA,Information Technology,"Denver, Colorado, United States",2021-05-12,Growth Capital,2024-03-12,Divestiture,2.8,False,,1,0,https://mergr.com/company/285265,2026-09-04T01:58:15.235565+00:00
525,Source Capital,Georgia,275891,BlueAlly,Information Technology,"Atlanta, Georgia, United States",2020-09-03,"Buyout (LBO, MBO, MBI)",,,6,True,,6,0,https://mergr.com/company/275891,2026-09-04T01:58:15.235565+00:00
525,Source Capital,Georgia,275956,Eastern Datacomm,Information Technology,"Hackensack, New Jersey, United States",2020-07-20,"Buyout (LBO, MBO, MBI)",,,6.1,True,,2,0,https://mergr.com/company/275956,2026-09-04T01:58:15.235565+00:00
525,Source Capital,Georgia,275951,Cheeze Kurls,Food,"Walker, Michigan, United States",2020-07-01,"Buyout (LBO, MBO, MBI)",,,6.2,True,,0,0,https://mergr.com/company/275951,2026-09-04T01:58:15.235565+00:00
525,Source Capital,Georgia,271960,Catalyst MedTech,Medical Products,"Pittsburgh, Pennsylvania, United States",2018-12-01,Growth Capital,2021-12-27,Trade Sale - Public Company,3,False,,0,0,https://mergr.com/company/271960,2026-09-04T01:58:15.235565+00:00
525,Source Capital,Georgia,253107,Aspire Allergy & Sinus,Healthcare Services,"Austin, Texas, United States",2018-07-27,Growth Capital,,,8.1,True,,1,0,https://mergr.com/company/253107,2026-09-04T01:58:15.235565+00:00
525,Source Capital,Georgia,250631,M&M Carnot,Manufacturing,"Federalsburg, Maryland, United States",2018-05-03,"Buyout (LBO, MBO, MBI)",2023-06-21,Divestiture,5.1,False,,1,0,https://mergr.com/company/250631,2026-09-04T01:58:15.235565+00:00
525,Source Capital,Georgia,264971,Displayit,Manufacturing,"Buford, Georgia, United States",2018-01-01,"Buyout (LBO, MBO, MBI)",,,8.7,True,,0,0,https://mergr.com/company/264971,2026-09-04T01:58:15.235565+00:00
