owner_firm_id,owner_firm_name,owner_firm_state,company_id,company_name,sector,location,acquired_date,acquisition_type,exit_date,exit_type,hold_years,is_current,revenue_millions_usd,acquisitions_during_hold,divestitures_during_hold,mergr_url,_fetched_at
2026,Green Courte Partners,Illinois,346883,Park n’ Jet,Business Services,"Salt Lake City, Utah, United States",2026-03-10,"Buyout (LBO, MBO, MBI)",,,0.4,True,,0,0,https://mergr.com/company/346883,2026-09-07T00:00:00Z
2026,Green Courte Partners,Illinois,347398,True Connection Communities,Consumer Services,"Clearwater, Florida, United States",2017-01-01,Consolidation,,,9.7,True,,1,0,https://mergr.com/company/347398,2026-09-07T00:00:00Z
2026,Green Courte Partners,Illinois,76277,The Parking Spot,Consumer Services,"Chicago, Illinois, United States",2011-12-01,"Buyout (LBO, MBO, MBI)",2024-10-08,Trade Sale - Public Company,12.8,False,,1,0,https://mergr.com/company/76277,2026-09-07T00:00:00Z
2026,Green Courte Partners,Illinois,76269,American Land Lease,Real Estate,"Clearwater, Florida, United States",2009-03-16,"Buyout (LBO, MBO, MBI)",,,17.4,True,,0,0,https://mergr.com/company/76269,2026-09-07T00:00:00Z
3233,Equity Group Investments,Illinois,343975,CIT Trucks,Automotive,"Normal, Illinois, United States",2025-12-15,Growth Capital,,,0.7,True,,0,0,https://mergr.com/company/343975,2026-09-07T00:00:00Z
3233,Equity Group Investments,Illinois,329036,Baja Aqua Farms,Agriculture,"Ensenada, Mexico",2023-11-29,Growth Capital,,,2.8,True,,1,0,https://mergr.com/company/329036,2026-09-07T00:00:00Z
3233,Equity Group Investments,Illinois,329037,CraneWorks,Machinery,"Houston, Texas, United States",2023-11-01,Growth Capital,,,2.8,True,,0,0,https://mergr.com/company/329037,2026-09-07T00:00:00Z
3233,Equity Group Investments,Illinois,319980,Entertainment Earth,E-Commerce,"Simi Valley, California, United States",2022-08-02,Growth Capital,,,4.1,True,,0,0,https://mergr.com/company/319980,2026-09-07T00:00:00Z
3233,Equity Group Investments,Illinois,208021,East Coast Warehouse & Distribution,Transportation,"Elizabeth, New Jersey, United States",2022-01-27,Secondary Buyout,,,4.6,True,,0,0,https://mergr.com/company/208021,2026-09-07T00:00:00Z
3233,Equity Group Investments,Illinois,329040,Paper Transport,Transportation,"De Pere, Wisconsin, United States",2021-07-20,Growth Capital,,,5.1,True,,0,0,https://mergr.com/company/329040,2026-09-07T00:00:00Z
3233,Equity Group Investments,Illinois,276891,Able Freight Services,Transportation,"Los Angeles, California, United States",2020-10-05,Growth Capital,,,5.9,True,,0,0,https://mergr.com/company/276891,2026-09-07T00:00:00Z
3233,Equity Group Investments,Illinois,281915,Alpine Summit Energy Partners,Financial Services,"Nashville, Tennessee, United States",2019-09-10,Joint Venture,2022-09-28,IPO,3,False,,1,0,https://mergr.com/company/281915,2026-09-07T00:00:00Z
3233,Equity Group Investments,Illinois,281881,Lanter Delivery Systems,Transportation,"Des Peres, Missouri, United States",2019-07-10,Growth Capital,2025-03-31,Trade Sale - Public Company,5.7,False,,0,0,https://mergr.com/company/281881,2026-09-07T00:00:00Z
