owner_firm_id,owner_firm_name,owner_firm_state,company_id,company_name,sector,location,acquired_date,acquisition_type,exit_date,exit_type,hold_years,is_current,revenue_millions_usd,acquisitions_during_hold,divestitures_during_hold,mergr_url,_fetched_at
5573,RiverGlade Capital,Illinois,346764,CLD,Education,"Belmont, Massachusetts, United States",2025-07-31,Growth Capital,,,1.1,True,,0,0,https://mergr.com/company/346764,2026-09-07T00:00:00Z
5573,RiverGlade Capital,Illinois,346767,James River Home Health & Hospice,Healthcare Services,"North Chesterfield, Virginia, United States",2024-06-07,Growth Capital,,,2.3,True,,1,0,https://mergr.com/company/346767,2026-09-07T00:00:00Z
5573,RiverGlade Capital,Illinois,291051,Wellworks For You,Healthcare Services,"Frazer, Pennsylvania, United States",2023-01-13,"Buyout (LBO, MBO, MBI)",,,3.6,True,,0,0,https://mergr.com/company/291051,2026-09-07T00:00:00Z
5573,RiverGlade Capital,Illinois,215137,Home Helpers,Franchising,"Blue Ash, Ohio, United States",2021-04-08,Secondary Buyout,,,5.3,True,,0,0,https://mergr.com/company/215137,2026-09-07T00:00:00Z
5573,RiverGlade Capital,Illinois,294622,Dynamic Access,Healthcare Services,"Richardson, Texas, United States",2021-01-01,"Buyout (LBO, MBO, MBI)",,,5.7,True,,10,0,https://mergr.com/company/294622,2026-09-07T00:00:00Z
5573,RiverGlade Capital,Illinois,306242,2nd Chance Treatment Centers,Healthcare Services,"San Tan Valley, Arizona, United States",2021-01-01,Stake Purchase,,,5.7,True,,0,0,https://mergr.com/company/306242,2026-09-07T00:00:00Z
5573,RiverGlade Capital,Illinois,39489,TenderHeart Health Outcomes,Healthcare Services,"Austin, Texas, United States",2020-08-14,Secondary Buyout,,,6,True,,0,0,https://mergr.com/company/39489,2026-09-07T00:00:00Z
5573,RiverGlade Capital,Illinois,274178,CityVet,Consumer Services,"Dallas, Texas, United States",2019-04-08,"Buyout (LBO, MBO, MBI)",,,7.3,True,,3,0,https://mergr.com/company/274178,2026-09-07T00:00:00Z
5573,RiverGlade Capital,Illinois,38117,Kids Care Dental & Orthodontics,Healthcare Services,"Rancho Cordova, California, United States",2019-01-10,Secondary Buyout,,,7.6,True,,0,0,https://mergr.com/company/38117,2026-09-07T00:00:00Z
5573,RiverGlade Capital,Illinois,274181,USOSM,Business Services,"Irving, Texas, United States",2017-11-01,"Buyout (LBO, MBO, MBI)",2021-11-08,Trade Sale - Public Company,4,False,,0,0,https://mergr.com/company/274181,2026-09-07T00:00:00Z
5330,HC Private Investments,Illinois,26956,Specialty Bakers,Food,"Marysville, Pennsylvania, United States",2025-06-19,Secondary Buyout,,,1.2,True,,0,0,https://mergr.com/company/26956,2026-09-07T00:00:00Z
5330,HC Private Investments,Illinois,336966,Artisan Bakery,Food,"Louisiana, United States",2025-06-01,"Buyout (LBO, MBO, MBI)",,,1.3,True,,0,0,https://mergr.com/company/336966,2026-09-07T00:00:00Z
5330,HC Private Investments,Illinois,315519,QEI,Software,"Springfield, New Jersey, United States",2023-07-27,"Buyout (LBO, MBO, MBI)",,,3.1,True,,1,0,https://mergr.com/company/315519,2026-09-07T00:00:00Z
5330,HC Private Investments,Illinois,309839,Prince Industries,Machinery,"Carol Stream, Illinois, United States",2022-08-02,Growth Capital,,,4.1,True,,4,0,https://mergr.com/company/309839,2026-09-07T00:00:00Z
5330,HC Private Investments,Illinois,292391,CDI,Transportation,"Norcross, Georgia, United States",2021-11-10,Growth Capital,,,4.8,True,,0,0,https://mergr.com/company/292391,2026-09-07T00:00:00Z
5330,HC Private Investments,Illinois,331060,Epicurean Butter,Food,"Thornton, Colorado, United States",2019-09-04,Stake Purchase,2026-07-01,Divestiture,6.8,False,,0,0,https://mergr.com/company/331060,2026-09-07T00:00:00Z
5330,HC Private Investments,Illinois,247662,Kruger Plastic Products,Plastics,"Bridgman, Michigan, United States",2018-01-17,"Buyout (LBO, MBO, MBI)",,,8.6,True,,1,0,https://mergr.com/company/247662,2026-09-07T00:00:00Z
5330,HC Private Investments,Illinois,331061,Springboard,Manufacturing,"Rancho Cordova, California, United States",2017-12-01,"Buyout (LBO, MBO, MBI)",2026-01-08,Divestiture,8.1,False,,1,0,https://mergr.com/company/331061,2026-09-07T00:00:00Z
6260,Avathon Capital,Illinois,335999,OculusIT,Information Technology,"Chicago, Illinois, United States",2025-04-28,"Buyout (LBO, MBO, MBI)",,,1.3,True,,0,0,https://mergr.com/company/335999,2026-09-07T00:00:00Z
6260,Avathon Capital,Illinois,333660,Yellow Brick Road,Education,"Plymouth, Minnesota, United States",2025-02-06,"Buyout (LBO, MBO, MBI)",,,1.6,True,,0,0,https://mergr.com/company/333660,2026-09-07T00:00:00Z
