owner_firm_id,owner_firm_name,owner_firm_state,company_id,company_name,sector,location,acquired_date,acquisition_type,exit_date,exit_type,hold_years,is_current,revenue_millions_usd,acquisitions_during_hold,divestitures_during_hold,mergr_url,_fetched_at
6514,5th Century Partners,Illinois,338632,Winners Circle Group of Texas,Healthcare Services,"Houston, Texas, United States",2024-12-10,Growth Capital,,,1.7,True,,0,0,https://mergr.com/company/338632,2026-09-07T00:00:00Z
6514,5th Century Partners,Illinois,328688,My Favorite Therapists,Healthcare Services,"Deerfield Beach, Florida, United States",2024-09-05,Growth Capital,,,2,True,,0,0,https://mergr.com/company/328688,2026-09-07T00:00:00Z
6514,5th Century Partners,Illinois,310381,Perspecta,Information Technology,"Langhorne, Pennsylvania, United States",2023-02-23,"Buyout (LBO, MBO, MBI)",,,3.5,True,,0,0,https://mergr.com/company/310381,2026-09-07T00:00:00Z
6514,5th Century Partners,Illinois,313005,LSL Healthcare,Medical Products,"Niles, Illinois, United States",2022-12-15,"Buyout (LBO, MBO, MBI)",,,3.7,True,,0,0,https://mergr.com/company/313005,2026-09-07T00:00:00Z
6514,5th Century Partners,Illinois,309289,Radon Medical Imaging,Medical Products,"Ona, West Virginia, United States",2022-12-02,"Buyout (LBO, MBO, MBI)",,,3.8,True,,4,0,https://mergr.com/company/309289,2026-09-07T00:00:00Z
6514,5th Century Partners,Illinois,313010,Peace Out,Consumer Products,"San Francisco, California, United States",2022-11-07,Growth Capital,,,3.8,True,,0,0,https://mergr.com/company/313010,2026-09-07T00:00:00Z
6514,5th Century Partners,Illinois,300280,Vital Care Industries,Distribution,"Tinley Park, Illinois, United States",2021-01-05,"Buyout (LBO, MBO, MBI)",,,5.7,True,,0,0,https://mergr.com/company/300280,2026-09-07T00:00:00Z
5528,Agamya Capital,Illinois,255890,WIN Home Inspection,Business Services,"Chicago, Illinois, United States",2018-11-14,"Buyout (LBO, MBO, MBI)",,,7.8,True,,0,0,https://mergr.com/company/255890,2026-09-07T00:00:00Z
837,Alpha Capital Partners,Illinois,4083,Propane Services LLC,Distribution,"Romulus, Michigan, United States",2012-02-01,Recapitalization,,,14.6,True,,0,0,https://mergr.com/company/4083,2026-09-07T00:00:00Z
837,Alpha Capital Partners,Illinois,216003,Stalcop LLC,Metals/Mining,"Thorntown, Indiana, United States",2010-04-01,Recapitalization,,,16.4,True,,0,0,https://mergr.com/company/216003,2026-09-07T00:00:00Z
837,Alpha Capital Partners,Illinois,6651,MachineryLink,Agriculture,"Kansas City, Missouri, United States",2006-12-08,Growth Capital,,,19.7,True,,0,0,https://mergr.com/company/6651,2026-09-07T00:00:00Z
837,Alpha Capital Partners,Illinois,7168,Endres Processing LLC,Food,"Rosemount, Minnesota, United States",2004-04-15,Recapitalization,,,22.3,True,,1,0,https://mergr.com/company/7168,2026-09-07T00:00:00Z
837,Alpha Capital Partners,Illinois,6649,Factory Connection LLC,Retail,"Guntersville, Alabama, United States",2004-04-02,Recapitalization,,,22.4,True,,0,0,https://mergr.com/company/6649,2026-09-07T00:00:00Z
837,Alpha Capital Partners,Illinois,23043,America's Powersports,Automotive,"Allen, Texas, United States",2003-10-01,Venture,2016-06-30,Divestiture,12.7,False,,0,0,https://mergr.com/company/23043,2026-09-07T00:00:00Z
4863,American Working Capital,Illinois,324935,ACTGeo,Construction,"Irvine, California, United States",2021-10-25,Consolidation,,,4.8,True,,2,0,https://mergr.com/company/324935,2026-09-07T00:00:00Z
4863,American Working Capital,Illinois,318893,Salva Terra Holdings,Environmental,"Englewood, Colorado, United States",2020-12-14,Growth Capital,,,5.7,True,,0,0,https://mergr.com/company/318893,2026-09-07T00:00:00Z
4863,American Working Capital,Illinois,270152,Concord Maritime,Business Services,"Stamford, Connecticut, United States",2018-04-18,"Buyout (LBO, MBO, MBI)",,,8.3,True,,0,0,https://mergr.com/company/270152,2026-09-07T00:00:00Z
4863,American Working Capital,Illinois,215150,Medway Air Ambulance,Healthcare Services,"Lawrenceville, Georgia, United States",2015-04-03,Recapitalization,,,11.4,True,,0,0,https://mergr.com/company/215150,2026-09-07T00:00:00Z
4863,American Working Capital,Illinois,270151,NRE,Automotive,"Mount Vernon, Illinois, United States",2014-10-16,Recapitalization,2020-01-01,Trade Sale - Public Company,5.2,False,,0,0,https://mergr.com/company/270151,2026-09-07T00:00:00Z
4863,American Working Capital,Illinois,7673,Mr. Bult's,Transportation,"Burnham, Illinois, United States",2006-05-03,"Buyout (LBO, MBO, MBI)",,,20.3,True,,0,0,https://mergr.com/company/7673,2026-09-07T00:00:00Z
7,Argo Management Group,Illinois,249965,Kivuto Solutions,Software,"Ottawa, Ontario, Canada",2018-03-01,"Buyout (LBO, MBO, MBI)",2023-02-10,Divestiture,4.9,False,,0,0,https://mergr.com/company/249965,2026-09-07T00:00:00Z
7,Argo Management Group,Illinois,291693,FIMC,Financial Services,"Sarasota, Florida, United States",2017-09-01,Growth Capital,,,9,True,,0,0,https://mergr.com/company/291693,2026-09-07T00:00:00Z
7,Argo Management Group,Illinois,248307,ISI Telemanagement Solutions,Software,"Bannockburn, Illinois, United States",2016-09-14,"Buyout (LBO, MBO, MBI)",2026-07-14,Divestiture,9.8,False,,0,0,https://mergr.com/company/248307,2026-09-07T00:00:00Z
7,Argo Management Group,Illinois,214996,Identity Automation,Software,"Houston, Minnesota, United States",2014-08-01,"Buyout (LBO, MBO, MBI)",2025-03-03,Divestiture,10.6,False,,3,0,https://mergr.com/company/214996,2026-09-07T00:00:00Z
7,Argo Management Group,Illinois,103,Hunter MFG,Consumer Products,"Lexington, Kentucky, United States",2005-12-01,"Buyout (LBO, MBO, MBI)",,,20.8,True,,0,0,https://mergr.com/company/103,2026-09-07T00:00:00Z
7,Argo Management Group,Illinois,102,Badger Land Car Wash Equipment & Supplies,Distribution,"Oak Creek, Wisconsin, United States",2005-09-01,"Buyout (LBO, MBO, MBI)",,,21,True,,0,0,https://mergr.com/company/102,2026-09-07T00:00:00Z
6881,Ariel Alternatives,Illinois,333879,Front Line Power Construction,Construction,"Rosharon, Texas, United States",2026-02-18,Growth Capital,,,0.5,True,,0,0,https://mergr.com/company/333879,2026-09-07T00:00:00Z
6881,Ariel Alternatives,Illinois,269831,Groome Industrial Service Group,Business Services,"Denville, New Jersey, United States",2025-09-09,Secondary Buyout,,,0.9,True,,0,0,https://mergr.com/company/269831,2026-09-07T00:00:00Z
6881,Ariel Alternatives,Illinois,252010,My Code,Marketing,"Santa Monica, California, United States",2023-11-30,Secondary Buyout,,,2.8,True,,0,0,https://mergr.com/company/252010,2026-09-07T00:00:00Z
6881,Ariel Alternatives,Illinois,340495,CQ fluency,Business Services,"Hackensack, New Jersey, United States",2023-05-01,"Buyout (LBO, MBO, MBI)",,,3.3,True,,0,0,https://mergr.com/company/340495,2026-09-07T00:00:00Z
6881,Ariel Alternatives,Illinois,17319,Sorenson Communications,Communications,"Salt Lake City, Utah, United States",2022-04-05,"Buyout (LBO, MBO, MBI)",,,4.4,True,,2,0,https://mergr.com/company/17319,2026-09-07T00:00:00Z
3833,Armory Capital,Illinois,336134,Westnet,Safety/Security,"Huntington Beach, California, United States",2023-08-17,"Buyout (LBO, MBO, MBI)",,,3,True,,1,0,https://mergr.com/company/336134,2026-09-07T00:00:00Z
3833,Armory Capital,Illinois,280042,Illinois Foundation Seeds,Agriculture,"Tolono, Illinois, United States",2017-05-19,Growth Capital,,,9.3,True,,1,0,https://mergr.com/company/280042,2026-09-07T00:00:00Z
