owner_firm_id,owner_firm_name,owner_firm_state,company_id,company_name,sector,location,acquired_date,acquisition_type,exit_date,exit_type,hold_years,is_current,revenue_millions_usd,acquisitions_during_hold,divestitures_during_hold,mergr_url,_fetched_at
825,ABS Capital Partners,Maryland,335968,M2M Services,Safety/Security,"Sofia, Bulgaria",2023-10-02,"Buyout (LBO, MBO, MBI)",2026-07-06,Trade Sale - Public Company,2.8,False,,1,0,https://mergr.com/company/335968,2026-09-08T11:14:02.567962+00:00
825,ABS Capital Partners,Maryland,303096,Cordial,Software,"San Diego, California, United States",2022-07-26,Venture,,,4.1,True,,0,0,https://mergr.com/company/303096,2026-09-08T11:14:02.567962+00:00
825,ABS Capital Partners,Maryland,291578,Fluxx,Internet Software and Services,"San Francisco, California, United States",2021-10-20,"Buyout (LBO, MBO, MBI)",,,4.8,True,,1,0,https://mergr.com/company/291578,2026-09-08T11:14:02.567962+00:00
825,ABS Capital Partners,Maryland,305594,Apptopia,Internet Software and Services,"Boston, Massachusetts, United States",2021-05-11,Growth Capital,,,5.3,True,,0,0,https://mergr.com/company/305594,2026-09-08T11:14:02.567962+00:00
825,ABS Capital Partners,Maryland,305750,GuidePoint Security,Information Technology,"Reston, Virginia, United States",2020-07-14,Growth Capital,,,6.1,True,,0,0,https://mergr.com/company/305750,2026-09-08T11:14:02.567962+00:00
825,ABS Capital Partners,Maryland,305595,SquadLocker,Apparel/Textiles,"Warwick, Rhode Island, United States",2020-02-25,Growth Capital,,,6.5,True,,0,0,https://mergr.com/company/305595,2026-09-08T11:14:02.567962+00:00
825,ABS Capital Partners,Maryland,261182,Deepwatch,Information Technology,"Palo Alto, California, United States",2019-04-03,Venture,,,7.4,True,,1,0,https://mergr.com/company/261182,2026-09-08T11:14:02.567962+00:00
825,ABS Capital Partners,Maryland,261178,ClearObject,Information Technology,"Fishers, Indiana, United States",2019-01-17,"Buyout (LBO, MBO, MBI)",,,7.6,True,,0,0,https://mergr.com/company/261178,2026-09-08T11:14:02.567962+00:00
825,ABS Capital Partners,Maryland,261184,ExecOnline,Education,"New York, New York, United States",2018-10-02,Venture,,,7.9,True,,1,0,https://mergr.com/company/261184,2026-09-08T11:14:02.567962+00:00
825,ABS Capital Partners,Maryland,261169,Alula,Safety/Security,"St. Paul, Minnesota, United States",2018-03-14,Consolidation,2023-10-02,Spin Off,5.5,False,,1,0,https://mergr.com/company/261169,2026-09-08T11:14:02.567962+00:00
825,ABS Capital Partners,Maryland,247771,Audacious Inquiry,Information Technology,"Baltimore, Maryland, United States",2018-01-17,Growth Capital,2022-03-16,Divestiture,4.1,False,,0,0,https://mergr.com/company/247771,2026-09-08T11:14:02.567962+00:00
