owner_firm_id,owner_firm_name,owner_firm_state,company_id,company_name,sector,location,acquired_date,acquisition_type,exit_date,exit_type,hold_years,is_current,revenue_millions_usd,acquisitions_during_hold,divestitures_during_hold,mergr_url,_fetched_at
11,Arlington Capital Partners,Maryland,275715,Eptec,Construction,"Macquarie Park, Australia",2026-03-23,Secondary Buyout,,,0.4,True,,0,0,https://mergr.com/company/275715,2026-09-08T11:14:02.567962+00:00
11,Arlington Capital Partners,Maryland,238276,Pond,Engineering,"Peachtree Corners, Georgia, United States",2026-01-12,Secondary Buyout,,,0.6,True,,1,0,https://mergr.com/company/238276,2026-09-08T11:14:02.567962+00:00
11,Arlington Capital Partners,Maryland,341106,CBSET,Life Science,"Lexington, Massachusetts, United States",2025-10-01,"Buyout (LBO, MBO, MBI)",,,0.9,True,,0,0,https://mergr.com/company/341106,2026-09-08T11:14:02.567962+00:00
11,Arlington Capital Partners,Maryland,289008,Neumo,Software,"Centreville, Virginia, United States",2025-08-13,Secondary Buyout,,,1,True,,2,0,https://mergr.com/company/289008,2026-09-08T11:14:02.567962+00:00
11,Arlington Capital Partners,Maryland,319629,GRVTY,Information Technology,"Arlington, Virginia, United States",2025-03-12,"Buyout (LBO, MBO, MBI)",,,1.4,True,,0,0,https://mergr.com/company/319629,2026-09-08T11:14:02.567962+00:00
11,Arlington Capital Partners,Maryland,84237,Team Technologies,Manufacturing,"Knoxville, Tennessee, United States",2024-11-25,Secondary Buyout,,,1.8,True,,2,0,https://mergr.com/company/84237,2026-09-08T11:14:02.567962+00:00
11,Arlington Capital Partners,Maryland,321265,Afton Scientific,Medical Products,"Charlottesville, Virginia, United States",2024-01-30,"Buyout (LBO, MBO, MBI)",,,2.6,True,,0,0,https://mergr.com/company/321265,2026-09-08T11:14:02.567962+00:00
11,Arlington Capital Partners,Maryland,321467,Keel,Manufacturing,"Ladson, South Carolina, United States",2024-01-25,Consolidation,,,2.6,True,,3,0,https://mergr.com/company/321467,2026-09-08T11:14:02.567962+00:00
11,Arlington Capital Partners,Maryland,320489,Kinetic Engine Systems,Aerospace,"Southwick, Massachusetts, United States",2024-01-04,Consolidation,,,2.7,True,,4,0,https://mergr.com/company/320489,2026-09-08T11:14:02.567962+00:00
11,Arlington Capital Partners,Maryland,236923,Avenu Insights & Analytics,Software,"Centreville, Virginia, United States",2023-10-02,Secondary Buyout,2025-08-13,Spin Off,1.8,False,,1,0,https://mergr.com/company/236923,2026-09-08T11:14:02.567962+00:00
11,Arlington Capital Partners,Maryland,254418,Exostar,Internet Software and Services,"Herndon, Virginia, United States",2023-09-26,Secondary Buyout,,,2.9,True,,1,0,https://mergr.com/company/254418,2026-09-08T11:14:02.567962+00:00
11,Arlington Capital Partners,Maryland,315704,Integrated Data Services,Software,"El Segundo, California, United States",2023-08-02,"Buyout (LBO, MBO, MBI)",,,3.1,True,,0,0,https://mergr.com/company/315704,2026-09-08T11:14:02.567962+00:00
11,Arlington Capital Partners,Maryland,314215,Pegasus Steel,Metals/Mining,"Goose Creek, South Carolina, United States",2023-06-14,"Buyout (LBO, MBO, MBI)",2024-01-25,Spin Off,0.6,False,,0,0,https://mergr.com/company/314215,2026-09-08T11:14:02.567962+00:00
11,Arlington Capital Partners,Maryland,318664,Eqlipse Technologies,Information Technology,"Herndon, Virginia, United States",2023-03-21,Consolidation,2024-02-13,Divestiture,0.8,False,,1,0,https://mergr.com/company/318664,2026-09-08T11:14:02.567962+00:00
11,Arlington Capital Partners,Maryland,308821,AVS Bio,Life Science,"Norwich, Connecticut, United States",2023-01-05,Divestiture,,,3.7,True,,1,0,https://mergr.com/company/308821,2026-09-08T11:14:02.567962+00:00
11,Arlington Capital Partners,Maryland,26493,Millstone Medical Outsourcing,Business Services,"Fall River, Massachusetts, United States",2022-01-11,Secondary Buyout,,,4.6,True,,2,0,https://mergr.com/company/26493,2026-09-08T11:14:02.567962+00:00
11,Arlington Capital Partners,Maryland,262744,Systems Planning & Analysis,Business Services,"Alexandria, Virginia, United States",2021-10-06,Secondary Buyout,,,4.9,True,,5,0,https://mergr.com/company/262744,2026-09-08T11:14:02.567962+00:00
11,Arlington Capital Partners,Maryland,289600,MCR,Business Services,"McLean, Virginia, United States",2021-08-24,"Buyout (LBO, MBO, MBI)",2021-10-06,Spin Off,0.1,False,,0,0,https://mergr.com/company/289600,2026-09-08T11:14:02.567962+00:00
11,Arlington Capital Partners,Maryland,288652,Stellant,Aerospace,"Torrance, California, United States",2021-08-03,Divestiture,2025-12-31,Bankruptcy,4.3,False,300,1,0,https://mergr.com/company/288652,2026-09-08T11:14:02.567962+00:00
11,Arlington Capital Partners,Maryland,244659,TRP Infrastructure Services,Construction,"Fort Worth, Texas, United States",2021-07-12,Secondary Buyout,,,5.1,True,,3,0,https://mergr.com/company/244659,2026-09-08T11:14:02.567962+00:00
11,Arlington Capital Partners,Maryland,278985,Everest Clinical Research,Life Science,"Markham, Ontario, Canada",2020-12-07,Growth Capital,,,5.8,True,,2,0,https://mergr.com/company/278985,2026-09-08T11:14:02.567962+00:00
11,Arlington Capital Partners,Maryland,274712,Qarbon Aerospace,Aerospace,"Red Oak, Texas, United States",2020-08-03,Divestiture,,,6.1,True,,0,0,https://mergr.com/company/274712,2026-09-08T11:14:02.567962+00:00
11,Arlington Capital Partners,Maryland,274021,J&J Worldwide Services,Business Services,"Franklin, Tennessee, United States",2020-07-08,"Buyout (LBO, MBO, MBI)",2024-02-05,Divestiture,3.5,False,,0,0,https://mergr.com/company/274021,2026-09-08T11:14:02.567962+00:00
11,Arlington Capital Partners,Maryland,266418,Forged Solutions Group,Manufacturing,"Matlock, United Kingdom",2019-11-18,Consolidation,2026-03-02,Trade Sale - Public Company,6.3,False,,4,0,https://mergr.com/company/266418,2026-09-08T11:14:02.567962+00:00
11,Arlington Capital Partners,Maryland,270886,BlueHalo,Information Technology,"Arlington, Virginia, United States",2019-10-22,"Buyout (LBO, MBO, MBI)",2024-11-19,Divestiture,5,False,,13,0,https://mergr.com/company/270886,2026-09-08T11:14:02.567962+00:00
11,Arlington Capital Partners,Maryland,262077,Riverpoint Medical,Medical Products,"Portland, Oregon, United States",2019-06-27,"Buyout (LBO, MBO, MBI)",2026-06-09,Divestiture,6.9,False,,1,0,https://mergr.com/company/262077,2026-09-08T11:14:02.567962+00:00
11,Arlington Capital Partners,Maryland,263374,Centauri,Information Technology,"Chantilly, Virginia, United States",2019-04-30,Consolidation,2020-08-19,Divestiture,1.3,False,,5,0,https://mergr.com/company/263374,2026-09-08T11:14:02.567962+00:00
11,Arlington Capital Partners,Maryland,234932,Octo,Information Technology,"Reston, Virginia, United States",2019-04-04,Growth Capital,2022-12-07,Divestiture,3.7,False,,3,0,https://mergr.com/company/234932,2026-09-08T11:14:02.567962+00:00
11,Arlington Capital Partners,Maryland,257929,Radius Aerospace,Aerospace,"Hot Springs, Arizona, United States",2019-01-29,Divestiture,,,7.6,True,,1,0,https://mergr.com/company/257929,2026-09-08T11:14:02.567962+00:00
