owner_firm_id,owner_firm_name,owner_firm_state,company_id,company_name,sector,location,acquired_date,acquisition_type,exit_date,exit_type,hold_years,is_current,revenue_millions_usd,acquisitions_during_hold,divestitures_during_hold,mergr_url,_fetched_at
71,Camden Partners,Maryland,310059,Ceipal,Internet Software and Services,"Rochester, New York, United States",2022-06-16,Venture,,,4.2,True,,0,0,https://mergr.com/company/310059,2026-09-08T11:14:02.567962+00:00
71,Camden Partners,Maryland,286704,Stova,Information Technology,"Frederick, Maryland, United States",2021-06-17,Growth Capital,,,5.2,True,,2,0,https://mergr.com/company/286704,2026-09-08T11:14:02.567962+00:00
71,Camden Partners,Maryland,276831,Roshal Health,Healthcare Services,"Katy, Texas, United States",2020-10-01,Growth Capital,,,5.9,True,,0,0,https://mergr.com/company/276831,2026-09-08T11:14:02.567962+00:00
71,Camden Partners,Maryland,241106,Volly,Internet Software and Services,"Woburn, Massachusetts, United States",2017-06-28,Growth Capital,2023-12-21,Divestiture,6.4,False,,3,0,https://mergr.com/company/241106,2026-09-08T11:14:02.567962+00:00
71,Camden Partners,Maryland,303226,Pinnacle Automotive Hospitality Services,Automotive,"Owings Mills, Maryland, United States",2017-03-09,"Buyout (LBO, MBO, MBI)",,,9.4,True,,0,0,https://mergr.com/company/303226,2026-09-08T11:14:02.567962+00:00
71,Camden Partners,Maryland,230344,Conquer,Software,"Reno, Nevada, United States",2016-11-07,Growth Capital,,,9.8,True,,2,0,https://mergr.com/company/230344,2026-09-08T11:14:02.567962+00:00
71,Camden Partners,Maryland,205439,RocketDocs,Software,"Dallas, Texas, United States",2015-09-01,"Buyout (LBO, MBO, MBI)",,,11,True,,0,0,https://mergr.com/company/205439,2026-09-08T11:14:02.567962+00:00
71,Camden Partners,Maryland,10187,Harver,Software,"Dallas, Texas, United States",2015-01-01,Secondary Buyout,,,11.7,True,,4,0,https://mergr.com/company/10187,2026-09-08T11:14:02.567962+00:00
71,Camden Partners,Maryland,204883,"Paragon Bioservices, Inc.",Life Science,"Baltimore, Maryland, United States",2014-10-29,Growth Capital,2019-04-15,Divestiture,4.4,False,,0,0,https://mergr.com/company/204883,2026-09-08T11:14:02.567962+00:00
71,Camden Partners,Maryland,68514,Ingo Money,Internet Software and Services,"Alpharetta, Georgia, United States",2014-10-08,Growth Capital,,,11.9,True,,1,0,https://mergr.com/company/68514,2026-09-08T11:14:02.567962+00:00
71,Camden Partners,Maryland,204885,LifeNexus,Business Services,"San Francisco, California, United States",2014-07-23,Venture,,,12.1,True,,0,0,https://mergr.com/company/204885,2026-09-08T11:14:02.567962+00:00
71,Camden Partners,Maryland,303339,Triumph Higher Education,Education,"Boulder, Colorado, United States",2014-01-22,Growth Capital,,,12.6,True,,4,0,https://mergr.com/company/303339,2026-09-08T11:14:02.567962+00:00
71,Camden Partners,Maryland,58274,Integrated Surgical Solutions,Business Services,"Alpharetta, Georgia, United States",2013-08-19,Growth Capital,2021-04-20,Trade Sale - Public Company,7.7,False,,0,0,https://mergr.com/company/58274,2026-09-08T11:14:02.567962+00:00
71,Camden Partners,Maryland,56846,Calvert Education,Education,"Hunt Valley, Maryland, United States",2012-12-12,"Buyout (LBO, MBO, MBI)",2019-07-30,Divestiture,6.6,False,,0,0,https://mergr.com/company/56846,2026-09-08T11:14:02.567962+00:00
71,Camden Partners,Maryland,26398,New Horizons,Education,"New Braunfels, Texas, United States",2012-08-13,Going Private,2023-10-01,Divestiture,11.1,False,,0,0,https://mergr.com/company/26398,2026-09-08T11:14:02.567962+00:00
71,Camden Partners,Maryland,32439,Bluefin Payment Systems,Software,"Atlanta, Georgia, United States",2012-05-24,Growth Capital,,,14.3,True,,1,0,https://mergr.com/company/32439,2026-09-08T11:14:02.567962+00:00
71,Camden Partners,Maryland,32289,"Steelwedge Software, Inc.",Internet Software and Services,"Pleasanton, California, United States",2011-09-08,Growth Capital,2017-02-13,Spin Off,5.4,False,,0,0,https://mergr.com/company/32289,2026-09-08T11:14:02.567962+00:00
71,Camden Partners,Maryland,622,WageWorks,Business Services,"San Mateo, California, United States",2011-08-04,Venture,2012-05-10,IPO,0.8,False,476,2,0,https://mergr.com/company/622,2026-09-08T11:14:02.567962+00:00
71,Camden Partners,Maryland,32422,Essence Healthcare,Software,"Saint Louis, Missouri, United States",2011-07-19,Venture,,,15.1,True,,0,0,https://mergr.com/company/32422,2026-09-08T11:14:02.567962+00:00
