owner_firm_id,owner_firm_name,owner_firm_state,company_id,company_name,sector,location,acquired_date,acquisition_type,exit_date,exit_type,hold_years,is_current,revenue_millions_usd,acquisitions_during_hold,divestitures_during_hold,mergr_url,_fetched_at
6048,Acacia Group,Maryland,339091,Common Thread Collective,Marketing,"Santa Ana, California, United States",2025-07-15,"Buyout (LBO, MBO, MBI)",,,1.1,True,,0,0,https://mergr.com/company/339091,2026-09-08T11:14:02.567962+00:00
6048,Acacia Group,Maryland,331650,Connor,Information Technology,"San Francisco, California, United States",2025-05-13,Growth Capital,,,1.3,True,,0,0,https://mergr.com/company/331650,2026-09-08T11:14:02.567962+00:00
6048,Acacia Group,Maryland,340414,Kopius,Information Technology,"Bellevue, Washington, United States",2023-03-19,"Buyout (LBO, MBO, MBI)",,,3.4,True,,1,0,https://mergr.com/company/340414,2026-09-08T11:14:02.567962+00:00
6048,Acacia Group,Maryland,307967,Isos Technology,Information Technology,"Tempe, Arizona, United States",2022-12-08,"Buyout (LBO, MBO, MBI)",,,3.8,True,,2,0,https://mergr.com/company/307967,2026-09-08T11:14:02.567962+00:00
6048,Acacia Group,Maryland,300312,Baer Group,Information Technology,"Atlanta, Georgia, United States",2022-05-25,"Buyout (LBO, MBO, MBI)",,,4.3,True,,0,0,https://mergr.com/company/300312,2026-09-08T11:14:02.567962+00:00
6048,Acacia Group,Maryland,275608,TradeHelm,Software,"Chicago, Illinois, United States",2020-08-26,"Buyout (LBO, MBO, MBI)",2021-07-20,Spin Off,0.8,False,,0,0,https://mergr.com/company/275608,2026-09-08T11:14:02.567962+00:00
6048,Acacia Group,Maryland,274265,MajorKey Technologies,Information Technology,"Oakbrook Terrace, Illinois, United States",2019-01-01,"Buyout (LBO, MBO, MBI)",,,7.7,True,,4,2,https://mergr.com/company/274265,2026-09-08T11:14:02.567962+00:00
6048,Acacia Group,Maryland,255269,Applied Insight,Information Technology,"Reston, Virginia, United States",2018-03-06,"Buyout (LBO, MBO, MBI)",2024-10-01,Divestiture,6.5,False,,4,0,https://mergr.com/company/255269,2026-09-08T11:14:02.567962+00:00
6048,Acacia Group,Maryland,284655,ID Technologies,Information Technology,"Ashburn, Virginia, United States",2018-03-06,"Buyout (LBO, MBO, MBI)",2022-01-26,Divestiture,3.8,False,,1,0,https://mergr.com/company/284655,2026-09-08T11:14:02.567962+00:00
6773,Albion River,Maryland,273144,WesCom Signal and Rescue,Safety/Security,"Derbyshire, United Kingdom",2025-08-04,Secondary Buyout,,,1.1,True,,0,0,https://mergr.com/company/273144,2026-09-08T11:14:02.567962+00:00
6773,Albion River,Maryland,226460,Arotech,Defense,"Ann Arbor, Michigan, United States",2025-02-03,Secondary Buyout,,,1.6,True,97,0,0,https://mergr.com/company/226460,2026-09-08T11:14:02.567962+00:00
5546,Ames Watson,Maryland,249461,Claire's,Retail,"Hoffman Estates, Illinois, United States",2025-09-19,Special Situations/Distressed,,,0.9,True,,0,0,https://mergr.com/company/249461,2026-09-08T11:14:02.567962+00:00
5546,Ames Watson,Maryland,329329,Champion,Apparel/Textiles,"Winston-Salem, North Carolina, United States",2024-10-01,"Buyout (LBO, MBO, MBI)",,,1.9,True,,0,0,https://mergr.com/company/329329,2026-09-08T11:14:02.567962+00:00
