owner_firm_id,owner_firm_name,owner_firm_state,company_id,company_name,sector,location,acquired_date,acquisition_type,exit_date,exit_type,hold_years,is_current,revenue_millions_usd,acquisitions_during_hold,divestitures_during_hold,mergr_url,_fetched_at
2241,Yellow Wood Partners,Massachusetts,353371,Holistic Health,Consumer Products,United States,2026-09-01,Divestiture,,,0,true,,0,0,https://mergr.com/company/353371,2026-09-04T00:02:16Z
2241,Yellow Wood Partners,Massachusetts,320042,Elida Beauty,Consumer Products,"Lewisville, Texas, United States",2023-12-18,Divestiture,,,2.7,true,1020,0,0,https://mergr.com/company/320042,2026-09-04T00:02:16Z
2241,Yellow Wood Partners,Massachusetts,310020,Suave,Consumer Products,"Hackensack, New Jersey, United States",2023-02-14,Divestiture,,,3.5,true,,1,0,https://mergr.com/company/310020,2026-09-04T00:02:16Z
2241,Yellow Wood Partners,Massachusetts,297568,Beacon Wellness Brands,Consumer Products,"Newton, Massachusetts, United States",2022-03-17,Divestiture,,,4.4,true,,0,0,https://mergr.com/company/297568,2026-09-04T00:02:16Z
2241,Yellow Wood Partners,Massachusetts,302526,plusOne,Consumer Products,"Newton, Massachusetts, United States",2021-12-01,"Buyout (LBO, MBO, MBI)",,,4.8,true,,0,0,https://mergr.com/company/302526,2026-09-04T00:02:16Z
2241,Yellow Wood Partners,Massachusetts,250784,Reckitt Benckiser - Scholl,Consumer Products,"Slough, United Kingdom",2021-06-02,Divestiture,,,5.3,true,,0,0,https://mergr.com/company/250784,2026-09-04T00:02:16Z
2241,Yellow Wood Partners,Massachusetts,335954,Byoma,Consumer Products,"New York, New York, United States",2020-01-01,"Buyout (LBO, MBO, MBI)",2025-09-09,Trade Sale - Public Company,5.7,false,,0,0,https://mergr.com/company/335954,2026-09-04T00:02:16Z
2241,Yellow Wood Partners,Massachusetts,262759,Dr. Scholl's Shoes,Apparel/Textiles,"St. Louis, Missouri, United States",2019-07-22,Divestiture,,,7.1,true,234,1,0,https://mergr.com/company/262759,2026-09-04T00:02:16Z
2241,Yellow Wood Partners,Massachusetts,302557,Ecotools,Consumer Products,"Libertyville, Illinois, United States",2018-08-29,"Buyout (LBO, MBO, MBI)",,,8,true,,0,0,https://mergr.com/company/302557,2026-09-04T00:02:16Z
2241,Yellow Wood Partners,Massachusetts,332918,Real Techniques,Consumer Products,"Libertyville, Illinois, United States",2018-08-28,"Buyout (LBO, MBO, MBI)",,,8,true,,0,0,https://mergr.com/company/332918,2026-09-04T00:02:16Z
2241,Yellow Wood Partners,Massachusetts,837,Freeman Beauty,Consumer Products,"Los Angeles, California, United States",2017-08-14,Secondary Buyout,,,9,true,,1,0,https://mergr.com/company/837,2026-09-04T00:02:16Z
2241,Yellow Wood Partners,Massachusetts,32237,"Ilex Consumer Products Group, Inc.",Consumer Products,"Baltimore, Maryland, United States",2013-12-27,Secondary Buyout,,,12.7,true,,0,0,https://mergr.com/company/32237,2026-09-04T00:02:16Z
2241,Yellow Wood Partners,Massachusetts,63302,PDC Brands,Consumer Products,"Stamford, Connecticut, United States",2012-09-05,"Buyout (LBO, MBO, MBI)",2017-06-01,Trade Sale - Public Company,4.7,false,,4,0,https://mergr.com/company/63302,2026-09-04T00:02:16Z
2241,Yellow Wood Partners,Massachusetts,24294,"Blacksmith Brands Holdings, Inc.",Retail,"Tarrytown, New York, United States",2009-10-29,Divestiture,2010-09-20,Divestiture,0.8,false,75,0,0,https://mergr.com/company/24294,2026-09-04T00:02:16Z
274,New Heritage Capital,Massachusetts,352914,Carepoint Pharmacy,Healthcare Services,"Schaumburg, Illinois, United States",2026-08-18,Growth Capital,,,0,true,,0,0,https://mergr.com/company/352914,2026-09-04T00:02:16Z
274,New Heritage Capital,Massachusetts,352705,PowerRail,Manufacturing,"Exeter, Pennsylvania, United States",2026-08-11,Growth Capital,,,0,true,,0,0,https://mergr.com/company/352705,2026-09-04T00:02:16Z
274,New Heritage Capital,Massachusetts,267335,JA Moody,Marine,"Malvern, Pennsylvania, United States",2024-12-10,Growth Capital,,,1.7,true,,0,0,https://mergr.com/company/267335,2026-09-04T00:02:16Z
274,New Heritage Capital,Massachusetts,328930,Brilliant,Marketing,"San Francisco, California, United States",2024-09-19,"Buyout (LBO, MBO, MBI)",,,1.9,true,,0,0,https://mergr.com/company/328930,2026-09-04T00:02:16Z
274,New Heritage Capital,Massachusetts,282592,Stratus,Information Technology,"Freehold, New Jersey, United States",2023-03-08,Growth Capital,2026-03-25,Divestiture,3,false,,0,0,https://mergr.com/company/282592,2026-09-04T00:02:16Z
274,New Heritage Capital,Massachusetts,285764,AMFM Healthcare,Healthcare Services,"San Juan Capistrano, California, United States",2022-07-19,Growth Capital,,,4.1,true,,0,0,https://mergr.com/company/285764,2026-09-04T00:02:16Z
274,New Heritage Capital,Massachusetts,289131,Icelandirect,Distribution,"Clifton, New Jersey, United States",2021-08-11,Growth Capital,,,5,true,,1,0,https://mergr.com/company/289131,2026-09-04T00:02:16Z
274,New Heritage Capital,Massachusetts,268435,FMS Solutions,Financial Services,"Ft Lauderdale, Florida, United States",2021-02-18,Growth Capital,,,5.5,true,,5,0,https://mergr.com/company/268435,2026-09-04T00:02:16Z
274,New Heritage Capital,Massachusetts,277210,Carnegie Dartlet,Marketing,"Westford, Massachusetts, United States",2020-10-13,Growth Capital,2024-02-15,Trade Sale - Public Company,3.3,false,,3,0,https://mergr.com/company/277210,2026-09-04T00:02:16Z
