owner_firm_id,owner_firm_name,owner_firm_state,company_id,company_name,sector,location,acquired_date,acquisition_type,exit_date,exit_type,hold_years,is_current,revenue_millions_usd,acquisitions_during_hold,divestitures_during_hold,mergr_url,_fetched_at
830,Advent International,Massachusetts,353275,New Zealand Clinical Research,Life Science,"Auckland, New Zealand",2026-08-20,"Buyout (LBO, MBO, MBI)",,,0,True,,0,0,https://mergr.com/company/353275,2026-09-04T01:03:59Z
830,Advent International,Massachusetts,352430,FNZ Bank,Financial Services,"Munich, Germany",2026-08-04,Divestiture,,,0.1,True,,0,0,https://mergr.com/company/352430,2026-09-04T01:03:59Z
830,Advent International,Massachusetts,350848,Japan Wellbeing,Consumer Services,Japan,2026-06-25,Divestiture,,,0.2,True,,0,0,https://mergr.com/company/350848,2026-09-04T01:03:59Z
830,Advent International,Massachusetts,110857,Atwell,Engineering,"Southfield, Michigan, United States",2026-03-27,Growth Capital,,,0.4,True,,0,0,https://mergr.com/company/110857,2026-09-04T01:03:59Z
830,Advent International,Massachusetts,347352,Salt & Stone,Consumer Products,"Los Angeles, California, United States",2026-03-24,"Buyout (LBO, MBO, MBI)",,,0.4,True,,0,0,https://mergr.com/company/347352,2026-09-04T01:03:59Z
830,Advent International,Massachusetts,347573,Tinexta,Internet Software and Services,"Rome, Italy",2025-12-30,Stake Purchase,,,0.7,True,,0,0,https://mergr.com/company/347573,2026-09-04T01:03:59Z
830,Advent International,Massachusetts,123361,Heidrick & Struggles International,Staffing,"Chicago, Illinois, United States",2025-10-06,Going Private,,,0.8,True,1116,0,0,https://mergr.com/company/123361,2026-09-04T01:03:59Z
830,Advent International,Massachusetts,300454,Automic,Internet Software and Services,"Sydney, Australia",2025-09-03,Secondary Buyout,,,1,True,,0,0,https://mergr.com/company/300454,2026-09-04T01:03:59Z
830,Advent International,Massachusetts,213088,PatientPoint,Information Technology,"Cincinnati, Ohio, United States",2025-08-25,Secondary Buyout,,,1,True,,0,0,https://mergr.com/company/213088,2026-09-04T01:03:59Z
830,Advent International,Massachusetts,180784,Sapiens,Software,"Holon, Israel",2025-08-13,Going Private,,,1,True,542,0,0,https://mergr.com/company/180784,2026-09-04T01:03:59Z
830,Advent International,Massachusetts,339181,Coherent - Aerospace and Defense business,Aerospace,"Saxonburg, Pennsylvania, United States",2025-08-13,Divestiture,,,1,True,,0,0,https://mergr.com/company/339181,2026-09-04T01:03:59Z
830,Advent International,Massachusetts,337974,LayerZero,Utilities,"Aurora, Ohio, United States",2025-06-30,"Buyout (LBO, MBO, MBI)",,,1.2,True,,0,0,https://mergr.com/company/337974,2026-09-04T01:03:59Z
830,Advent International,Massachusetts,337139,Felix,Life Science,"Dublin, Ireland",2025-06-09,Stake Purchase,,,1.2,True,,0,0,https://mergr.com/company/337139,2026-09-04T01:03:59Z
