owner_firm_id,owner_firm_name,owner_firm_state,company_id,company_name,sector,location,acquired_date,acquisition_type,exit_date,exit_type,hold_years,is_current,revenue_millions_usd,acquisitions_during_hold,divestitures_during_hold,mergr_url,_fetched_at
288,Huron Capital,Michigan,328196,Rampart Exterior Services,Business Services,"Chicago, Illinois, United States",2024-01-01,"Buyout (LBO, MBO, MBI)",,,2.7,True,,2,0,https://mergr.com/company/328196,2026-09-08T11:14:17.833575+00:00
288,Huron Capital,Michigan,317877,RK Electric,Electrical Equipment,"Fremont, California, United States",2023-10-10,Growth Capital,,,2.8,True,,0,0,https://mergr.com/company/317877,2026-09-08T11:14:17.833575+00:00
288,Huron Capital,Michigan,323772,Criticore,Construction,"Flower Mound, Texas, United States",2023-08-01,"Buyout (LBO, MBO, MBI)",,,3.1,True,,1,0,https://mergr.com/company/323772,2026-09-08T11:14:17.833575+00:00
288,Huron Capital,Michigan,303584,ExperiGreen,Consumer Services,"Mishawaka, Indiana, United States",2022-08-11,Growth Capital,2025-01-07,Trade Sale - Public Company,2.3,False,,1,0,https://mergr.com/company/303584,2026-09-08T11:14:17.833575+00:00
288,Huron Capital,Michigan,311470,Exigent,Business Services,"Reston, Virginia, United States",2022-08-01,"Buyout (LBO, MBO, MBI)",,,4.1,True,,6,0,https://mergr.com/company/311470,2026-09-08T11:14:17.833575+00:00
288,Huron Capital,Michigan,294158,TriStruX,Communications,"Clifton, New Jersey, United States",2021-12-23,"Buyout (LBO, MBO, MBI)",,,4.7,True,,1,0,https://mergr.com/company/294158,2026-09-08T11:14:17.833575+00:00
288,Huron Capital,Michigan,226380,Sciens Building Solutions,Safety/Security,"Pleasanton, California, United States",2021-11-10,Secondary Buyout,2021-11-10,Trade Sale - Public Company,0,False,,0,0,https://mergr.com/company/226380,2026-09-08T11:14:17.833575+00:00
288,Huron Capital,Michigan,280537,Sunland Asphalt & Construction,Construction,"Phoenix, Arizona, United States",2021-01-14,Recapitalization,,,5.6,True,,2,0,https://mergr.com/company/280537,2026-09-08T11:14:17.833575+00:00
288,Huron Capital,Michigan,248589,48forty Solutions,Packaging,"Houston, Texas, United States",2020-12-01,Secondary Buyout,,,5.8,True,,16,0,https://mergr.com/company/248589,2026-09-08T11:14:17.833575+00:00
288,Huron Capital,Michigan,303601,Lab Crafters,Furniture,"Ronkonkoma, New York, United States",2020-03-03,"Buyout (LBO, MBO, MBI)",,,6.5,True,,0,0,https://mergr.com/company/303601,2026-09-08T11:14:17.833575+00:00
288,Huron Capital,Michigan,266878,Pacific Shoring,Manufacturing,"Santa Rosa, California, United States",2019-12-03,Growth Capital,2025-01-13,Trade Sale - Public Company,5.1,False,,1,0,https://mergr.com/company/266878,2026-09-08T11:14:17.833575+00:00
288,Huron Capital,Michigan,257196,WD Advanced Materials,Consumer Products,"Beltsville, Maryland, United States",2019-01-07,Growth Capital,2023-10-10,Bankruptcy,4.8,False,,1,0,https://mergr.com/company/257196,2026-09-08T11:14:17.833575+00:00
288,Huron Capital,Michigan,258068,High Street Insurance Partners,Insurance,"Traverse City, Michigan, United States",2018-08-20,Consolidation,2021-04-16,Trade Sale - Public Company,2.6,False,,21,0,https://mergr.com/company/258068,2026-09-08T11:14:17.833575+00:00
288,Huron Capital,Michigan,253451,Atlantic Beverage,Beverages,"Edison, New Jersey, United States",2018-08-15,Recapitalization,,,8,True,,0,0,https://mergr.com/company/253451,2026-09-08T11:14:17.833575+00:00
288,Huron Capital,Michigan,250809,Direct Connect Logistix,Transportation,"Indianapolis, Indiana, United States",2018-05-09,Growth Capital,,,8.3,True,,2,0,https://mergr.com/company/250809,2026-09-08T11:14:17.833575+00:00
288,Huron Capital,Michigan,186161,B&B Roadway and Security Solutions,Safety/Security,"Carrollton, Texas, United States",2018-03-01,Secondary Buyout,2021-12-15,Divestiture,3.8,False,,0,0,https://mergr.com/company/186161,2026-09-08T11:14:17.833575+00:00
288,Huron Capital,Michigan,247373,Modigent,Business Services,"Phoenix, Arizona, United States",2018-01-11,Growth Capital,2022-08-05,Trade Sale - Public Company,4.5,False,,10,0,https://mergr.com/company/247373,2026-09-08T11:14:17.833575+00:00
