owner_firm_id,owner_firm_name,owner_firm_state,company_id,company_name,sector,location,acquired_date,acquisition_type,exit_date,exit_type,hold_years,is_current,revenue_millions_usd,acquisitions_during_hold,divestitures_during_hold,mergr_url,_fetched_at
544,Strength Capital Partners,Michigan,218464,Kelchner,Construction,"Springboro, Ohio, United States",2025-05-02,Divestiture,,,1.3,True,93,0,0,https://mergr.com/company/218464,2026-09-08T11:14:17.833575+00:00
544,Strength Capital Partners,Michigan,312194,Kansas Golf & Turf,Distribution,"Lenexa, Kansas, United States",2023-03-23,Growth Capital,,,3.4,True,,0,0,https://mergr.com/company/312194,2026-09-08T11:14:17.833575+00:00
544,Strength Capital Partners,Michigan,298761,Western States Reclamation,Construction,"Frederick, Colorado, United States",2022-04-18,Growth Capital,,,4.3,True,,1,0,https://mergr.com/company/298761,2026-09-08T11:14:17.833575+00:00
544,Strength Capital Partners,Michigan,287953,Chemlock Nutrition,Chemicals,"Cincinnati, Ohio, United States",2021-07-14,Growth Capital,,,5.1,True,,0,0,https://mergr.com/company/287953,2026-09-08T11:14:17.833575+00:00
544,Strength Capital Partners,Michigan,287340,Pinnacle Paving & Sealing,Business Services,"Milford, Ohio, United States",2021-06-21,Growth Capital,,,5.2,True,,0,0,https://mergr.com/company/287340,2026-09-08T11:14:17.833575+00:00
544,Strength Capital Partners,Michigan,244921,Truesdell,Construction,"Tempe, Arizona, United States",2021-04-15,Secondary Buyout,,,5.3,True,,1,0,https://mergr.com/company/244921,2026-09-08T11:14:17.833575+00:00
544,Strength Capital Partners,Michigan,271663,RW America,Distribution,"Henderson, Colorado, United States",2020-01-31,Growth Capital,,,6.6,True,,2,0,https://mergr.com/company/271663,2026-09-08T11:14:17.833575+00:00
544,Strength Capital Partners,Michigan,267681,CALco,Forest Products,"Richmond, Illinois, United States",2019-12-20,Growth Capital,2022-08-25,Divestiture,2.7,False,,0,0,https://mergr.com/company/267681,2026-09-08T11:14:17.833575+00:00
544,Strength Capital Partners,Michigan,266830,Esp Associates,Engineering,"Fort Mill, California, United States",2018-04-13,Growth Capital,,,8.3,True,,4,0,https://mergr.com/company/266830,2026-09-08T11:14:17.833575+00:00
544,Strength Capital Partners,Michigan,235849,Universal Aerospace,Aerospace,"Arlington, Washington, United States",2017-01-23,"Buyout (LBO, MBO, MBI)",,,9.6,True,,0,0,https://mergr.com/company/235849,2026-09-08T11:14:17.833575+00:00
544,Strength Capital Partners,Michigan,231003,Tiedemann-Bevs Industries,Distribution,"Richmond, Indiana, United States",2016-09-26,"Buyout (LBO, MBO, MBI)",,,9.9,True,,0,0,https://mergr.com/company/231003,2026-09-08T11:14:17.833575+00:00
544,Strength Capital Partners,Michigan,235895,"Ideal Soap & Chemical Co., Inc.",Consumer Products,"Pittsburgh, Pennsylvania, United States",2016-07-22,"Buyout (LBO, MBO, MBI)",,,10.1,True,,0,0,https://mergr.com/company/235895,2026-09-08T11:14:17.833575+00:00
544,Strength Capital Partners,Michigan,266825,Americlean Holdings,Distribution,"Columbus, Ohio, United States",2016-05-31,Consolidation,,,10.3,True,,2,0,https://mergr.com/company/266825,2026-09-08T11:14:17.833575+00:00
544,Strength Capital Partners,Michigan,266832,Street Smart Rental,Business Services,"Lino Lakes, Minnesota, United States",2015-10-09,Growth Capital,2020-04-13,Trade Sale - Public Company,4.5,False,,0,0,https://mergr.com/company/266832,2026-09-08T11:14:17.833575+00:00
544,Strength Capital Partners,Michigan,266833,DTM Distributors,Distribution,"Bowling Green, Kentucky, United States",2015-09-30,"Buyout (LBO, MBO, MBI)",,,10.9,True,,1,0,https://mergr.com/company/266833,2026-09-08T11:14:17.833575+00:00
544,Strength Capital Partners,Michigan,178361,ARCH Global,Medical Products,"Bloomfield Hills, Michigan, United States",2014-12-04,Recapitalization,2019-04-01,Trade Sale - Public Company,4.3,False,,9,1,https://mergr.com/company/178361,2026-09-08T11:14:17.833575+00:00
544,Strength Capital Partners,Michigan,26996,Conifer Holdings,Insurance,"Troy, Michigan, United States",2010-12-15,Growth Capital,2015-08-18,IPO,4.7,False,66,0,0,https://mergr.com/company/26996,2026-09-08T11:14:17.833575+00:00
544,Strength Capital Partners,Michigan,13119,Smith Mountain Industries (dba Virginia Candle Co.),Consumer Products,"Forest, Virginia, United States",2007-01-01,Secondary Buyout,,,19.7,True,65,0,0,https://mergr.com/company/13119,2026-09-08T11:14:17.833575+00:00
544,Strength Capital Partners,Michigan,4089,Dascom Systems Group LLC,Electronics,"Woodbury, Minnesota, United States",2006-07-03,"Buyout (LBO, MBO, MBI)",2017-10-19,Divestiture,11.3,False,,0,0,https://mergr.com/company/4089,2026-09-08T11:14:17.833575+00:00
544,Strength Capital Partners,Michigan,240714,Robert Rothschild Farm,Food,"Cincinnati, Ohio, United States",2005-07-01,"Buyout (LBO, MBO, MBI)",2017-06-19,Trade Sale - Public Company,11.9,False,,1,0,https://mergr.com/company/240714,2026-09-08T11:14:17.833575+00:00
544,Strength Capital Partners,Michigan,5016,Davler Media Group LLC,Publishing,"New York, New York, United States",2004-01-01,"Buyout (LBO, MBO, MBI)",,,22.7,True,,1,1,https://mergr.com/company/5016,2026-09-08T11:14:17.833575+00:00
544,Strength Capital Partners,Michigan,4083,Propane Services LLC,Distribution,"Romulus, Michigan, United States",2001-05-21,"Buyout (LBO, MBO, MBI)",2012-02-01,Merger,10.7,False,,0,0,https://mergr.com/company/4083,2026-09-08T11:14:17.833575+00:00
1231,TRP Capital Partners,Michigan,289434,Lifted Trucks,Automotive,"Phoenix, Arizona, United States",2021-08-18,"Buyout (LBO, MBO, MBI)",,,5,True,,0,0,https://mergr.com/company/289434,2026-09-08T11:14:17.833575+00:00
1231,TRP Capital Partners,Michigan,306929,DTI,Engineering,"Livonia, Michigan, United States",2021-06-01,"Buyout (LBO, MBO, MBI)",,,5.3,True,,0,0,https://mergr.com/company/306929,2026-09-08T11:14:17.833575+00:00
1231,TRP Capital Partners,Michigan,326972,Priority Waste,Environmental,"Clinton Township, Michigan, United States",2020-06-18,Growth Capital,,,6.2,True,,0,0,https://mergr.com/company/326972,2026-09-08T11:14:17.833575+00:00
1231,TRP Capital Partners,Michigan,272640,Flex Fleet Rental,Transportation,"Salt Lake City, Utah, United States",2019-02-11,Growth Capital,2023-09-01,Spin Off,4.5,False,,0,0,https://mergr.com/company/272640,2026-09-08T11:14:17.833575+00:00
1231,TRP Capital Partners,Michigan,243573,CarLotz,Retail,"Richmond, Virginia, United States",2017-09-19,Growth Capital,2021-01-21,SPAC,3.3,False,,0,0,https://mergr.com/company/243573,2026-09-08T11:14:17.833575+00:00
1231,TRP Capital Partners,Michigan,272642,QLS,Business Services,"Hendersonville, Tennessee, United States",2016-01-01,"Buyout (LBO, MBO, MBI)",2023-09-26,Merger,7.7,False,,0,0,https://mergr.com/company/272642,2026-09-08T11:14:17.833575+00:00
1231,TRP Capital Partners,Michigan,198350,Endurance,Insurance,"Northbrook, Illinois, United States",2015-06-07,"Buyout (LBO, MBO, MBI)",,,11.3,True,,0,0,https://mergr.com/company/198350,2026-09-08T11:14:17.833575+00:00
1231,TRP Capital Partners,Michigan,24740,4Refuel,Energy Services and Equipment,"Surrey, British Columbia, Canada",2013-10-04,Secondary Buyout,2018-12-10,Divestiture,5.2,False,,0,0,https://mergr.com/company/24740,2026-09-08T11:14:17.833575+00:00
1231,TRP Capital Partners,Michigan,5944,United Road Services,Transportation,"Plymouth, Michigan, United States",2012-12-14,Secondary Buyout,2017-09-05,Trade Sale - Public Company,4.7,False,,0,0,https://mergr.com/company/5944,2026-09-08T11:14:17.833575+00:00
1231,TRP Capital Partners,Michigan,30402,Tire Group International,Distribution,"Miami, Florida, United States",2011-10-07,"Buyout (LBO, MBO, MBI)",,,14.9,True,,0,0,https://mergr.com/company/30402,2026-09-08T11:14:17.833575+00:00
1231,TRP Capital Partners,Michigan,4374,"Commonwealth Laminating & Coating, Inc.",Automotive,"Martinsville, Virginia, United States",2010-08-09,Secondary Buyout,2014-03-13,Divestiture,3.6,False,100,0,0,https://mergr.com/company/4374,2026-09-08T11:14:17.833575+00:00
1231,TRP Capital Partners,Michigan,9945,MasterCraft,Marine,"Vonore, Tennessee, United States",2007-08-15,Secondary Buyout,2009-03-01,Bankruptcy,1.5,False,284,0,0,https://mergr.com/company/9945,2026-09-08T11:14:17.833575+00:00
1231,TRP Capital Partners,Michigan,14206,National Powersport Auctions,Automotive,"Poway, California, United States",2006-08-29,Secondary Buyout,2012-01-01,Unknown,5.3,False,,0,0,https://mergr.com/company/14206,2026-09-08T11:14:17.833575+00:00
