owner_firm_id,owner_firm_name,owner_firm_state,company_id,company_name,sector,location,acquired_date,acquisition_type,exit_date,exit_type,hold_years,is_current,revenue_millions_usd,acquisitions_during_hold,divestitures_during_hold,mergr_url,_fetched_at
6836,Aker Business,Michigan,337327,IT Hardware Plus,Technology Hardware,"Elgin, Illinois, United States",2025-05-06,"Buyout (LBO, MBO, MBI)",,,1.3,True,,0,0,https://mergr.com/company/337327,2026-09-08T11:14:17.833575+00:00
6836,Aker Business,Michigan,337326,Elarasys,Technology Hardware,"Elgin, Illinois, United States",2025-05-06,"Buyout (LBO, MBO, MBI)",,,1.3,True,,0,0,https://mergr.com/company/337326,2026-09-08T11:14:17.833575+00:00
5267,Auxo Investment Partners,Michigan,336385,Bay Cast,Manufacturing,"Bay City, Michigan, United States",2025-05-09,"Buyout (LBO, MBO, MBI)",,,1.3,True,,0,0,https://mergr.com/company/336385,2026-09-08T11:14:17.833575+00:00
5267,Auxo Investment Partners,Michigan,333057,Southeast Vegetation Management,Business Services,"Brierfield, Alabama, United States",2025-01-21,"Buyout (LBO, MBO, MBI)",,,1.6,True,,0,0,https://mergr.com/company/333057,2026-09-08T11:14:17.833575+00:00
5267,Auxo Investment Partners,Michigan,314227,SOS Manufacturing,Manufacturing,"Roberts, Wisconsin, United States",2023-06-14,"Buyout (LBO, MBO, MBI)",,,3.2,True,,0,0,https://mergr.com/company/314227,2026-09-08T11:14:17.833575+00:00
5267,Auxo Investment Partners,Michigan,239887,Avon Machining,Machinery,"Shelby Township, Michigan, United States",2023-06-05,Secondary Buyout,,,3.3,True,,0,0,https://mergr.com/company/239887,2026-09-08T11:14:17.833575+00:00
5267,Auxo Investment Partners,Michigan,297355,GSA,Electrical Equipment,"Fremont, California, United States",2022-03-11,"Buyout (LBO, MBO, MBI)",,,4.4,True,,2,0,https://mergr.com/company/297355,2026-09-08T11:14:17.833575+00:00
5267,Auxo Investment Partners,Michigan,295704,Securit Metal Products,Manufacturing,"Dowagic, Michigan, United States",2022-02-01,"Buyout (LBO, MBO, MBI)",,,4.6,True,,0,0,https://mergr.com/company/295704,2026-09-08T11:14:17.833575+00:00
5267,Auxo Investment Partners,Michigan,291801,Genesis Rail Services,Transportation,"Roanoke, Virginia, United States",2021-10-27,"Buyout (LBO, MBO, MBI)",,,4.8,True,,2,1,https://mergr.com/company/291801,2026-09-08T11:14:17.833575+00:00
5267,Auxo Investment Partners,Michigan,289679,Altus,Healthcare Services,"Grand Rapids, Michigan, United States",2021-08-25,"Buyout (LBO, MBO, MBI)",,,5,True,,0,0,https://mergr.com/company/289679,2026-09-08T11:14:17.833575+00:00
