owner_firm_id,owner_firm_name,owner_firm_state,company_id,company_name,sector,location,acquired_date,acquisition_type,exit_date,exit_type,hold_years,is_current,revenue_millions_usd,acquisitions_during_hold,divestitures_during_hold,mergr_url,_fetched_at
999,Norwest Equity Partners,Minnesota,254090,MDC Interior Solutions,Building Materials,"Glendale Heights, Illinois, United States",2024-04-29,Secondary Buyout,,,2.3,True,,0,0,https://mergr.com/company/254090,2026-09-08T11:14:33.003837+00:00
999,Norwest Equity Partners,Minnesota,12183,United Sports Brands,Consumer Products,"Fountain Valley, California, United States",2023-11-27,Secondary Buyout,,,2.8,True,,0,0,https://mergr.com/company/12183,2026-09-08T11:14:33.003837+00:00
999,Norwest Equity Partners,Minnesota,318216,NORA,Transportation,"Saint Charles, Illinois, United States",2023-08-31,Growth Capital,,,3,True,,0,0,https://mergr.com/company/318216,2026-09-08T11:14:33.003837+00:00
999,Norwest Equity Partners,Minnesota,19745,Twitchell Technical Products,Apparel/Textiles,"Dothan, Alabama, United States",2022-07-01,Secondary Buyout,,,4.2,True,,0,0,https://mergr.com/company/19745,2026-09-08T11:14:33.003837+00:00
999,Norwest Equity Partners,Minnesota,19442,Thibaut,Consumer Products,"Union, New Jersey, United States",2021-11-10,Secondary Buyout,2026-05-13,Trade Sale - Public Company,4.5,False,,2,0,https://mergr.com/company/19442,2026-09-08T11:14:33.003837+00:00
999,Norwest Equity Partners,Minnesota,231453,Coretelligent,Information Technology,"Needham, Massachusetts, United States",2021-10-25,Secondary Buyout,,,4.8,True,,4,0,https://mergr.com/company/231453,2026-09-08T11:14:33.003837+00:00
999,Norwest Equity Partners,Minnesota,252307,Wahoo,Consumer Products,"Atlanta, Georgia, United States",2021-07-07,Secondary Buyout,2021-07-07,Trade Sale - Public Company,0,False,,0,0,https://mergr.com/company/252307,2026-09-08T11:14:33.003837+00:00
999,Norwest Equity Partners,Minnesota,281629,recteq,Consumer Products,"Evans, Georgia, United States",2021-02-01,Growth Capital,,,5.6,True,,0,0,https://mergr.com/company/281629,2026-09-08T11:14:33.003837+00:00
999,Norwest Equity Partners,Minnesota,109541,Red Monkey Foods,Food,"Springfield, Missouri, United States",2020-12-11,Secondary Buyout,2024-01-01,Unknown,3,False,,0,0,https://mergr.com/company/109541,2026-09-08T11:14:33.003837+00:00
999,Norwest Equity Partners,Minnesota,30216,Surgical Information Systems,Internet Software and Services,"Alpharetta, Georgia, United States",2020-10-15,Secondary Buyout,2020-10-15,Trade Sale - Public Company,0,False,,0,0,https://mergr.com/company/30216,2026-09-08T11:14:33.003837+00:00
999,Norwest Equity Partners,Minnesota,46501,GoHealth,Insurance,"Chicago, Illinois, United States",2020-07-15,PIPE,2022-01-01,Unknown,1.4,False,362,0,0,https://mergr.com/company/46501,2026-09-08T11:14:33.003837+00:00
999,Norwest Equity Partners,Minnesota,9066,Clover Environmental Solutions,Environmental,"Hoffman Estates, Illinois, United States",2019-12-16,Secondary Buyout,,,6.7,True,,2,0,https://mergr.com/company/9066,2026-09-08T11:14:33.003837+00:00
999,Norwest Equity Partners,Minnesota,261996,Arteriors,Furniture,"Lewisville, Texas, United States",2019-06-25,Growth Capital,,,7.2,True,,0,0,https://mergr.com/company/261996,2026-09-08T11:14:33.003837+00:00
999,Norwest Equity Partners,Minnesota,254674,Institute for Integrative Nutrition,Education,"Newark, Ohio, United States",2018-10-03,Growth Capital,2025-01-01,Unknown,6.2,False,,1,0,https://mergr.com/company/254674,2026-09-08T11:14:33.003837+00:00
999,Norwest Equity Partners,Minnesota,252962,Five Star Business Finance,Financial Services,"Chennai, India",2018-07-31,Venture,2022-11-09,IPO,4.3,False,421,0,0,https://mergr.com/company/252962,2026-09-08T11:14:33.003837+00:00
