owner_firm_id,owner_firm_name,owner_firm_state,company_id,company_name,sector,location,acquired_date,acquisition_type,exit_date,exit_type,hold_years,is_current,revenue_millions_usd,acquisitions_during_hold,divestitures_during_hold,mergr_url,_fetched_at
910,Harbour Group,Missouri,351061,Symmons,Business Services,"Braintree, Massachusetts, United States",2026-07-01,"Buyout (LBO, MBO, MBI)",,,0.2,True,,0,0,https://mergr.com/company/351061,2026-09-08T12:32:05.005028+00:00
910,Harbour Group,Missouri,339623,Groomer's Choice,Consumer Products,"Sioux Falls, South Dakota, United States",2024-12-18,"Buyout (LBO, MBO, MBI)",,,1.7,True,,1,0,https://mergr.com/company/339623,2026-09-08T12:32:05.005028+00:00
910,Harbour Group,Missouri,332009,Senproco,Consumer Products,"Sioux Falls, South Dakota, United States",2024-12-18,"Buyout (LBO, MBO, MBI)",,,1.7,True,,0,0,https://mergr.com/company/332009,2026-09-08T12:32:05.005028+00:00
910,Harbour Group,Missouri,313137,Americo Chemical Products,Chemicals,"Elgin, Illinois, United States",2023-05-05,"Buyout (LBO, MBO, MBI)",,,3.3,True,,1,0,https://mergr.com/company/313137,2026-09-08T12:32:05.005028+00:00
910,Harbour Group,Missouri,295123,DecksDirect,Distribution,"Plymouth, Minnesota, United States",2022-01-18,"Buyout (LBO, MBO, MBI)",,,4.6,True,,1,0,https://mergr.com/company/295123,2026-09-08T12:32:05.005028+00:00
910,Harbour Group,Missouri,268923,SHF,Distribution,"Houston, Texas, United States",2020-02-06,"Buyout (LBO, MBO, MBI)",,,6.6,True,,2,0,https://mergr.com/company/268923,2026-09-08T12:32:05.005028+00:00
910,Harbour Group,Missouri,140097,SpotSee,Technology Hardware,"Dallas, Texas, United States",2019-11-26,"Buyout (LBO, MBO, MBI)",,,6.8,True,,4,0,https://mergr.com/company/140097,2026-09-08T12:32:05.005028+00:00
910,Harbour Group,Missouri,214898,Lofa Industries,Electrical Equipment,"Roswell, Georgia, United States",2019-03-07,Secondary Buyout,2020-06-30,Spin Off,1.3,False,,0,0,https://mergr.com/company/214898,2026-09-08T12:32:05.005028+00:00
910,Harbour Group,Missouri,3775,Cattron,Electronics,"Warren, Ohio, United States",2019-03-06,Divestiture,,,7.5,True,54,4,0,https://mergr.com/company/3775,2026-09-08T12:32:05.005028+00:00
910,Harbour Group,Missouri,215534,Nationwide Industries,Building Materials,"Tampa, Florida, United States",2018-03-19,Secondary Buyout,2021-05-03,Divestiture,3.1,False,,2,0,https://mergr.com/company/215534,2026-09-08T12:32:05.005028+00:00
910,Harbour Group,Missouri,19442,Thibaut,Consumer Products,"Union, New Jersey, United States",2017-12-29,Secondary Buyout,2021-11-10,Trade Sale - Public Company,3.8,False,,0,0,https://mergr.com/company/19442,2026-09-08T12:32:05.005028+00:00
910,Harbour Group,Missouri,42201,ILP Holdings,Electrical Equipment,"Sanford, Florida, United States",2017-04-03,Secondary Buyout,,,9.4,True,,2,0,https://mergr.com/company/42201,2026-09-08T12:32:05.005028+00:00
910,Harbour Group,Missouri,237887,Marshall Excelsior,Manufacturing,"Marshall, Michigan, United States",2017-03-21,"Buyout (LBO, MBO, MBI)",2024-07-22,Divestiture,7.3,False,,6,0,https://mergr.com/company/237887,2026-09-08T12:32:05.005028+00:00
910,Harbour Group,Missouri,16257,SP Industries,Medical Products,"Warminster, Pennsylvania, United States",2015-12-09,Secondary Buyout,2021-12-03,Divestiture,5.9,False,60,2,0,https://mergr.com/company/16257,2026-09-08T12:32:05.005028+00:00
910,Harbour Group,Missouri,7483,Phillips & Temro,Automotive,"Eden Prairie, Minnesota, United States",2015-03-01,Secondary Buyout,,,11.5,True,,2,1,https://mergr.com/company/7483,2026-09-08T12:32:05.005028+00:00
910,Harbour Group,Missouri,35189,"Onicon, Inc.",Manufacturing,"Clearwater, Florida, United States",2013-01-07,"Buyout (LBO, MBO, MBI)",2019-04-26,Divestiture,6.3,False,,5,0,https://mergr.com/company/35189,2026-09-08T12:32:05.005028+00:00
910,Harbour Group,Missouri,18523,Cleaver-Brooks,Machinery,"Thomasville, Georgia, United States",2012-12-20,Secondary Buyout,2024-05-17,Divestiture,11.3,False,,3,1,https://mergr.com/company/18523,2026-09-08T12:32:05.005028+00:00
910,Harbour Group,Missouri,39221,CPS Products,Manufacturing,"Miramar, Florida, United States",2012-11-12,"Buyout (LBO, MBO, MBI)",,,13.8,True,,3,0,https://mergr.com/company/39221,2026-09-08T12:32:05.005028+00:00
910,Harbour Group,Missouri,7506,Lindstrom Metric,Distribution,"Blaine, Minnesota, United States",2011-07-13,Secondary Buyout,,,15.1,True,,4,0,https://mergr.com/company/7506,2026-09-08T12:32:05.005028+00:00
910,Harbour Group,Missouri,4381,Hardware Resources,Building Materials,"Bossier City, Louisiana, United States",2010-11-17,Secondary Buyout,,,15.8,True,,0,0,https://mergr.com/company/4381,2026-09-08T12:32:05.005028+00:00
910,Harbour Group,Missouri,13409,"Fleetgistics, Inc.",Transportation,"Orlando, Florida, United States",2010-03-23,Secondary Buyout,2018-11-14,Divestiture,8.6,False,,0,0,https://mergr.com/company/13409,2026-09-08T12:32:05.005028+00:00
910,Harbour Group,Missouri,2477,GranQuartz Holdings LLC,Distribution,"Tucker, Georgia, United States",2008-07-07,Secondary Buyout,,,18.2,True,,1,0,https://mergr.com/company/2477,2026-09-08T12:32:05.005028+00:00
910,Harbour Group,Missouri,68402,Watchfire,Electrical Equipment,"Danville, Illinois, United States",2008-04-04,"Buyout (LBO, MBO, MBI)",,,18.4,True,,1,0,https://mergr.com/company/68402,2026-09-08T12:32:05.005028+00:00
910,Harbour Group,Missouri,15425,"Top Knobs USA, Inc.",Building Materials,"Hillsborough, New Jersey, United States",2008-03-05,"Buyout (LBO, MBO, MBI)",,,18.5,True,,1,0,https://mergr.com/company/15425,2026-09-08T12:32:05.005028+00:00
910,Harbour Group,Missouri,7009,SloanLED,Electrical Equipment,"San Angelo, Texas, United States",2007-05-03,Growth Capital,2015-05-01,Trade Sale - Public Company,7.9,False,,0,0,https://mergr.com/company/7009,2026-09-08T12:32:05.005028+00:00
910,Harbour Group,Missouri,24868,Tritex Corp.,Automotive,"Columbus, Ohio, United States",2007-04-24,Secondary Buyout,,,19.3,True,,0,0,https://mergr.com/company/24868,2026-09-08T12:32:05.005028+00:00
910,Harbour Group,Missouri,7008,"Haydon Enterprises, Inc.",Electrical Equipment,"Waterbury, Connecticut, United States",2007-04-20,Secondary Buyout,2010-07-01,Divestiture,3.2,False,85,1,0,https://mergr.com/company/7008,2026-09-08T12:32:05.005028+00:00
910,Harbour Group,Missouri,7002,Pearlman Corp.,Machinery,"City of Commerce, California, United States",2006-10-31,"Buyout (LBO, MBO, MBI)",,,19.8,True,,2,0,https://mergr.com/company/7002,2026-09-08T12:32:05.005028+00:00
910,Harbour Group,Missouri,8413,Lincoln Industrial Corp.,Manufacturing,"St. Louis, Missouri, United States",2005-04-12,Secondary Buyout,2010-12-01,Divestiture,5.6,False,,1,0,https://mergr.com/company/8413,2026-09-08T12:32:05.005028+00:00
910,Harbour Group,Missouri,74377,Lincoln Lubrication SA,Manufacturing,"Germiston, South Africa",2005-04-01,"Buyout (LBO, MBO, MBI)",2010-10-19,Divestiture,5.5,False,,0,0,https://mergr.com/company/74377,2026-09-08T12:32:05.005028+00:00
910,Harbour Group,Missouri,28051,Tech Lighting,Electrical Equipment,"Skokie, Illinois, United States",2004-05-04,Secondary Buyout,2018-01-09,Spin Off,13.7,False,,1,0,https://mergr.com/company/28051,2026-09-08T12:32:05.005028+00:00
910,Harbour Group,Missouri,7013,AMI,Electronics,"Bristol, Pennsylvania, United States",2002-12-16,Secondary Buyout,2017-07-27,Trade Sale - Public Company,14.6,False,,2,0,https://mergr.com/company/7013,2026-09-08T12:32:05.005028+00:00
910,Harbour Group,Missouri,7016,Auto Meter Products,Automotive,"Sycamore, Illinois, United States",2002-09-04,"Buyout (LBO, MBO, MBI)",2013-06-11,Trade Sale - Public Company,10.8,False,,2,0,https://mergr.com/company/7016,2026-09-08T12:32:05.005028+00:00
910,Harbour Group,Missouri,7012,Alemite LLC,Machinery,"St. Louis, Missouri, United States",2002-06-14,Divestiture,2006-01-24,Divestiture,3.6,False,,0,0,https://mergr.com/company/7012,2026-09-08T12:32:05.005028+00:00
910,Harbour Group,Missouri,8305,"Eckler's Corvette, Inc.",Automotive,"Titusville, Florida, United States",2002-02-25,"Buyout (LBO, MBO, MBI)",2008-05-14,Trade Sale - Public Company,6.2,False,,0,0,https://mergr.com/company/8305,2026-09-08T12:32:05.005028+00:00
910,Harbour Group,Missouri,39345,"ACS Group, Inc.",Manufacturing,"New Berlin, Wisconsin, United States",2001-04-01,Consolidation,,,25.4,True,,3,0,https://mergr.com/company/39345,2026-09-08T12:32:05.005028+00:00
910,Harbour Group,Missouri,22146,"Copperfield Chimney Supply, Inc.",Distribution,"Fairfield, Iowa, United States",2000-07-17,Secondary Buyout,2005-07-07,Divestiture,4.9,False,,0,0,https://mergr.com/company/22146,2026-09-08T12:32:05.005028+00:00
910,Harbour Group,Missouri,16502,Cumberland Engineering LLC,Machinery,"New Berlin, Wisconsin, United States",1999-09-27,Secondary Buyout,2001-04-01,Divestiture,1.5,False,,0,0,https://mergr.com/company/16502,2026-09-08T12:32:05.005028+00:00
910,Harbour Group,Missouri,5097,Hopkins,Automotive,"Emporia, Kansas, United States",1997-02-01,"Buyout (LBO, MBO, MBI)",2004-07-26,Trade Sale - Public Company,7.4,False,,0,0,https://mergr.com/company/5097,2026-09-08T12:32:05.005028+00:00
910,Harbour Group,Missouri,7017,"AEC, Inc.",Machinery,"Schaumburg, Illinois, United States",1995-03-09,"Buyout (LBO, MBO, MBI)",2001-07-09,Divestiture,6.3,False,,0,0,https://mergr.com/company/7017,2026-09-08T12:32:05.005028+00:00
910,Harbour Group,Missouri,7018,Wabash MPI,Machinery,"Wabash, Indiana, United States",1995-03-09,"Buyout (LBO, MBO, MBI)",2001-04-01,Merger,6,False,,0,0,https://mergr.com/company/7018,2026-09-08T12:32:05.005028+00:00
