owner_firm_id,owner_firm_name,owner_firm_state,company_id,company_name,sector,location,acquired_date,acquisition_type,exit_date,exit_type,hold_years,is_current,revenue_millions_usd,acquisitions_during_hold,divestitures_during_hold,mergr_url,_fetched_at
5442,Compass Group Equity Partners,Missouri,353266,Koma Precision,Machinery,"East Windsor, Connecticut, United States",2026-08-18,Growth Capital,,,0,True,,0,0,https://mergr.com/company/353266,2026-09-08T12:32:05.005028+00:00
5442,Compass Group Equity Partners,Missouri,326774,Integrity Pump & Motor,Manufacturing,"Fairview, Tennessee, United States",2024-06-27,Growth Capital,2025-04-30,Divestiture,0.8,False,,0,0,https://mergr.com/company/326774,2026-09-08T12:32:05.005028+00:00
5442,Compass Group Equity Partners,Missouri,323011,Hoist & Crane Service Group,Business Services,"Jefferson, Louisiana, United States",2023-06-28,Stake Purchase,,,3.2,True,,0,0,https://mergr.com/company/323011,2026-09-08T12:32:05.005028+00:00
5442,Compass Group Equity Partners,Missouri,323010,Anderson UnderBridge,Machinery,"York, South Carolina, United States",2023-06-20,"Buyout (LBO, MBO, MBI)",,,3.2,True,,0,0,https://mergr.com/company/323010,2026-09-08T12:32:05.005028+00:00
5442,Compass Group Equity Partners,Missouri,22352,Mearthane Products,Manufacturing,"Cranston, Rhode Island, United States",2023-01-11,Growth Capital,,,3.6,True,,0,1,https://mergr.com/company/22352,2026-09-08T12:32:05.005028+00:00
5442,Compass Group Equity Partners,Missouri,323012,Florida Energy Water & Air,Consumer Services,"Maitland, Florida, United States",2022-08-11,Growth Capital,,,4,True,,1,0,https://mergr.com/company/323012,2026-09-08T12:32:05.005028+00:00
5442,Compass Group Equity Partners,Missouri,296350,KGM,Distribution,"Tulsa, Oklahoma, United States",2022-01-12,"Buyout (LBO, MBO, MBI)",2024-05-24,Trade Sale - Public Company,2.3,False,,1,0,https://mergr.com/company/296350,2026-09-08T12:32:05.005028+00:00
5442,Compass Group Equity Partners,Missouri,323014,Resolve Pain Solutions,Business Services,"Atlanta, Georgia, United States",2022-01-01,"Buyout (LBO, MBO, MBI)",,,4.7,True,,2,0,https://mergr.com/company/323014,2026-09-08T12:32:05.005028+00:00
5442,Compass Group Equity Partners,Missouri,287018,New Age Medical,Distribution,"Chesterfield, Missouri, United States",2021-06-16,Growth Capital,,,5.2,True,,0,0,https://mergr.com/company/287018,2026-09-08T12:32:05.005028+00:00
5442,Compass Group Equity Partners,Missouri,277437,Sunpro,Renewable Energy,"Mandeville, Louisiana, United States",2020-10-19,Growth Capital,2021-11-09,Divestiture,1,False,,0,0,https://mergr.com/company/277437,2026-09-08T12:32:05.005028+00:00
5442,Compass Group Equity Partners,Missouri,323013,Pacesetter Health,Healthcare Services,"San Antonio, Texas, United States",2020-01-01,"Buyout (LBO, MBO, MBI)",,,6.7,True,,0,0,https://mergr.com/company/323013,2026-09-08T12:32:05.005028+00:00
5442,Compass Group Equity Partners,Missouri,273639,The Allied Group,Business Services,"Cranston, Rhode Island, United States",2019-04-01,"Buyout (LBO, MBO, MBI)",2022-05-24,Divestiture,3.1,False,,0,0,https://mergr.com/company/273639,2026-09-08T12:32:05.005028+00:00
5442,Compass Group Equity Partners,Missouri,274613,Compass Electronics Solutions (CES),Semiconductors,"Eden Prairie, Maine, United States",2018-09-12,Consolidation,2022-01-06,Divestiture,3.3,False,,3,0,https://mergr.com/company/274613,2026-09-08T12:32:05.005028+00:00
5442,Compass Group Equity Partners,Missouri,252946,Epic Systems,Engineering,"St. Louis, Missouri, United States",2018-07-20,"Buyout (LBO, MBO, MBI)",2025-05-20,Divestiture,6.8,False,,0,0,https://mergr.com/company/252946,2026-09-08T12:32:05.005028+00:00
5442,Compass Group Equity Partners,Missouri,14791,"Logic PD, Inc.",Technology Hardware,"Eden Prairie, Minnesota, United States",2018-03-15,Secondary Buyout,2019-02-04,Divestiture,0.8,False,,0,0,https://mergr.com/company/14791,2026-09-08T12:32:05.005028+00:00
5442,Compass Group Equity Partners,Missouri,274636,CareVet,Consumer Services,"St. Louis, Missouri, United States",2018-01-01,"Buyout (LBO, MBO, MBI)",,,8.7,True,,0,0,https://mergr.com/company/274636,2026-09-08T12:32:05.005028+00:00
5442,Compass Group Equity Partners,Missouri,252979,Manufactured Assemblies Corp.,Technology Hardware,"Vandalia, Ohio, United States",2017-06-27,"Buyout (LBO, MBO, MBI)",2018-09-12,Divestiture,1.2,False,,0,0,https://mergr.com/company/252979,2026-09-08T12:32:05.005028+00:00
5442,Compass Group Equity Partners,Missouri,252981,Green Wave Electronics,Transportation,"Atlanta, Georgia, United States",2015-01-01,"Buyout (LBO, MBO, MBI)",,,11.7,True,,1,0,https://mergr.com/company/252981,2026-09-08T12:32:05.005028+00:00
5442,Compass Group Equity Partners,Missouri,252975,Tipton Mills Foods LLC,Packaging,"Columbus, Indiana, United States",2015-01-01,"Buyout (LBO, MBO, MBI)",2019-09-01,Sold to Management,4.7,False,,1,0,https://mergr.com/company/252975,2026-09-08T12:32:05.005028+00:00
3221,Lewis & Clark Capital,Missouri,350278,AirCore Environmental,Environmental,"Florida, United States",2026-06-10,Consolidation,,,0.2,True,,2,0,https://mergr.com/company/350278,2026-09-08T12:32:05.005028+00:00
3221,Lewis & Clark Capital,Missouri,326335,Taco Buddha,Restaurants,"Kirkwood, Missouri, United States",2024-04-23,"Buyout (LBO, MBO, MBI)",,,2.3,True,,0,0,https://mergr.com/company/326335,2026-09-08T12:32:05.005028+00:00
