owner_firm_id,owner_firm_name,owner_firm_state,company_id,company_name,sector,location,acquired_date,acquisition_type,exit_date,exit_type,hold_years,is_current,revenue_millions_usd,acquisitions_during_hold,divestitures_during_hold,mergr_url,_fetched_at
6535,Princeton Equity Group,New Jersey,345112,Amped Fitness,Consumer Services,"Pompano Beach, Florida, United States",2026-01-13,Growth Capital,,,0.6,True,,0,0,https://mergr.com/company/345112,2026-09-04T01:58:15.235565+00:00
6535,Princeton Equity Group,New Jersey,320093,Pirtek USA,Business Services,"Rockledge, Florida, United States",2023-10-31,Growth Capital,,,2.8,True,,0,0,https://mergr.com/company/320093,2026-09-04T01:58:15.235565+00:00
6535,Princeton Equity Group,New Jersey,311809,Stretch Zone,Franchising,"Fort Lauderdale, Florida, United States",2023-04-03,Growth Capital,,,3.4,True,,0,0,https://mergr.com/company/311809,2026-09-04T01:58:15.235565+00:00
6535,Princeton Equity Group,New Jersey,297476,Five Star Franchising,Franchising,"Springville, Utah, United States",2023-03-03,Consolidation,,,3.5,True,,1,0,https://mergr.com/company/297476,2026-09-04T01:58:15.235565+00:00
6535,Princeton Equity Group,New Jersey,312483,IFPG,Franchising,"Parlin, New Jersey, United States",2022-05-11,Growth Capital,2025-07-07,Trade Sale - Public Company,3.1,False,,0,0,https://mergr.com/company/312483,2026-09-04T01:58:15.235565+00:00
6535,Princeton Equity Group,New Jersey,312480,Ellie Mental Health,Healthcare Services,"Mendota Heights, Minnesota, United States",2022-05-03,Growth Capital,2025-08-04,Divestiture,3.3,False,,0,0,https://mergr.com/company/312480,2026-09-04T01:58:15.235565+00:00
6535,Princeton Equity Group,New Jersey,312469,D1 Training,Consumer Services,"Franklin, Tennessee, United States",2021-11-10,Growth Capital,,,4.8,True,,0,0,https://mergr.com/company/312469,2026-09-04T01:58:15.235565+00:00
6535,Princeton Equity Group,New Jersey,276996,Strickland Brothers,Automotive,"Winston-Salem, North Carolina, United States",2021-05-24,Growth Capital,,,5.3,True,,2,0,https://mergr.com/company/276996,2026-09-04T01:58:15.235565+00:00
6535,Princeton Equity Group,New Jersey,312468,Card My Yard,Franchising,"Austin, Texas, United States",2021-04-14,Growth Capital,2024-04-18,Divestiture,3,False,,0,0,https://mergr.com/company/312468,2026-09-04T01:58:15.235565+00:00
6535,Princeton Equity Group,New Jersey,272995,Barry’s,Consumer Services,"Los Angeles, California, United States",2015-07-28,Growth Capital,,,11.1,True,,0,0,https://mergr.com/company/272995,2026-09-04T01:58:15.235565+00:00
6883,Station Partners,New Jersey,340273,First Children Services,Healthcare Services,"Cherry Hill, New Jersey, United States",2025-09-11,Growth Capital,,,0.9,True,,0,0,https://mergr.com/company/340273,2026-09-04T01:58:15.235565+00:00
6860,BizGro Partners,New Jersey,352045,VisionMakers International,Building Materials,"Mesa, Arizona, United States",2025-09-02,"Buyout (LBO, MBO, MBI)",,,1,True,,0,0,https://mergr.com/company/352045,2026-09-04T01:58:15.235565+00:00
6860,BizGro Partners,New Jersey,338643,Unico Supply,Building Materials,"Houston, Texas, United States",2025-03-24,"Buyout (LBO, MBO, MBI)",,,1.4,True,,0,0,https://mergr.com/company/338643,2026-09-04T01:58:15.235565+00:00
6860,BizGro Partners,New Jersey,352055,Lake Champlain Roofing (LCR),Construction,"Plattsburgh, New York, United States",2021-09-21,"Buyout (LBO, MBO, MBI)",,,4.9,True,,0,0,https://mergr.com/company/352055,2026-09-04T01:58:15.235565+00:00
815,DFW Capital Partners,New Jersey,339265,Singlepoint Health Care,Healthcare Services,"Columbus, Ohio, United States",2025-07-30,"Buyout (LBO, MBO, MBI)",,,1.1,True,,2,0,https://mergr.com/company/339265,2026-09-04T01:58:15.235565+00:00
815,DFW Capital Partners,New Jersey,254569,Kept Companies,Consumer Services,"Fairfield, New Jersey, United States",2025-04-03,Secondary Buyout,,,1.4,True,,0,0,https://mergr.com/company/254569,2026-09-04T01:58:15.235565+00:00
815,DFW Capital Partners,New Jersey,318879,Kept,Business Services,"Fairfield, New Jersey, United States",2025-04-03,Secondary Buyout,,,1.4,True,,2,0,https://mergr.com/company/318879,2026-09-04T01:58:15.235565+00:00
815,DFW Capital Partners,New Jersey,145345,Bart & Associates,Information Technology,"McLean, Virginia, United States",2024-08-27,Secondary Buyout,,,2,True,,1,0,https://mergr.com/company/145345,2026-09-04T01:58:15.235565+00:00
815,DFW Capital Partners,New Jersey,320928,Harris CPAs,Financial Services,"Meridian, Idaho, United States",2024-01-16,Growth Capital,,,2.6,True,,0,0,https://mergr.com/company/320928,2026-09-04T01:58:15.235565+00:00
815,DFW Capital Partners,New Jersey,326263,North American Rail Solutions,Business Services,"Fort Worth, Texas, United States",2023-04-17,"Buyout (LBO, MBO, MBI)",,,3.3,True,,3,0,https://mergr.com/company/326263,2026-09-04T01:58:15.235565+00:00
815,DFW Capital Partners,New Jersey,328338,Hippo Veterinary Group,Consumer Services,"Scottsdale, Arizona, United States",2023-01-31,"Buyout (LBO, MBO, MBI)",,,3.6,True,,0,0,https://mergr.com/company/328338,2026-09-04T01:58:15.235565+00:00
815,DFW Capital Partners,New Jersey,301962,Herspiegel,Business Services,"Yardley, Pennsylvania, United States",2021-12-14,Growth Capital,,,4.7,True,,3,0,https://mergr.com/company/301962,2026-09-04T01:58:15.235565+00:00
815,DFW Capital Partners,New Jersey,271439,American Track,Construction,"Fort Worth, Texas, United States",2021-11-30,Secondary Buyout,2023-04-17,Divestiture,1.3,False,,2,0,https://mergr.com/company/271439,2026-09-04T01:58:15.235565+00:00
815,DFW Capital Partners,New Jersey,301963,ISI,Information Technology,"Herndon, Virginia, United States",2021-10-01,Stake Purchase,,,4.9,True,,0,0,https://mergr.com/company/301963,2026-09-04T01:58:15.235565+00:00
815,DFW Capital Partners,New Jersey,301967,Vantage Insurance Partners,Insurance,"New York, New York, United States",2021-01-15,Stake Purchase,,,5.6,True,,0,0,https://mergr.com/company/301967,2026-09-04T01:58:15.235565+00:00
815,DFW Capital Partners,New Jersey,301968,EPIC iO,Information Technology,"Fort Mill, South Carolina, United States",2020-05-07,Stake Purchase,,,6.3,True,,2,0,https://mergr.com/company/301968,2026-09-04T01:58:15.235565+00:00
815,DFW Capital Partners,New Jersey,215322,Voiant,Life Science,"Waltham, Massachusetts, United States",2020-01-06,Growth Capital,,,6.6,True,,3,0,https://mergr.com/company/215322,2026-09-04T01:58:15.235565+00:00
815,DFW Capital Partners,New Jersey,287870,RQM+,Medical Products,"Monroeville, Pennsylvania, United States",2019-10-11,Growth Capital,2021-08-16,Trade Sale - Public Company,1.8,False,,1,0,https://mergr.com/company/287870,2026-09-04T01:58:15.235565+00:00
815,DFW Capital Partners,New Jersey,12090,VertexOne,Information Technology,"Houston, Texas, United States",2019-07-23,Recapitalization,,,7.1,True,,2,0,https://mergr.com/company/12090,2026-09-04T01:58:15.235565+00:00
815,DFW Capital Partners,New Jersey,259248,Sev1Tech,Information Technology,"Woodbridge, Virginia, United States",2019-03-14,Growth Capital,2026-02-24,Bankruptcy,6.9,False,,2,0,https://mergr.com/company/259248,2026-09-04T01:58:15.235565+00:00
815,DFW Capital Partners,New Jersey,256525,Lotus Clinical Research,Life Science,"Pasadena, California, United States",2018-11-15,Growth Capital,,,7.8,True,,0,0,https://mergr.com/company/256525,2026-09-04T01:58:15.235565+00:00
815,DFW Capital Partners,New Jersey,252107,AQUALIS,Environmental,"Morrisville, North Carolina, United States",2018-06-29,Growth Capital,2026-04-27,Trade Sale - Public Company,7.8,False,,5,0,https://mergr.com/company/252107,2026-09-04T01:58:15.235565+00:00
815,DFW Capital Partners,New Jersey,250232,ReSource Pro,Business Services,"New York, New York, United States",2018-04-17,Growth Capital,2021-12-13,Trade Sale - Public Company,3.6,False,,4,0,https://mergr.com/company/250232,2026-09-04T01:58:15.235565+00:00
815,DFW Capital Partners,New Jersey,249674,INSIGHT2PROFIT,Information Technology,"Beachwood, Ohio, United States",2018-03-26,Growth Capital,,,8.4,True,,0,0,https://mergr.com/company/249674,2026-09-04T01:58:15.235565+00:00
815,DFW Capital Partners,New Jersey,268327,Envocore,Electrical Equipment,"Gambrills, Maryland, United States",2017-06-30,"Buyout (LBO, MBO, MBI)",,,9.2,True,,1,0,https://mergr.com/company/268327,2026-09-04T01:58:15.235565+00:00
815,DFW Capital Partners,New Jersey,244098,Saol Therapeutics,Life Science,"Roswell, Georgia, United States",2017-01-02,"Buyout (LBO, MBO, MBI)",,,9.7,True,,1,1,https://mergr.com/company/244098,2026-09-04T01:58:15.235565+00:00
815,DFW Capital Partners,New Jersey,240526,Children's Dental Management,Healthcare Services,"West Chester, Pennsylvania, United States",2016-12-12,Growth Capital,2022-01-12,Divestiture,5.1,False,,0,0,https://mergr.com/company/240526,2026-09-04T01:58:15.235565+00:00
815,DFW Capital Partners,New Jersey,227764,"Superior Controls, Inc.",Engineering,"Seabrook, New Hampshire, United States",2016-03-23,Growth Capital,2019-04-17,Divestiture,3,False,,0,0,https://mergr.com/company/227764,2026-09-04T01:58:15.235565+00:00
815,DFW Capital Partners,New Jersey,254569,Kept Companies,Consumer Services,"Fairfield, New Jersey, United States",2014-06-02,Growth Capital,2018-10-02,Trade Sale - Public Company,4.3,False,,0,0,https://mergr.com/company/254569,2026-09-04T01:58:15.235565+00:00
815,DFW Capital Partners,New Jersey,242544,Evolution Research Group,Life Science,"New Providence, New Jersey, United States",2014-04-01,Growth Capital,2018-05-30,Trade Sale - Public Company,4.1,False,,3,0,https://mergr.com/company/242544,2026-09-04T01:58:15.235565+00:00
