owner_firm_id,owner_firm_name,owner_firm_state,company_id,company_name,sector,location,acquired_date,acquisition_type,exit_date,exit_type,hold_years,is_current,revenue_millions_usd,acquisitions_during_hold,divestitures_during_hold,mergr_url,_fetched_at
22,Baker Capital,New York,30936,ParStream GmbH,Information Technology,"Cologne, Germany",2012-08-14,Venture,2015-11-03,Divestiture,3.2,False,,0,0,https://mergr.com/company/30936,2026-09-03T23:54:45Z
22,Baker Capital,New York,42049,CoreValue Advisor Software,Software,"Lebanon, New Hampshire, United States",2012-08-01,Venture,,,14.1,True,,0,0,https://mergr.com/company/42049,2026-09-03T23:54:45Z
22,Baker Capital,New York,219,Plus Tv,Media,"Helsinki, Finland",2006-06-06,"Buyout (LBO, MBO, MBI)",2008-01-01,Divestiture,1.5,False,,0,0,https://mergr.com/company/219,2026-09-03T23:54:45Z
22,Baker Capital,New York,15528,OfferMatica Corp.,Software,"San Francisco, California, United States",2005-09-20,Venture,2007-12-13,Divestiture,2.2,False,,0,0,https://mergr.com/company/15528,2026-09-03T23:54:45Z
22,Baker Capital,New York,216,Medianet,Information Technology,"Seattle, Washington, United States",2005-01-01,"Buyout (LBO, MBO, MBI)",2016-05-12,Divestiture,11.3,False,,0,0,https://mergr.com/company/216,2026-09-03T23:54:45Z
22,Baker Capital,New York,228,Wine.com,E-Commerce,"San Francisco, California, United States",2004-09-08,"Buyout (LBO, MBO, MBI)",,,21.9,True,,0,0,https://mergr.com/company/228,2026-09-03T23:54:45Z
22,Baker Capital,New York,227,Voltaire,Technology Hardware,"Herzliya, Israel",2004-03-08,"Buyout (LBO, MBO, MBI)",2007-07-26,IPO,3.3,False,,0,0,https://mergr.com/company/227,2026-09-03T23:54:45Z
22,Baker Capital,New York,220,Dotster,Information Technology,"Vancouver, Washington, United States",2004-01-01,"Buyout (LBO, MBO, MBI)",2011-07-01,Divestiture,7.5,False,,0,0,https://mergr.com/company/220,2026-09-03T23:54:45Z
22,Baker Capital,New York,221,EM4,Electronics,"Bedford, Massachusetts, United States",2003-12-15,"Buyout (LBO, MBO, MBI)",2011-01-24,Divestiture,7.1,False,,0,0,https://mergr.com/company/221,2026-09-03T23:54:45Z
22,Baker Capital,New York,15525,CANAL+ Television AB,Media,"Cedex, France",2003-10-01,"Buyout (LBO, MBO, MBI)",2005-03-01,Divestiture,1.4,False,,0,0,https://mergr.com/company/15525,2026-09-03T23:54:45Z
22,Baker Capital,New York,11648,IQNavigator,Business Services,"Centennial, Colorado, United States",2001-10-01,"Buyout (LBO, MBO, MBI)",2008-06-08,Trade Sale - Public Company,6.7,False,,0,0,https://mergr.com/company/11648,2026-09-03T23:54:45Z
22,Baker Capital,New York,210666,Totality Corp.,Information Technology,"San Francisco, California, United States",2001-02-25,"Buyout (LBO, MBO, MBI)",2005-09-01,Trade Sale,4.5,False,,0,0,https://mergr.com/company/210666,2026-09-03T23:54:45Z
22,Baker Capital,New York,226,Teem Photonics,Semiconductors,"Meylan, France",2000-10-02,Growth Capital,,,25.9,True,,1,0,https://mergr.com/company/226,2026-09-03T23:54:45Z
22,Baker Capital,New York,223,InterXion,Information Technology,"Hoofddorp, Netherlands",2000-09-11,Venture,2011-01-28,IPO,10.3,False,562,0,0,https://mergr.com/company/223,2026-09-03T23:54:45Z
22,Baker Capital,New York,15527,Connected Corp.,Software,"Framingham, Massachusetts, United States",2000-03-31,Stake Purchase,2004-10-12,Divestiture,4.5,False,,0,0,https://mergr.com/company/15527,2026-09-03T23:54:45Z
22,Baker Capital,New York,15530,Sequoia Software Corp.,Software,"Columbia, Maryland, United States",1999-12-07,"Buyout (LBO, MBO, MBI)",2001-03-21,Divestiture,1.3,False,,0,0,https://mergr.com/company/15530,2026-09-03T23:54:45Z
22,Baker Capital,New York,15529,S2 Security Corp.,Information Technology,"Framingham, Massachusetts, United States",1999-04-12,"Buyout (LBO, MBO, MBI)",2005-06-29,Divestiture,6.2,False,,0,0,https://mergr.com/company/15529,2026-09-03T23:54:45Z
29,Behrman Capital,New York,270569,Metallizing Service,Business Services,"West Hartford, Connecticut, United States",2026-04-22,"Buyout (LBO, MBO, MBI)",,,0.3,True,,0,0,https://mergr.com/company/270569,2026-09-03T23:54:45Z
29,Behrman Capital,New York,323691,VistaApex Solutions,Medical Products,"Racine, Wisconsin, United States",2024-04-10,Secondary Buyout,,,2.3,True,,0,0,https://mergr.com/company/323691,2026-09-03T23:54:45Z
29,Behrman Capital,New York,333491,TTG,Aerospace,"Endicott, New York, United States",2022-08-17,"Buyout (LBO, MBO, MBI)",,,4,True,,2,0,https://mergr.com/company/333491,2026-09-03T23:54:45Z
