owner_firm_id,owner_firm_name,owner_firm_state,company_id,company_name,sector,location,acquired_date,acquisition_type,exit_date,exit_type,hold_years,is_current,revenue_millions_usd,acquisitions_during_hold,divestitures_during_hold,mergr_url,_fetched_at
303,Invus Group,New York,302388,Parabilis Medicines,Life Science,"Cambridge, Massachusetts, United States",2021-03-01,Venture,2026-06-10,IPO,5.3,False,,0,0,https://mergr.com/company/302388,2026-09-03T23:54:45Z
303,Invus Group,New York,243379,Bizagi,Software,"Tysons, Virginia, United States",2017-09-13,Growth Capital,,,8.9,True,,0,0,https://mergr.com/company/243379,2026-09-03T23:54:45Z
303,Invus Group,New York,26401,Ashley Stewart,Apparel/Textiles,"Secaucus, New Jersey, United States",2016-06-06,Secondary Buyout,,,10.2,True,,0,0,https://mergr.com/company/26401,2026-09-03T23:54:45Z
303,Invus Group,New York,6399,SnagAJob,Internet Software and Services,"Glen Allen, Virginia, United States",2016-02-04,Growth Capital,2024-11-15,Divestiture,8.8,False,,1,1,https://mergr.com/company/6399,2026-09-03T23:54:45Z
303,Invus Group,New York,181057,Juice Beauty,Consumer Products,"San Rafael, California, United States",2014-04-01,Recapitalization,,,12.4,True,,0,0,https://mergr.com/company/181057,2026-09-03T23:54:45Z
303,Invus Group,New York,6833,Barracuda Networks,Internet Software and Services,"Campbell, California, United States",2012-10-03,Recapitalization,2013-11-06,IPO,1.1,False,277,1,0,https://mergr.com/company/6833,2026-09-03T23:54:45Z
303,Invus Group,New York,13523,"Bluemercury, Inc.",Retail,"Washington, DC, Washington, United States",2006-06-01,Secondary Buyout,2015-02-03,Divestiture,8.7,False,,0,0,https://mergr.com/company/13523,2026-09-03T23:54:45Z
303,Invus Group,New York,185457,WW International,Consumer Services,"New York, New York, United States",1999-07-23,Divestiture,2001-09-29,IPO,2.2,False,711,0,0,https://mergr.com/company/185457,2026-09-03T23:54:45Z
303,Invus Group,New York,15899,Odontoprev,Healthcare Services,"Barueri, Brazil",1998-01-01,"Buyout (LBO, MBO, MBI)",2006-12-01,IPO,8.9,False,630,0,0,https://mergr.com/company/15899,2026-09-03T23:54:45Z
626,Veritas Capital,New York,315139,Saber Power,Utilities,"Houston, Texas, United States",2026-08-06,Secondary Buyout,,,0,True,,0,0,https://mergr.com/company/315139,2026-09-03T23:54:45Z
626,Veritas Capital,New York,3927,Trinity Consultants,Business Services,"Dallas, Texas, United States",2026-08-05,Secondary Buyout,,,0,True,,1,0,https://mergr.com/company/3927,2026-09-03T23:54:45Z
626,Veritas Capital,New York,248205,BGIS,Business Services,"Markham, Ontario, Canada",2026-07-15,Secondary Buyout,,,0.1,True,,0,0,https://mergr.com/company/248205,2026-09-03T23:54:45Z
626,Veritas Capital,New York,78121,GHX,Internet Software and Services,"Louisville, Colorado, United States",2026-01-06,Secondary Buyout,,,0.6,True,,0,0,https://mergr.com/company/78121,2026-09-03T23:54:45Z
626,Veritas Capital,New York,336205,MetroStar,Information Technology,"Reston, Virginia, United States",2025-11-12,Secondary Buyout,,,0.8,True,,0,0,https://mergr.com/company/336205,2026-09-03T23:54:45Z
626,Veritas Capital,New York,328567,Candescent,Software,"Atlanta, Georgia, United States",2024-09-06,Divestiture,,,1.9,True,,0,0,https://mergr.com/company/328567,2026-09-03T23:54:45Z
626,Veritas Capital,New York,6390,Syneos Health,Life Science,"Morrisville, North Carolina, United States",2023-05-10,Going Private,,,3.3,True,4416,0,0,https://mergr.com/company/6390,2026-09-03T23:54:45Z
626,Veritas Capital,New York,9105,Wood Mackenzie,Information Services,"London, United Kingdom",2023-02-02,Divestiture,,,3.6,True,,1,0,https://mergr.com/company/9105,2026-09-03T23:54:45Z
626,Veritas Capital,New York,306014,Frontgrade Technologies,Electrical Equipment,"Colorado Springs, Colorado, United States",2022-10-13,Divestiture,,,3.8,True,,1,0,https://mergr.com/company/306014,2026-09-03T23:54:45Z
626,Veritas Capital,New York,5659,Chromalloy,Aerospace,"Palm Beach Gardens, Florida, United States",2022-09-15,Secondary Buyout,,,3.9,True,,0,0,https://mergr.com/company/5659,2026-09-03T23:54:45Z
626,Veritas Capital,New York,268766,Coronis Health,Information Technology,"Sykesville, Maryland, United States",2022-08-04,Secondary Buyout,,,4.1,True,,1,0,https://mergr.com/company/268766,2026-09-03T23:54:45Z
626,Veritas Capital,New York,302887,Epiq Solutions,Technology Hardware,"Rolling Meadows, Illinois, United States",2022-07-26,Growth Capital,2026-08-17,Divestiture,4,False,,1,0,https://mergr.com/company/302887,2026-09-03T23:54:45Z
626,Veritas Capital,New York,22053,HMH,Education,"Boston, Massachusetts, United States",2022-02-22,Going Private,,,4.5,True,1031,2,0,https://mergr.com/company/22053,2026-09-03T23:54:45Z
626,Veritas Capital,New York,32024,Finalsite,Internet Software and Services,"Glastonbury, Connecticut, United States",2021-12-01,Secondary Buyout,,,4.8,True,,1,0,https://mergr.com/company/32024,2026-09-03T23:54:45Z
626,Veritas Capital,New York,315559,Arcfield,Engineering,"Chantilly, Virginia, United States",2021-09-30,Divestiture,,,4.9,True,,0,0,https://mergr.com/company/315559,2026-09-03T23:54:45Z
626,Veritas Capital,New York,66002,Cubic,Defense,"San Diego, California, United States",2021-02-08,Going Private,,,5.5,True,1476,0,0,https://mergr.com/company/66002,2026-09-03T23:54:45Z
626,Veritas Capital,New York,276361,Gainwell Technologies,Information Technology,"Tysons Corner, Virginia, United States",2020-03-10,Divestiture,,,6.4,True,,1,0,https://mergr.com/company/276361,2026-09-03T23:54:45Z
626,Veritas Capital,New York,268209,Edcentric,Internet Software and Services,"Overland Park, Kansas, United States",2020-01-16,Secondary Buyout,2020-07-07,Spin Off,0.4,False,,0,1,https://mergr.com/company/268209,2026-09-03T23:54:45Z
626,Veritas Capital,New York,13420,Anthology,Software,"Boca Raton, Florida, United States",2020-01-16,Secondary Buyout,2025-10-30,Bankruptcy,5.8,False,,4,0,https://mergr.com/company/13420,2026-09-03T23:54:45Z
626,Veritas Capital,New York,72829,athenahealth,Internet Software and Services,"Boston, Massachusetts, United States",2018-11-12,Going Private,2021-11-22,Trade Sale - Public Company,3,False,1220,1,0,https://mergr.com/company/72829,2026-09-03T23:54:45Z
626,Veritas Capital,New York,10220,Cambium Learning Group,Education,"Dallas, Texas, United States",2018-10-15,Going Private,,,7.8,True,,2,0,https://mergr.com/company/10220,2026-09-03T23:54:45Z
626,Veritas Capital,New York,13405,Centricity Contingent Staffing,Information Technology,"Hartford, Wisconsin, United States",2018-07-11,Divestiture,2019-02-20,Divestiture,0.6,False,,0,0,https://mergr.com/company/13405,2026-09-03T23:54:45Z
626,Veritas Capital,New York,252416,Virence Health Technologies,Software,"Westborough, Massachusetts, United States",2018-04-02,Divestiture,2019-07-01,Spin Off,1.2,False,,0,0,https://mergr.com/company/252416,2026-09-03T23:54:45Z
626,Veritas Capital,New York,248567,Guidehouse,Business Services,"McLean, Virginia, United States",2018-02-14,Divestiture,2023-11-06,Trade Sale - Public Company,5.7,False,,3,0,https://mergr.com/company/248567,2026-09-03T23:54:45Z
626,Veritas Capital,New York,250391,Peraton,Information Technology,"Reston, Virginia, United States",2017-04-28,Divestiture,,,9.3,True,,5,1,https://mergr.com/company/250391,2026-09-03T23:54:45Z
626,Veritas Capital,New York,236890,APTIM,Engineering,"Baton Rouge, Louisiana, United States",2017-02-28,Divestiture,,,9.5,True,,0,0,https://mergr.com/company/236890,2026-09-03T23:54:45Z
626,Veritas Capital,New York,218952,Cotiviti,Information Technology,"South Jordan, Utah, United States",2016-04-25,Divestiture,,,10.3,True,,2,0,https://mergr.com/company/218952,2026-09-03T23:54:45Z
626,Veritas Capital,New York,204332,Abaco Systems,Technology Hardware,"Huntsville, Alabama, United States",2015-12-07,Divestiture,2021-03-22,Divestiture,5.3,False,325,1,0,https://mergr.com/company/204332,2026-09-03T23:54:45Z
626,Veritas Capital,New York,114121,Alion,Information Technology,"McLean, Virginia, United States",2015-07-23,"Buyout (LBO, MBO, MBI)",2021-07-06,Divestiture,5.9,False,,1,1,https://mergr.com/company/114121,2026-09-03T23:54:45Z
626,Veritas Capital,New York,24470,StandardAero,Aerospace,"Scottsdale, Arizona, United States",2015-07-08,Divestiture,2018-12-18,Trade Sale - Public Company,3.4,False,6063,1,0,https://mergr.com/company/24470,2026-09-03T23:54:45Z
626,Veritas Capital,New York,31126,OnSolve,Internet Software and Services,"Alpharetta, Georgia, United States",2015-06-15,Secondary Buyout,2024-07-17,Divestiture,9.1,False,,2,0,https://mergr.com/company/31126,2026-09-03T23:54:45Z
626,Veritas Capital,New York,161181,SolAero,Renewable Energy,"Albuquerque, New Mexico, United States",2014-09-17,Divestiture,2021-12-13,Divestiture,7.2,False,,2,1,https://mergr.com/company/161181,2026-09-03T23:54:45Z
626,Veritas Capital,New York,119277,BeyondTrust,Software,"Johns Creek, Georgia, United States",2014-09-02,"Buyout (LBO, MBO, MBI)",2018-09-13,Divestiture,4,False,,0,0,https://mergr.com/company/119277,2026-09-03T23:54:45Z
