owner_firm_id,owner_firm_name,owner_firm_state,company_id,company_name,sector,location,acquired_date,acquisition_type,exit_date,exit_type,hold_years,is_current,revenue_millions_usd,acquisitions_during_hold,divestitures_during_hold,mergr_url,_fetched_at
46,Bradford Equities Management,New York,234571,United Brass Works,Manufacturing,"Randleman, North Carolina, United States",2016-08-12,"Buyout (LBO, MBO, MBI)",,,10,True,,0,0,https://mergr.com/company/234571,2026-09-03T23:54:45Z
46,Bradford Equities Management,New York,21930,"Connecticut Color, Inc.",Business Services,"Meriden, Connecticut, United States",2009-12-22,"Buyout (LBO, MBO, MBI)",,,16.7,True,,0,0,https://mergr.com/company/21930,2026-09-03T23:54:45Z
46,Bradford Equities Management,New York,17918,Globe Food Equipment Co.,Manufacturing,"Dayton, Ohio, United States",2008-08-01,"Buyout (LBO, MBO, MBI)",2011-12-05,Trade Sale - Public Company,3.3,False,,0,0,https://mergr.com/company/17918,2026-09-03T23:54:45Z
46,Bradford Equities Management,New York,17930,Sunbelt Modular,Building Materials,"Phoenix, Arizona, United States",2006-04-01,"Buyout (LBO, MBO, MBI)",,,20.4,True,,2,0,https://mergr.com/company/17930,2026-09-03T23:54:45Z
46,Bradford Equities Management,New York,392,Alkota Cleaning Systems,Machinery,"Alcester, South Dakota, United States",2006-03-08,Secondary Buyout,2015-05-05,Trade Sale - Public Company,9.1,False,,0,0,https://mergr.com/company/392,2026-09-03T23:54:45Z
46,Bradford Equities Management,New York,395,Electron Beam,Electrical Equipment,"Kankakee, Illinois, United States",2005-08-12,"Buyout (LBO, MBO, MBI)",,,21,True,,0,0,https://mergr.com/company/395,2026-09-03T23:54:45Z
46,Bradford Equities Management,New York,153737,PPG,Building Materials,"Glen Mills, Pennsylvania, United States",2004-01-02,"Buyout (LBO, MBO, MBI)",2013-08-01,Trade Sale - Public Company,9.5,False,,1,0,https://mergr.com/company/153737,2026-09-03T23:54:45Z
46,Bradford Equities Management,New York,396,Independent Printing Co.,Publishing,"De Pere, Wisconsin, United States",2003-06-13,"Buyout (LBO, MBO, MBI)",2017-01-30,Divestiture,13.6,False,,1,0,https://mergr.com/company/396,2026-09-03T23:54:45Z
46,Bradford Equities Management,New York,410,Paramount Cards,Consumer Products,"Pawtucket, Rhode Island, United States",1999-04-01,"Buyout (LBO, MBO, MBI)",2006-08-01,Bankruptcy,7.3,False,,0,0,https://mergr.com/company/410,2026-09-03T23:54:45Z
46,Bradford Equities Management,New York,405,Foilmark,Manufacturing,"Newyburyport, Massachusetts, United States",1998-11-17,"Buyout (LBO, MBO, MBI)",,,27.8,True,67,0,0,https://mergr.com/company/405,2026-09-03T23:54:45Z
46,Bradford Equities Management,New York,409,Pamarco Technologies,Manufacturing,"Roselle, New Jersey, United States",1997-10-27,"Buyout (LBO, MBO, MBI)",2006-03-08,Secondary Sale,8.3,False,,0,0,https://mergr.com/company/409,2026-09-03T23:54:45Z
