owner_firm_id,owner_firm_name,owner_firm_state,company_id,company_name,sector,location,acquired_date,acquisition_type,exit_date,exit_type,hold_years,is_current,revenue_millions_usd,acquisitions_during_hold,divestitures_during_hold,mergr_url,_fetched_at
704,Barings Private Equity,North Carolina,353009,Parker Fasteners,Manufacturing,"Buckeye, Arizona, United States",2026-07-01,Growth Capital,,,0.2,True,,0,0,https://mergr.com/company/353009,2026-09-08T01:35:21.056694+00:00
704,Barings Private Equity,North Carolina,262224,Armstrong Transport Group,Transportation,"Charlotte, North Carolina, United States",2026-06-24,Secondary Buyout,,,0.2,True,,0,0,https://mergr.com/company/262224,2026-09-08T01:35:21.056694+00:00
704,Barings Private Equity,North Carolina,270569,Metallizing Service,Business Services,"West Hartford, Connecticut, United States",2026-04-22,"Buyout (LBO, MBO, MBI)",,,0.3,True,,0,0,https://mergr.com/company/270569,2026-09-08T01:35:21.056694+00:00
704,Barings Private Equity,North Carolina,344817,S&P Global - EDM and thinkFolio Businesses,Information Services,"New York, New York, United States",2026-01-12,Divestiture,,,0.6,True,,0,0,https://mergr.com/company/344817,2026-09-08T01:35:21.056694+00:00
704,Barings Private Equity,North Carolina,264043,Pro-Vision Video Systems,Technology Hardware,"Byron Center, Michigan, United States",2024-09-26,Secondary Buyout,,,1.9,True,,2,0,https://mergr.com/company/264043,2026-09-08T01:35:21.056694+00:00
704,Barings Private Equity,North Carolina,330533,GCDL,Medical Products,"Prospect Heights, Illinois, United States",2024-09-12,Recapitalization,,,1.9,True,,0,0,https://mergr.com/company/330533,2026-09-08T01:35:21.056694+00:00
704,Barings Private Equity,North Carolina,327309,Diversified Packaging,Packaging,"St. Louis, Missouri, United States",2024-07-22,Recapitalization,,,2.1,True,,0,0,https://mergr.com/company/327309,2026-09-08T01:35:21.056694+00:00
704,Barings Private Equity,North Carolina,322769,Mission Microwave Technologies,Semiconductors,"Cypress, California, United States",2024-03-14,"Buyout (LBO, MBO, MBI)",,,2.4,True,,0,0,https://mergr.com/company/322769,2026-09-08T01:35:21.056694+00:00
704,Barings Private Equity,North Carolina,227872,Aqualung Group,Consumer Products,"Carros Cedex, France",2023-06-27,Secondary Buyout,2025-07-01,Divestiture,2,False,225,0,0,https://mergr.com/company/227872,2026-09-08T01:35:21.056694+00:00
704,Barings Private Equity,North Carolina,27118,Vue,Consumer Services,"London, United Kingdom",2023-01-26,Secondary Buyout,,,3.6,True,,0,0,https://mergr.com/company/27118,2026-09-08T01:35:21.056694+00:00
