owner_firm_id,owner_firm_name,owner_firm_state,company_id,company_name,sector,location,acquired_date,acquisition_type,exit_date,exit_type,hold_years,is_current,revenue_millions_usd,acquisitions_during_hold,divestitures_during_hold,mergr_url,_fetched_at
207,Frontier Growth,North Carolina,338442,EPR Fireworks,Software,"Jacksonville, Florida, United States",2025-07-16,Growth Capital,,,1.1,True,,0,0,https://mergr.com/company/338442,2026-09-08T01:35:21.056694+00:00
207,Frontier Growth,North Carolina,318761,commonsku,Software,"Toronto, Ontario, Canada",2023-11-06,Growth Capital,,,2.8,True,,0,0,https://mergr.com/company/318761,2026-09-08T01:35:21.056694+00:00
207,Frontier Growth,North Carolina,318217,Accredible,Software,"Mountain View, California, United States",2023-10-18,Growth Capital,,,2.8,True,,0,0,https://mergr.com/company/318217,2026-09-08T01:35:21.056694+00:00
207,Frontier Growth,North Carolina,297458,Burbank Dental Lab,Medical Products,"Burbank, California, United States",2022-03-15,Growth Capital,,,4.4,True,,0,0,https://mergr.com/company/297458,2026-09-08T01:35:21.056694+00:00
207,Frontier Growth,North Carolina,293368,ServiceTrade,Software,"Durham, North Carolina, United States",2021-12-06,Growth Capital,,,4.8,True,,1,0,https://mergr.com/company/293368,2026-09-08T01:35:21.056694+00:00
207,Frontier Growth,North Carolina,317745,Petvisor,Software,"Orlando, Florida, United States",2021-07-01,Growth Capital,,,5.2,True,,0,0,https://mergr.com/company/317745,2026-09-08T01:35:21.056694+00:00
207,Frontier Growth,North Carolina,216032,GovQA,Software,"Woodridge, Illinois, United States",2019-07-09,Growth Capital,2021-08-26,Divestiture,2.1,False,,0,0,https://mergr.com/company/216032,2026-09-08T01:35:21.056694+00:00
207,Frontier Growth,North Carolina,261109,"Phone2Action, Inc.",Software,"Arlington, Virginia, United States",2019-05-22,Growth Capital,,,7.3,True,,2,0,https://mergr.com/company/261109,2026-09-08T01:35:21.056694+00:00
207,Frontier Growth,North Carolina,273182,STN Video,Digital Media,"Victoria, British Columbia, Canada",2019-05-01,Growth Capital,2024-01-24,Divestiture,4.7,False,,0,0,https://mergr.com/company/273182,2026-09-08T01:35:21.056694+00:00
207,Frontier Growth,North Carolina,259470,Clearwave,Information Technology,"Atlanta, Georgia, United States",2019-03-26,Growth Capital,,,7.4,True,,0,0,https://mergr.com/company/259470,2026-09-08T01:35:21.056694+00:00
207,Frontier Growth,North Carolina,263042,PriceSpider,Information Technology,"Irvine, California, United States",2018-10-09,Growth Capital,,,7.8,True,,1,0,https://mergr.com/company/263042,2026-09-08T01:35:21.056694+00:00
207,Frontier Growth,North Carolina,253974,ListenFirst,Software,"New York, New York, United States",2018-09-05,Growth Capital,,,8,True,,0,0,https://mergr.com/company/253974,2026-09-08T01:35:21.056694+00:00
207,Frontier Growth,North Carolina,251384,MediaPRO,Internet Software and Services,"Bothell, Washington, United States",2018-06-06,Secondary Buyout,2021-03-03,Divestiture,2.7,False,,0,0,https://mergr.com/company/251384,2026-09-08T01:35:21.056694+00:00
