owner_firm_id,owner_firm_name,owner_firm_state,company_id,company_name,sector,location,acquired_date,acquisition_type,exit_date,exit_type,hold_years,is_current,revenue_millions_usd,acquisitions_during_hold,divestitures_during_hold,mergr_url,_fetched_at
1262,Future Standard,Pennsylvania,336459,Trimlight,Electrical Equipment,"West Jordan, Utah, United States",2025-05-13,"Buyout (LBO, MBO, MBI)",,,1.3,True,,0,0,https://mergr.com/company/336459,2026-09-07T00:00:00Z
1262,Future Standard,Pennsylvania,65,Church's Texas Chicken,Restaurants,"Atlanta, Georgia, United States",2021-08-02,Secondary Buyout,,,5.1,True,,0,0,https://mergr.com/company/65,2026-09-07T00:00:00Z
1262,Future Standard,Pennsylvania,205935,Harvey Building Products,Building Materials,"Waltham, Massachusetts, United States",2015-10-05,"Buyout (LBO, MBO, MBI)",2024-03-20,Divestiture,8.4,False,,2,1,https://mergr.com/company/205935,2026-09-07T00:00:00Z
1262,Future Standard,Pennsylvania,25161,Dent Wizard International Corp.,Automotive,"Bridgeton, Missouri, United States",2015-04-14,Secondary Buyout,2020-01-06,Divestiture,4.7,False,,1,0,https://mergr.com/company/25161,2026-09-07T00:00:00Z
1088,Incline Equity Partners,Pennsylvania,274366,West Physics,Healthcare Services,"Atlanta, Georgia, United States",2026-06-23,"Buyout (LBO, MBO, MBI)",,,0.2,True,,1,0,https://mergr.com/company/274366,2026-09-07T00:00:00Z
1088,Incline Equity Partners,Pennsylvania,271723,MCCi,Information Technology,"Tallahassee, Florida, United States",2026-01-27,Secondary Buyout,,,0.6,True,,0,0,https://mergr.com/company/271723,2026-09-07T00:00:00Z
1088,Incline Equity Partners,Pennsylvania,268092,Command Investigations,Business Services,"Lake Mary, Florida, United States",2025-03-27,Secondary Buyout,,,1.4,True,,1,0,https://mergr.com/company/268092,2026-09-07T00:00:00Z
1088,Incline Equity Partners,Pennsylvania,346292,Mostardi Platt,Environmental,"Elmhurst, Illinois, United States",2025-01-16,Growth Capital,,,1.6,True,,0,0,https://mergr.com/company/346292,2026-09-07T00:00:00Z
1088,Incline Equity Partners,Pennsylvania,346297,W.S. Connelly,Distribution,"Roanoke, Virginia, United States",2024-06-04,"Buyout (LBO, MBO, MBI)",,,2.3,True,,0,0,https://mergr.com/company/346297,2026-09-07T00:00:00Z
1088,Incline Equity Partners,Pennsylvania,208402,VMG Health,Business Services,"Dallas, Texas, United States",2024-04-18,Secondary Buyout,,,2.3,True,,1,0,https://mergr.com/company/208402,2026-09-07T00:00:00Z
1088,Incline Equity Partners,Pennsylvania,322131,White Label Communications,Communications,"Exton, Pennsylvania, United States",2023-10-24,"Buyout (LBO, MBO, MBI)",,,2.8,True,,1,0,https://mergr.com/company/322131,2026-09-07T00:00:00Z
1088,Incline Equity Partners,Pennsylvania,322145,Cosmetic Skin & Laser Center,Healthcare Services,"Traverse City, Michigan, United States",2023-07-25,"Buyout (LBO, MBO, MBI)",,,3.1,True,,0,0,https://mergr.com/company/322145,2026-09-07T00:00:00Z
1088,Incline Equity Partners,Pennsylvania,274650,GME,Distribution,"Columbia, Missouri, United States",2023-07-18,Secondary Buyout,,,3.1,True,,3,0,https://mergr.com/company/274650,2026-09-07T00:00:00Z
1088,Incline Equity Partners,Pennsylvania,319896,Aldinger,Test/Measurement Equipment,"Dallas, Texas, United States",2023-07-11,Growth Capital,,,3.1,True,,7,0,https://mergr.com/company/319896,2026-09-07T00:00:00Z
1088,Incline Equity Partners,Pennsylvania,332295,Accredited Labs,Test/Measurement Equipment,"Dallas, Texas, United States",2023-07-01,Growth Capital,,,3.2,True,,6,0,https://mergr.com/company/332295,2026-09-07T00:00:00Z
1088,Incline Equity Partners,Pennsylvania,311876,Smile Source,Healthcare Services,"Kingwood, Texas, United States",2023-04-04,Growth Capital,,,3.4,True,,1,0,https://mergr.com/company/311876,2026-09-07T00:00:00Z
1088,Incline Equity Partners,Pennsylvania,309716,Barefoot Mosquito & Pest Control,Consumer Services,"Houston, Texas, United States",2023-02-02,"Buyout (LBO, MBO, MBI)",,,3.6,True,,1,0,https://mergr.com/company/309716,2026-09-07T00:00:00Z
1088,Incline Equity Partners,Pennsylvania,322132,Icreon,Information Technology,"New York, New York, United States",2022-11-03,Growth Capital,,,3.8,True,,0,0,https://mergr.com/company/322132,2026-09-07T00:00:00Z
1088,Incline Equity Partners,Pennsylvania,240813,Kindsight,Information Technology,"Charlottetown, Prince Edward Island, Canada",2022-10-20,Secondary Buyout,,,3.8,True,,1,0,https://mergr.com/company/240813,2026-09-07T00:00:00Z
1088,Incline Equity Partners,Pennsylvania,322133,NovaVision,Consumer Products,"Bowling Green, Ohio, United States",2022-08-30,"Buyout (LBO, MBO, MBI)",,,4,True,,0,0,https://mergr.com/company/322133,2026-09-07T00:00:00Z
1088,Incline Equity Partners,Pennsylvania,257945,RKD Group,Marketing,"Richardson, Texas, United States",2022-08-23,Secondary Buyout,,,4,True,,3,0,https://mergr.com/company/257945,2026-09-07T00:00:00Z
1088,Incline Equity Partners,Pennsylvania,322134,Industrial Air Flow Dynamics,Business Services,"Cleveland, Texas, United States",2022-08-09,Growth Capital,,,4,True,,0,0,https://mergr.com/company/322134,2026-09-07T00:00:00Z
1088,Incline Equity Partners,Pennsylvania,258306,Montgomery DME,Healthcare Services,"Santa Fe Springs, California, United States",2022-08-04,Secondary Buyout,,,4.1,True,,0,0,https://mergr.com/company/258306,2026-09-07T00:00:00Z
1088,Incline Equity Partners,Pennsylvania,301509,Raney's,E-Commerce,"Ocala, Florida, United States",2022-06-21,Growth Capital,,,4.2,True,,0,0,https://mergr.com/company/301509,2026-09-07T00:00:00Z
1088,Incline Equity Partners,Pennsylvania,322138,Certified Collision Group,Automotive,"San Jose, California, United States",2022-05-17,"Buyout (LBO, MBO, MBI)",2026-01-06,Trade Sale - Public Company,3.6,False,,0,0,https://mergr.com/company/322138,2026-09-07T00:00:00Z
1088,Incline Equity Partners,Pennsylvania,346306,Vieux Vins Group,Distribution,"Brisbane, California, United States",2022-03-24,Growth Capital,,,4.4,True,,2,0,https://mergr.com/company/346306,2026-09-07T00:00:00Z
1088,Incline Equity Partners,Pennsylvania,295221,Mr. Magic Car Wash,Consumer Services,"Pittsburgh, Pennsylvania, United States",2022-01-19,"Buyout (LBO, MBO, MBI)",,,4.6,True,,0,0,https://mergr.com/company/295221,2026-09-07T00:00:00Z
1088,Incline Equity Partners,Pennsylvania,196340,Alliance Environmental Group,Environmental,"Azusa, California, United States",2022-01-18,"Buyout (LBO, MBO, MBI)",,,4.6,True,,0,0,https://mergr.com/company/196340,2026-09-07T00:00:00Z
1088,Incline Equity Partners,Pennsylvania,222116,Specialty Products & Insulation,Distribution,"Charlotte, North Carolina, United States",2021-12-22,Secondary Buyout,2025-10-08,Divestiture,3.8,False,,3,0,https://mergr.com/company/222116,2026-09-07T00:00:00Z
1088,Incline Equity Partners,Pennsylvania,322144,Perfect Power Wash,Consumer Services,"Norton, Ohio, United States",2021-10-06,Growth Capital,,,4.9,True,,0,0,https://mergr.com/company/322144,2026-09-07T00:00:00Z
1088,Incline Equity Partners,Pennsylvania,322160,Road Tested Parts,Distribution,"Carnesville, Georgia, United States",2021-08-23,Consolidation,,,5,True,,1,0,https://mergr.com/company/322160,2026-09-07T00:00:00Z
1088,Incline Equity Partners,Pennsylvania,289616,AquaPhoenix Scientific,Test/Measurement Equipment,"Hanover, Pennsylvania, United States",2021-08-10,"Buyout (LBO, MBO, MBI)",,,5,True,,1,0,https://mergr.com/company/289616,2026-09-07T00:00:00Z
1088,Incline Equity Partners,Pennsylvania,287774,Edko,Environmental,"Bossier City, Louisiana, United States",2021-07-13,"Buyout (LBO, MBO, MBI)",,,5.1,True,,0,0,https://mergr.com/company/287774,2026-09-07T00:00:00Z
1088,Incline Equity Partners,Pennsylvania,286086,Starwest Botanicals,Distribution,"Sacramento, California, United States",2021-06-03,"Buyout (LBO, MBO, MBI)",,,5.3,True,,0,0,https://mergr.com/company/286086,2026-09-07T00:00:00Z
1088,Incline Equity Partners,Pennsylvania,285190,Rosenthal Wine Merchant,Distribution,"Brooklyn, New York, United States",2021-05-11,Growth Capital,2022-03-24,Spin Off,0.8,False,,0,0,https://mergr.com/company/285190,2026-09-07T00:00:00Z
1088,Incline Equity Partners,Pennsylvania,283997,Revival Animal,Consumer Services,"Orange City, Iowa, United States",2021-04-13,Growth Capital,,,5.3,True,,0,0,https://mergr.com/company/283997,2026-09-07T00:00:00Z
1088,Incline Equity Partners,Pennsylvania,245781,Jon-Don,Distribution,"Roselle, Illinois, United States",2021-01-12,Secondary Buyout,2025-05-09,Shut Down,4.3,False,,5,0,https://mergr.com/company/245781,2026-09-07T00:00:00Z
1088,Incline Equity Partners,Pennsylvania,199468,BBG,Real Estate,"Dallas, Texas, United States",2021-01-12,Secondary Buyout,,,5.6,True,,4,0,https://mergr.com/company/199468,2026-09-07T00:00:00Z
1088,Incline Equity Partners,Pennsylvania,214246,ASP Global,Distribution,"Austell, Georgia, United States",2020-02-11,"Buyout (LBO, MBO, MBI)",2024-08-06,Trade Sale - Public Company,4.4,False,,1,0,https://mergr.com/company/214246,2026-09-07T00:00:00Z
1088,Incline Equity Partners,Pennsylvania,755,BFG Supply,Distribution,"Burton, Ohio, United States",2020-02-04,Secondary Buyout,2021-11-09,Trade Sale - Public Company,1.8,False,,3,0,https://mergr.com/company/755,2026-09-07T00:00:00Z
1088,Incline Equity Partners,Pennsylvania,2588,Foundation Source,Business Services,"Fairfield, Connecticut, United States",2020-01-28,"Buyout (LBO, MBO, MBI)",2023-09-13,Trade Sale - Public Company,3.6,False,,0,0,https://mergr.com/company/2588,2026-09-07T00:00:00Z
1088,Incline Equity Partners,Pennsylvania,262660,Wholesale Supplies Plus,Distribution,"Independence, Ohio, United States",2019-07-16,Recapitalization,2021-04-29,Trade Sale - Public Company,1.8,False,,0,0,https://mergr.com/company/262660,2026-09-07T00:00:00Z
1088,Incline Equity Partners,Pennsylvania,250096,Brown & Joseph,Business Services,"Itasca, Illinois, United States",2019-06-27,Secondary Buyout,2020-03-05,Spin Off,0.7,False,,0,0,https://mergr.com/company/250096,2026-09-07T00:00:00Z
1088,Incline Equity Partners,Pennsylvania,29522,Unified Power,Business Services,"Terrell, Texas, United States",2019-06-04,Secondary Buyout,2024-12-17,Divestiture,5.5,False,,5,0,https://mergr.com/company/29522,2026-09-07T00:00:00Z
1088,Incline Equity Partners,Pennsylvania,6877,Profile,Manufacturing,"Buffalo Grove, Illinois, United States",2019-01-10,Secondary Buyout,2021-11-16,Trade Sale - Public Company,2.8,False,,3,0,https://mergr.com/company/6877,2026-09-07T00:00:00Z
