owner_firm_id,owner_firm_name,owner_firm_state,company_id,company_name,sector,location,acquired_date,acquisition_type,exit_date,exit_type,hold_years,is_current,revenue_millions_usd,acquisitions_during_hold,divestitures_during_hold,mergr_url,_fetched_at
6704,Highland Rim Capital,Tennessee,345989,Xybix Systems,Business Services,"Littleton, Colorado, United States",2026-01-30,"Buyout (LBO, MBO, MBI)",,,0.6,True,,0,0,https://mergr.com/company/345989,2026-09-08T11:57:59.480674+00:00
6704,Highland Rim Capital,Tennessee,14670,I-Deal Optics,Consumer Products,"Troy, Michigan, United States",2024-05-31,Secondary Buyout,,,2.3,True,,0,0,https://mergr.com/company/14670,2026-09-08T11:57:59.480674+00:00
6704,Highland Rim Capital,Tennessee,328086,AAN Adjusters,Insurance,"Knoxville, Tennessee, United States",2024-05-01,"Buyout (LBO, MBO, MBI)",,,2.3,True,,0,0,https://mergr.com/company/328086,2026-09-08T11:57:59.480674+00:00
5842,SouthWorth Capital Management,Tennessee,22000,American Furniture Manufacturing,Furniture,"Ecru, Mississippi, United States",2026-01-19,"Buyout (LBO, MBO, MBI)",,,0.6,True,,0,0,https://mergr.com/company/22000,2026-09-08T11:57:59.480674+00:00
5842,SouthWorth Capital Management,Tennessee,256623,Fremont-Wright,Engineering,"Memphis, Tennessee, United States",2021-02-25,Growth Capital,,,5.5,True,,0,0,https://mergr.com/company/256623,2026-09-08T11:57:59.480674+00:00
5875,Seven Hills Capital,Tennessee,340115,CPS Infusion,Healthcare Services,"Kennesaw, Georgia, United States",2025-09-09,Growth Capital,,,0.9,True,,0,0,https://mergr.com/company/340115,2026-09-08T11:57:59.480674+00:00
5875,Seven Hills Capital,Tennessee,316549,ExperCare,Healthcare Services,"Savannah, Georgia, United States",2022-09-01,"Buyout (LBO, MBO, MBI)",,,4,True,,0,0,https://mergr.com/company/316549,2026-09-08T11:57:59.480674+00:00
5875,Seven Hills Capital,Tennessee,262236,Reliable Medical,Medical Products,"Franklin, Tennessee, United States",2018-11-18,Recapitalization,2026-01-05,Merger,7.1,False,,3,0,https://mergr.com/company/262236,2026-09-08T11:57:59.480674+00:00
5875,Seven Hills Capital,Tennessee,268735,VersiCare Group,Consumer Services,"Troy, Michigan, United States",2018-02-28,"Buyout (LBO, MBO, MBI)",,,8.5,True,,1,0,https://mergr.com/company/268735,2026-09-08T11:57:59.480674+00:00
6293,Iron Path Capital,Tennessee,247832,Gougeon,Chemicals,"Bay City, Michigan, United States",2025-06-03,Growth Capital,,,1.3,True,,0,0,https://mergr.com/company/247832,2026-09-08T11:57:59.480674+00:00
