owner_firm_id,owner_firm_name,owner_firm_state,company_id,company_name,sector,location,acquired_date,acquisition_type,exit_date,exit_type,hold_years,is_current,revenue_millions_usd,acquisitions_during_hold,divestitures_during_hold,mergr_url,_fetched_at
387,Merit Energy,Texas,28832,Plantation Petroleum Holdings IV,Oil/Gas Exploration,"Houston, Texas, United States",2011-11-01,Secondary Buyout,,,14.8,True,,0,0,https://mergr.com/company/28832,2026-09-03T23:53:59Z
963,Lone Star Funds,Texas,114913,ContiTech,Manufacturing,"Hanover, Germany",2026-07-06,Divestiture,,,0.1,True,,0,0,https://mergr.com/company/114913,2026-09-03T23:53:59Z
963,Lone Star Funds,Texas,349070,DOMO Engineered Materials,Chemicals,"Leuna, Germany",2026-05-12,Divestiture,,,0.3,True,,0,0,https://mergr.com/company/349070,2026-09-03T23:53:59Z
963,Lone Star Funds,Texas,31984,Capsugel,Life Science,"Colmar, France",2026-03-06,Divestiture,,,0.4,True,750,0,0,https://mergr.com/company/31984,2026-09-03T23:53:59Z
963,Lone Star Funds,Texas,272061,Alliance Ground International,Transportation,"Miami, Florida, United States",2026-01-22,Secondary Buyout,,,0.6,True,,0,0,https://mergr.com/company/272061,2026-09-03T23:53:59Z
963,Lone Star Funds,Texas,136121,Hillenbrand,Machinery,"Batesville, Indiana, United States",2025-10-15,Going Private,,,0.8,True,3183,0,0,https://mergr.com/company/136121,2026-09-03T23:53:59Z
963,Lone Star Funds,Texas,334218,RadiciGroup - Specialty Chemicals and High Performance Polymers Business,Chemicals,"Gandino, Italy",2025-02-24,Divestiture,,,1.5,True,,0,0,https://mergr.com/company/334218,2026-09-03T23:53:59Z
963,Lone Star Funds,Texas,331241,Kidde Global Solutions,Safety/Security,"Mebane, North Carolina, United States",2024-12-02,Divestiture,,,1.8,True,,0,0,https://mergr.com/company/331241,2026-09-03T23:53:59Z
963,Lone Star Funds,Texas,99829,Eriks,Engineering,"Alkmaar, Netherlands",2024-05-03,Divestiture,,,2.3,True,,0,0,https://mergr.com/company/99829,2026-09-03T23:53:59Z
963,Lone Star Funds,Texas,262384,CentroMotion,Machinery,"Waukesha, Wisconsin, United States",2023-06-20,Secondary Buyout,,,3.2,True,,0,0,https://mergr.com/company/262384,2026-09-03T23:53:59Z
963,Lone Star Funds,Texas,316137,Binks,Manufacturing,"Shoreview, Minnesota, United States",2023-06-15,Divestiture,,,3.2,True,297,1,0,https://mergr.com/company/316137,2026-09-03T23:53:59Z
963,Lone Star Funds,Texas,32169,Vigor Industrial,Marine,"Portland, Oregon, United States",2023-02-03,Secondary Buyout,2026-02-04,Trade Sale - Public Company,3,False,,0,1,https://mergr.com/company/32169,2026-09-03T23:53:59Z
963,Lone Star Funds,Texas,30636,GTT,Communications,"McLean, Virginia, United States",2023-01-05,Special Situations/Distressed,,,3.6,True,1728,0,0,https://mergr.com/company/30636,2026-09-03T23:53:59Z
963,Lone Star Funds,Texas,298237,Senqcia,Building Materials,"Tokyo, Japan",2022-03-31,Secondary Buyout,2026-01-15,Divestiture,3.8,False,,0,0,https://mergr.com/company/298237,2026-09-03T23:53:59Z
963,Lone Star Funds,Texas,328490,XSYS,Business Services,"Willstätt, Germany",2022-02-28,Divestiture,,,4.5,True,,1,0,https://mergr.com/company/328490,2026-09-03T23:53:59Z
963,Lone Star Funds,Texas,295034,Manuchar,Distribution,"Antwerp, Belgium",2022-01-14,Divestiture,,,4.6,True,,0,0,https://mergr.com/company/295034,2026-09-03T23:53:59Z
963,Lone Star Funds,Texas,279011,SPX Flow,Manufacturing,"Charlotte, North Carolina, United States",2021-12-13,Going Private,2025-12-05,Divestiture,3.9,False,1300,0,2,https://mergr.com/company/279011,2026-09-03T23:53:59Z
963,Lone Star Funds,Texas,250588,AOC Trusted Solutions,Chemicals,"Collierville, Tennessee, United States",2021-07-13,Secondary Buyout,2024-10-28,Divestiture,3.3,False,,0,0,https://mergr.com/company/250588,2026-09-03T23:53:59Z
