owner_firm_id,owner_firm_name,owner_firm_state,company_id,company_name,sector,location,acquired_date,acquisition_type,exit_date,exit_type,hold_years,is_current,revenue_millions_usd,acquisitions_during_hold,divestitures_during_hold,mergr_url,_fetched_at
1020,Quad-C Management,Virginia,352713,Paradigm HSE,Environmental,"Houston, Texas, United States",2026-08-11,Growth Capital,,,0,True,,0,0,https://mergr.com/company/352713,2026-09-08T11:57:59.511276+00:00
1020,Quad-C Management,Virginia,262224,Armstrong Transport Group,Transportation,"Charlotte, North Carolina, United States",2026-06-24,Secondary Buyout,,,0.2,True,,0,0,https://mergr.com/company/262224,2026-09-08T11:57:59.511276+00:00
1020,Quad-C Management,Virginia,19442,Thibaut,Consumer Products,"Union, New Jersey, United States",2026-05-13,Secondary Buyout,,,0.3,True,,0,0,https://mergr.com/company/19442,2026-09-08T11:57:59.511276+00:00
1020,Quad-C Management,Virginia,347533,Dane Street,Healthcare Services,"Palm Beach Gardens, Florida, United States",2026-03-31,Growth Capital,,,0.4,True,,0,0,https://mergr.com/company/347533,2026-09-08T11:57:59.511276+00:00
1020,Quad-C Management,Virginia,349384,Accurate Meter & Supply,Distribution,"Katy, Texas, United States",2025-09-03,Growth Capital,2026-07-06,Divestiture,0.8,False,,0,0,https://mergr.com/company/349384,2026-09-08T11:57:59.511276+00:00
1020,Quad-C Management,Virginia,273419,O6 ENV,Environmental,"St. Louis, Missouri, United States",2025-08-12,Secondary Buyout,,,1,True,,0,0,https://mergr.com/company/273419,2026-09-08T11:57:59.511276+00:00
1020,Quad-C Management,Virginia,335501,Tax Protection Plus,Business Services,"Winston-Salem, North Carolina, United States",2025-04-09,Growth Capital,,,1.3,True,,0,0,https://mergr.com/company/335501,2026-09-08T11:57:59.511276+00:00
1020,Quad-C Management,Virginia,287350,Flow Service Partners,Business Services,"Mount Juliet, Tennessee, United States",2024-11-21,Secondary Buyout,,,1.8,True,,2,0,https://mergr.com/company/287350,2026-09-08T11:57:59.511276+00:00
1020,Quad-C Management,Virginia,246264,Vortex,Business Services,"Houston, Texas, United States",2023-09-18,Secondary Buyout,,,2.9,True,,13,0,https://mergr.com/company/246264,2026-09-08T11:57:59.511276+00:00
1020,Quad-C Management,Virginia,316693,Legacy Food Group,Business Services,"Glen Allen, Virginia, United States",2023-09-08,Consolidation,,,3,True,,4,0,https://mergr.com/company/316693,2026-09-08T11:57:59.511276+00:00
1020,Quad-C Management,Virginia,142453,QED Technologies,Manufacturing,"Rochester, New York, United States",2023-01-20,Divestiture,,,3.6,True,,1,0,https://mergr.com/company/142453,2026-09-08T11:57:59.511276+00:00
1020,Quad-C Management,Virginia,209015,Synoptek,Information Technology,"Costa Mesa, California, United States",2022-09-27,Secondary Buyout,,,3.9,True,,1,0,https://mergr.com/company/209015,2026-09-08T11:57:59.511276+00:00
1020,Quad-C Management,Virginia,300346,Catapult,Packaging,"Orlando, Florida, United States",2022-05-26,Growth Capital,,,4.3,True,,0,0,https://mergr.com/company/300346,2026-09-08T11:57:59.511276+00:00
1020,Quad-C Management,Virginia,32658,MNX Global Logistics,Transportation,"Long Beach, California, United States",2021-12-13,Recapitalization,2023-11-06,Divestiture,1.8,False,,0,0,https://mergr.com/company/32658,2026-09-08T11:57:59.511276+00:00
1020,Quad-C Management,Virginia,271581,Specialized Dental Partners,Business Services,"Franklin, Tennessee, United States",2021-11-09,Stake Purchase,,,4.8,True,,0,0,https://mergr.com/company/271581,2026-09-08T11:57:59.511276+00:00
1020,Quad-C Management,Virginia,290193,Titan Security Group,Safety/Security,"Chicago, Illinois, United States",2021-09-09,Growth Capital,,,4.9,True,,1,0,https://mergr.com/company/290193,2026-09-08T11:57:59.511276+00:00
1020,Quad-C Management,Virginia,289196,Village Gourmet,Food,"New York City, New York, United States",2021-08-12,Recapitalization,,,5,True,,0,0,https://mergr.com/company/289196,2026-09-08T11:57:59.511276+00:00
1020,Quad-C Management,Virginia,245921,Apps Associates,Information Technology,"Acton, Massachusetts, United States",2021-07-14,Secondary Buyout,,,5.1,True,,3,0,https://mergr.com/company/245921,2026-09-08T11:57:59.511276+00:00
1020,Quad-C Management,Virginia,308133,SEI Building Solutions,Business Services,"Doraville, Georgia, United States",2021-03-15,Secondary Buyout,,,5.4,True,,14,0,https://mergr.com/company/308133,2026-09-08T11:57:59.511276+00:00
1020,Quad-C Management,Virginia,279907,Astrix Technology Group,Business Services,"Red Bank, New Jersey, United States",2021-01-04,"Buyout (LBO, MBO, MBI)",,,5.7,True,,2,0,https://mergr.com/company/279907,2026-09-08T11:57:59.511276+00:00
1020,Quad-C Management,Virginia,176635,K12 Coalition,Education,"Eagan, Minnesota, United States",2020-12-10,Secondary Buyout,,,5.7,True,,4,0,https://mergr.com/company/176635,2026-09-08T11:57:59.511276+00:00
1020,Quad-C Management,Virginia,270454,Textum,Apparel/Textiles,"Belmont, North Carolina, United States",2020-03-23,Growth Capital,,,6.4,True,,0,0,https://mergr.com/company/270454,2026-09-08T11:57:59.511276+00:00
1020,Quad-C Management,Virginia,191575,HaystackID,Software,"Chicago, Illinois, United States",2020-02-03,Recapitalization,,,6.6,True,,3,0,https://mergr.com/company/191575,2026-09-08T11:57:59.511276+00:00
1020,Quad-C Management,Virginia,262818,Boulder Scientific,Chemicals,"Longmont, Colorado, United States",2019-07-23,Growth Capital,,,7.1,True,,0,0,https://mergr.com/company/262818,2026-09-08T11:57:59.511276+00:00
1020,Quad-C Management,Virginia,256903,S.i. Systems,Staffing,"Calgary, Alberta, Canada",2018-12-20,Growth Capital,2022-11-02,Trade Sale - Public Company,3.8,False,,2,0,https://mergr.com/company/256903,2026-09-08T11:57:59.511276+00:00
1020,Quad-C Management,Virginia,254211,Prism Vision Group,Healthcare Services,"New Providence, New Jersey, United States",2018-09-18,Growth Capital,2025-04-08,Divestiture,6.5,False,,0,0,https://mergr.com/company/254211,2026-09-08T11:57:59.511276+00:00
1020,Quad-C Management,Virginia,278939,@properties,Real Estate,"Chicago, Illinois, United States",2018-01-01,"Buyout (LBO, MBO, MBI)",2024-12-02,Divestiture,6.9,False,,1,0,https://mergr.com/company/278939,2026-09-08T11:57:59.511276+00:00
1020,Quad-C Management,Virginia,156841,Galleher,Distribution,"Santa Fe Springs, California, United States",2017-11-07,Divestiture,2023-12-18,Trade Sale - Public Company,6.1,False,,1,0,https://mergr.com/company/156841,2026-09-08T11:57:59.511276+00:00
1020,Quad-C Management,Virginia,244619,AIT Worldwide Logistics,Transportation,"Itasca, Illinois, United States",2017-10-23,Growth Capital,2021-03-17,Merger,3.3,False,,5,0,https://mergr.com/company/244619,2026-09-08T11:57:59.511276+00:00
1020,Quad-C Management,Virginia,235866,Pharm-Olam International,Life Science,"Bracknell, United Kingdom",2017-02-09,Growth Capital,2022-01-05,Spin Off,4.8,False,,0,0,https://mergr.com/company/235866,2026-09-08T11:57:59.511276+00:00
1020,Quad-C Management,Virginia,278873,Krayden,Distribution,"Denver, Colorado, United States",2017-01-01,Growth Capital,2023-04-05,Trade Sale - Public Company,6.3,False,,1,0,https://mergr.com/company/278873,2026-09-08T11:57:59.511276+00:00
1020,Quad-C Management,Virginia,2883,Stanton Carpet,Consumer Products,"Woodbury, New York, United States",2016-11-21,Secondary Buyout,2021-10-04,Trade Sale - Public Company,4.8,False,,0,0,https://mergr.com/company/2883,2026-09-08T11:57:59.511276+00:00
1020,Quad-C Management,Virginia,26718,Rainbow Child Care Center,Education,"Troy, Michigan, United States",2016-07-07,Secondary Buyout,2018-08-27,Divestiture,2.1,False,,0,0,https://mergr.com/company/26718,2026-09-08T11:57:59.511276+00:00
1020,Quad-C Management,Virginia,25033,Inmark,Packaging,"Austell, Georgia, United States",2016-03-04,Growth Capital,2020-12-23,Trade Sale - Public Company,4.8,False,,1,0,https://mergr.com/company/25033,2026-09-08T11:57:59.511276+00:00
1020,Quad-C Management,Virginia,208402,VMG Health,Business Services,"Dallas, Texas, United States",2015-10-26,Growth Capital,2020-03-25,Trade Sale - Public Company,4.3,False,,0,0,https://mergr.com/company/208402,2026-09-08T11:57:59.511276+00:00
1020,Quad-C Management,Virginia,264155,Wolf Home Products,Building Materials,"York, Pennsylvania, United States",2015-07-01,Growth Capital,2019-09-10,Trade Sale - Public Company,4.2,False,,0,0,https://mergr.com/company/264155,2026-09-08T11:57:59.511276+00:00
1020,Quad-C Management,Virginia,181763,Highspring,Staffing,"Brentwood, Tennessee, United States",2014-10-08,"Buyout (LBO, MBO, MBI)",2017-11-12,Trade Sale - Public Company,3.1,False,,4,0,https://mergr.com/company/181763,2026-09-08T11:57:59.511276+00:00
1020,Quad-C Management,Virginia,181766,Veterinary Specialists of North America,Consumer Services,"Tinton Falls, New Jersey, United States",2014-09-01,"Buyout (LBO, MBO, MBI)",,,12,True,,0,0,https://mergr.com/company/181766,2026-09-08T11:57:59.511276+00:00
