owner_firm_id,owner_firm_name,owner_firm_state,company_id,company_name,sector,location,acquired_date,acquisition_type,exit_date,exit_type,hold_years,is_current,revenue_millions_usd,acquisitions_during_hold,divestitures_during_hold,mergr_url,_fetched_at
5600,Columbia Capital,Virginia,339183,Vela,Communications,"Hoofddorp, Netherlands",2024-01-01,Joint Venture,,,2.7,True,,0,0,https://mergr.com/company/339183,2026-09-08T11:57:59.511276+00:00
5600,Columbia Capital,Virginia,283530,TerraPact,Infrastructure,"Waltham, Massachusetts, United States",2023-08-01,Growth Capital,,,3.1,True,,0,0,https://mergr.com/company/283530,2026-09-08T11:57:59.511276+00:00
5600,Columbia Capital,Virginia,283464,Landways,Business Services,"London, United Kingdom",2023-08-01,Growth Capital,,,3.1,True,,0,0,https://mergr.com/company/283464,2026-09-08T11:57:59.511276+00:00
5600,Columbia Capital,Virginia,322568,Tract,Construction,"Denver, Colorado, United States",2023-01-01,Growth Capital,,,3.7,True,,0,0,https://mergr.com/company/322568,2026-09-08T11:57:59.511276+00:00
5600,Columbia Capital,Virginia,309655,xtype,Software,"Tel Aviv, Israel",2022-09-14,Venture,,,3.9,True,,0,0,https://mergr.com/company/309655,2026-09-08T11:57:59.511276+00:00
5600,Columbia Capital,Virginia,309646,Xenith IG,Communications,"Singapore, Singapore",2022-08-02,Consolidation,,,4.1,True,,0,0,https://mergr.com/company/309646,2026-09-08T11:57:59.511276+00:00
5600,Columbia Capital,Virginia,296373,Bluewave,Information Technology,"San Clemente, California, United States",2022-02-01,Growth Capital,,,4.6,True,,16,0,https://mergr.com/company/296373,2026-09-08T11:57:59.511276+00:00
5600,Columbia Capital,Virginia,339210,Groundswell,Information Technology,"McLean, Virginia, United States",2021-12-30,"Buyout (LBO, MBO, MBI)",,,4.7,True,,0,0,https://mergr.com/company/339210,2026-09-08T11:57:59.511276+00:00
5600,Columbia Capital,Virginia,309695,The Top Percentile Collective,Information Services,"Bethesda, Maryland, United States",2021-12-01,Venture,,,4.8,True,,0,0,https://mergr.com/company/309695,2026-09-08T11:57:59.511276+00:00
5600,Columbia Capital,Virginia,309647,Driven Technologies,Information Technology,"New York, New York, United States",2021-11-12,"Buyout (LBO, MBO, MBI)",,,4.8,True,,3,0,https://mergr.com/company/309647,2026-09-08T11:57:59.511276+00:00
5600,Columbia Capital,Virginia,309648,Mesh-AI,Information Technology,"Poole, United Kingdom",2021-10-05,Venture,,,4.9,True,,0,0,https://mergr.com/company/309648,2026-09-08T11:57:59.511276+00:00
5600,Columbia Capital,Virginia,283668,NearForm,Software,"Waterford, Ireland",2021-02-16,Growth Capital,,,5.5,True,,1,0,https://mergr.com/company/283668,2026-09-08T11:57:59.511276+00:00
5600,Columbia Capital,Virginia,283664,Omnispace,Communications,"Tysons, Virginia, United States",2021-02-02,Venture,2025-10-22,Spin Off,4.7,False,,0,0,https://mergr.com/company/283664,2026-09-08T11:57:59.511276+00:00
5600,Columbia Capital,Virginia,283665,Nisos,Information Technology,"Arlington, Virginia, United States",2021-01-06,Venture,,,5.7,True,,0,0,https://mergr.com/company/283665,2026-09-08T11:57:59.511276+00:00
5600,Columbia Capital,Virginia,283612,Telarus,Communications,"Sandy, Utah, United States",2020-12-01,Growth Capital,,,5.8,True,,0,0,https://mergr.com/company/283612,2026-09-08T11:57:59.511276+00:00
5600,Columbia Capital,Virginia,283666,NextNav,Communications,"Reston, Virginia, United States",2020-01-16,Venture,2021-10-29,IPO,1.8,False,6,0,0,https://mergr.com/company/283666,2026-09-08T11:57:59.511276+00:00
5600,Columbia Capital,Virginia,283391,BillingPlatform,Internet Software and Services,"Denver, Colorado, United States",2019-12-18,Venture,,,6.7,True,,0,0,https://mergr.com/company/283391,2026-09-08T11:57:59.511276+00:00
5600,Columbia Capital,Virginia,18013,Teraco,Information Technology,"Johannesburg, South Africa",2019-01-25,Secondary Buyout,2022-01-03,Sold to Management,2.9,False,,0,0,https://mergr.com/company/18013,2026-09-08T11:57:59.511276+00:00
5600,Columbia Capital,Virginia,257449,SummitIG,Communications,"Sterling, Virginia, United States",2019-01-11,Recapitalization,,,7.6,True,,1,0,https://mergr.com/company/257449,2026-09-08T11:57:59.511276+00:00
5600,Columbia Capital,Virginia,283529,Verato,Internet Software and Services,"McLean, Virginia, United States",2019-01-07,Venture,,,7.7,True,,0,0,https://mergr.com/company/283529,2026-09-08T11:57:59.511276+00:00
5600,Columbia Capital,Virginia,283390,BIG Fiber,Communications,"Sunnyvale, California, United States",2019-01-01,Growth Capital,,,7.7,True,,0,0,https://mergr.com/company/283390,2026-09-08T11:57:59.511276+00:00
5600,Columbia Capital,Virginia,283454,Everstream Analytics,Information Technology,"San Marcos, California, United States",2018-01-01,Growth Capital,,,8.7,True,,1,0,https://mergr.com/company/283454,2026-09-08T11:57:59.511276+00:00
5600,Columbia Capital,Virginia,207886,Cologix,Information Technology,"Denver, Colorado, United States",2017-02-02,"Buyout (LBO, MBO, MBI)",,,9.6,True,,5,0,https://mergr.com/company/207886,2026-09-08T11:57:59.511276+00:00
5600,Columbia Capital,Virginia,283527,Vivacity Networks,Communications,"Naperville, Illinois, United States",2017-01-02,"Buyout (LBO, MBO, MBI)",,,9.7,True,,2,0,https://mergr.com/company/283527,2026-09-08T11:57:59.511276+00:00
5600,Columbia Capital,Virginia,202408,eX2 Technology,Communications,"Omaha, Nebraska, United States",2015-06-16,Growth Capital,2019-01-01,Divestiture,3.5,False,,0,0,https://mergr.com/company/202408,2026-09-08T11:57:59.511276+00:00
5600,Columbia Capital,Virginia,258240,"Canara, Inc.",Information Technology,"Atlanta, Georgia, United States",2012-07-17,Venture,,,14.1,True,,1,0,https://mergr.com/company/258240,2026-09-08T11:57:59.511276+00:00
5600,Columbia Capital,Virginia,175441,Daz 3D,Software,"Salt Lake City, Utah, United States",2009-12-31,Venture,,,16.7,True,,0,0,https://mergr.com/company/175441,2026-09-08T11:57:59.511276+00:00
5600,Columbia Capital,Virginia,209685,euNetworks,Communications,"London, United Kingdom",2009-01-01,"Buyout (LBO, MBO, MBI)",2017-11-06,Trade Sale - Public Company,8.8,False,,0,0,https://mergr.com/company/209685,2026-09-08T11:57:59.511276+00:00
