owner_firm_id,owner_firm_name,owner_firm_state,company_id,company_name,sector,location,acquired_date,acquisition_type,exit_date,exit_type,hold_years,is_current,revenue_millions_usd,acquisitions_during_hold,divestitures_during_hold,mergr_url,_fetched_at
6230,Gladstone Investment,Virginia,351419,DHE Computer Systems,Information Technology,"Centennial, Colorado, United States",2026-07-10,"Buyout (LBO, MBO, MBI)",,,0.1,True,,0,0,https://mergr.com/company/351419,2026-09-08T11:57:59.511276+00:00
6230,Gladstone Investment,Virginia,160037,Extrude Hone,Machinery,"Irwin, Pennsylvania, United States",2026-06-29,Secondary Buyout,,,0.2,True,,0,0,https://mergr.com/company/160037,2026-09-08T11:57:59.511276+00:00
6230,Gladstone Investment,Virginia,343905,Rowan Energy,Oil/Gas Exploration,"Houston, Texas, United States",2025-12-12,"Buyout (LBO, MBO, MBI)",,,0.7,True,,0,0,https://mergr.com/company/343905,2026-09-08T11:57:59.511276+00:00
6230,Gladstone Investment,Virginia,268163,Global Grab,Technology Hardware,"Franklin, Tennessee, United States",2025-07-16,"Buyout (LBO, MBO, MBI)",,,1.1,True,,1,0,https://mergr.com/company/268163,2026-09-08T11:57:59.511276+00:00
6230,Gladstone Investment,Virginia,336760,Sun State,Business Services,"Jacksonville, Florida, United States",2025-05-23,Growth Capital,,,1.3,True,,0,0,https://mergr.com/company/336760,2026-09-08T11:57:59.511276+00:00
6230,Gladstone Investment,Virginia,225504,Smart Chemical Solutions,Chemicals,"Midland, Texas, United States",2025-05-19,Secondary Buyout,,,1.3,True,,0,0,https://mergr.com/company/225504,2026-09-08T11:57:59.511276+00:00
6230,Gladstone Investment,Virginia,32037,Nielsen-Kellerman,Manufacturing,"Boothwyn, Pennsylvania, United States",2024-12-19,Secondary Buyout,,,1.7,True,,0,0,https://mergr.com/company/32037,2026-09-08T11:57:59.511276+00:00
6230,Gladstone Investment,Virginia,332206,Ricardo Defense,Defense,"Troy, Michigan, United States",2024-12-16,Divestiture,,,1.7,True,,0,0,https://mergr.com/company/332206,2026-09-08T11:57:59.511276+00:00
6230,Gladstone Investment,Virginia,11586,Pyrotek Special Effects,Business Services,"Markham, Ontario, Canada",2024-11-22,Secondary Buyout,,,1.8,True,,1,0,https://mergr.com/company/11586,2026-09-08T11:57:59.511276+00:00
6230,Gladstone Investment,Virginia,317112,E3,Energy Services and Equipment,"Kilgore, Texas, United States",2023-09-13,"Buyout (LBO, MBO, MBI)",,,2.9,True,,0,0,https://mergr.com/company/317112,2026-09-08T11:57:59.511276+00:00
6230,Gladstone Investment,Virginia,314348,Home Concepts,Publishing,"Santa Barbara, California, United States",2023-05-22,"Buyout (LBO, MBO, MBI)",,,3.3,True,,0,0,https://mergr.com/company/314348,2026-09-08T11:57:59.511276+00:00
6230,Gladstone Investment,Virginia,206554,Cordant Health Solutions,Healthcare Services,"Indianapolis, Indiana, United States",2023-04-10,Secondary Buyout,,,3.3,True,,0,1,https://mergr.com/company/206554,2026-09-08T11:57:59.511276+00:00
6230,Gladstone Investment,Virginia,315117,Dema Services,Business Services,"Denver, Colorado, United States",2022-07-06,"Buyout (LBO, MBO, MBI)",,,4.2,True,,1,0,https://mergr.com/company/315117,2026-09-08T11:57:59.511276+00:00
6230,Gladstone Investment,Virginia,315110,Utah Pacific Bridge & Steel,Manufacturing,"Lindon, Utah, United States",2021-07-30,"Buyout (LBO, MBO, MBI)",,,5.1,True,,0,0,https://mergr.com/company/315110,2026-09-08T11:57:59.511276+00:00
6230,Gladstone Investment,Virginia,286751,Nocturne Luxury Villas,Real Estate,"Jacksonville, Florida, United States",2021-06-08,Consolidation,2025-03-01,Trade Sale - Public Company,3.7,False,,2,0,https://mergr.com/company/286751,2026-09-08T11:57:59.511276+00:00
6230,Gladstone Investment,Virginia,274061,Mason West,Manufacturing,"Placentia, California, United States",2020-07-09,"Buyout (LBO, MBO, MBI)",,,6.1,True,,0,0,https://mergr.com/company/274061,2026-09-08T11:57:59.511276+00:00
6230,Gladstone Investment,Virginia,270108,Maids,Consumer Services,"Omaha, Nebraska, United States",2020-03-09,"Buyout (LBO, MBO, MBI)",,,6.4,True,,0,0,https://mergr.com/company/270108,2026-09-08T11:57:59.511276+00:00
6230,Gladstone Investment,Virginia,300082,Managed Labor Solutions,Business Services,"Allentown, Pennsylvania, United States",2019-07-24,"Buyout (LBO, MBO, MBI)",,,7.1,True,,0,0,https://mergr.com/company/300082,2026-09-08T11:57:59.511276+00:00
6230,Gladstone Investment,Virginia,315125,Educators Resource,Distribution,"Mobile, Alabama, United States",2018-11-30,"Buyout (LBO, MBO, MBI)",,,7.8,True,,0,0,https://mergr.com/company/315125,2026-09-08T11:57:59.511276+00:00
6230,Gladstone Investment,Virginia,315140,ImageWorks,Marketing,"Winston-Salem, North Carolina, United States",2017-11-28,"Buyout (LBO, MBO, MBI)",,,8.8,True,,0,0,https://mergr.com/company/315140,2026-09-08T11:57:59.511276+00:00
6230,Gladstone Investment,Virginia,236543,J.R. Hobbs,Construction,"Lawrenceville, Georgia, United States",2017-02-17,"Buyout (LBO, MBO, MBI)",,,9.5,True,,1,1,https://mergr.com/company/236543,2026-09-08T11:57:59.511276+00:00
6230,Gladstone Investment,Virginia,220160,The Mountain,Apparel/Textiles,"Marlborough, New Hampshire, United States",2016-05-09,"Buyout (LBO, MBO, MBI)",,,10.3,True,,0,0,https://mergr.com/company/220160,2026-09-08T11:57:59.511276+00:00
6230,Gladstone Investment,Virginia,13315,PSI Molded Plastics,Plastics,"Wolfeboro, New Hampshire, United States",2015-08-04,Secondary Buyout,,,11.1,True,,1,0,https://mergr.com/company/13315,2026-09-08T11:57:59.511276+00:00
6230,Gladstone Investment,Virginia,188890,Brunswick,Consumer Products,"Muskegon, Michigan, United States",2015-05-26,Divestiture,,,11.3,True,,0,0,https://mergr.com/company/188890,2026-09-08T11:57:59.511276+00:00
6230,Gladstone Investment,Virginia,220163,Precision Southeast,Plastics,"Myrtle Beach, South Carolina, United States",2015-04-08,Acquisition Financing,2017-12-06,Spin Off,2.6,False,,1,0,https://mergr.com/company/220163,2026-09-08T11:57:59.511276+00:00
6230,Gladstone Investment,Virginia,180957,Proceed,Business Services,"New York, New York, United States",2015-03-31,Divestiture,2023-10-24,Trade Sale - Public Company,8.5,False,,0,0,https://mergr.com/company/180957,2026-09-08T11:57:59.511276+00:00
6230,Gladstone Investment,Virginia,229015,B+T Group,Engineering,"Tulsa, Oklahoma, United States",2014-12-19,Recapitalization,,,11.7,True,,0,0,https://mergr.com/company/229015,2026-09-08T11:57:59.511276+00:00
6230,Gladstone Investment,Virginia,220165,Old World Christmas,Consumer Products,"Spokane, Washington, United States",2014-10-21,"Buyout (LBO, MBO, MBI)",,,11.8,True,,0,0,https://mergr.com/company/220165,2026-09-08T11:57:59.511276+00:00
6230,Gladstone Investment,Virginia,13386,Noble Logistics,Transportation,"Houston, Texas, United States",2014-08-26,Special Situations/Distressed,,,12,True,,0,0,https://mergr.com/company/13386,2026-09-08T11:57:59.511276+00:00
6230,Gladstone Investment,Virginia,229154,Schylling,Consumer Products,"North Andover, Massachusetts, United States",2013-08-14,"Buyout (LBO, MBO, MBI)",,,13,True,,0,0,https://mergr.com/company/229154,2026-09-08T11:57:59.511276+00:00
6230,Gladstone Investment,Virginia,70681,Jackrabbit,Machinery,"Ripon, California, United States",2013-04-01,"Buyout (LBO, MBO, MBI)",2019-05-07,Trade Sale - Public Company,6.1,False,,0,0,https://mergr.com/company/70681,2026-09-08T11:57:59.511276+00:00
