owner_firm_id,owner_firm_name,owner_firm_state,company_id,company_name,sector,location,acquired_date,acquisition_type,exit_date,exit_type,hold_years,is_current,revenue_millions_usd,acquisitions_during_hold,divestitures_during_hold,mergr_url,_fetched_at
7106,Clarendon Capital,Virginia,280905,O'Donnell Metal Deck,Distribution,"Elkridge, Maryland, United States",2026-08-11,Secondary Buyout,,,0,True,,0,0,https://mergr.com/company/280905,2026-09-08T11:57:59.511276+00:00
5817,Bluestone Investment Partners,Virginia,349828,Valiant Solutions,Information Technology,"McLean, Virginia, United States",2024-12-18,Growth Capital,,,1.7,True,,1,0,https://mergr.com/company/349828,2026-09-08T11:57:59.511276+00:00
5817,Bluestone Investment Partners,Virginia,322892,Precise Systems,Information Technology,"Lexington Park, Maryland, United States",2023-05-09,Growth Capital,,,3.3,True,,2,0,https://mergr.com/company/322892,2026-09-08T11:57:59.511276+00:00
5817,Bluestone Investment Partners,Virginia,290178,cBEYONData,Information Technology,"Lorton, United States",2021-09-09,Growth Capital,2025-02-11,Divestiture,3.4,False,,1,0,https://mergr.com/company/290178,2026-09-08T11:57:59.511276+00:00
5817,Bluestone Investment Partners,Virginia,312614,CTI,Information Technology,"California, Maryland, United States",2021-05-25,"Buyout (LBO, MBO, MBI)",2025-07-01,Divestiture,4.1,False,,2,0,https://mergr.com/company/312614,2026-09-08T11:57:59.511276+00:00
5817,Bluestone Investment Partners,Virginia,265988,Intrepid Solutions and Services,Information Technology,"Herndon, Virginia, United States",2019-11-05,Growth Capital,2022-08-03,Spin Off,2.7,False,,3,0,https://mergr.com/company/265988,2026-09-08T11:57:59.511276+00:00
5817,Bluestone Investment Partners,Virginia,27441,Quadel,Business Services,"Indianapolis, Indiana, United States",2019-02-08,Secondary Buyout,2021-06-08,Divestiture,2.3,False,,0,0,https://mergr.com/company/27441,2026-09-08T11:57:59.511276+00:00
4830,Perpetual Capital Partners,Virginia,242347,Novatech,Information Technology,"Nashville, Tennessee, United States",2024-09-04,Secondary Buyout,,,2,True,,0,0,https://mergr.com/company/242347,2026-09-08T11:57:59.511276+00:00
4830,Perpetual Capital Partners,Virginia,226735,In-Shape,Consumer Services,"Stockton, California, United States",2023-01-17,Secondary Buyout,,,3.6,True,,0,0,https://mergr.com/company/226735,2026-09-08T11:57:59.511276+00:00
4830,Perpetual Capital Partners,Virginia,29839,Garden Fresh,Restaurants,"San Diego, California, United States",2017-08-07,Secondary Buyout,2020-05-01,Shut Down,2.7,False,,0,0,https://mergr.com/company/29839,2026-09-08T11:57:59.511276+00:00
4830,Perpetual Capital Partners,Virginia,522,California Family Fitness,Consumer Services,"Orangevale, California, United States",2016-01-06,Secondary Buyout,,,10.7,True,,0,0,https://mergr.com/company/522,2026-09-08T11:57:59.511276+00:00
6350,Attain Capital,Virginia,343034,Excella,Information Technology,"Arlington, Virginia, United States",2024-05-14,Growth Capital,,,2.3,True,,0,0,https://mergr.com/company/343034,2026-09-08T11:57:59.511276+00:00
6350,Attain Capital,Virginia,276184,Regent Education,Internet Software and Services,"Frederick, Maryland, United States",2022-06-08,Growth Capital,,,4.3,True,,0,0,https://mergr.com/company/276184,2026-09-08T11:57:59.511276+00:00
6350,Attain Capital,Virginia,310857,Infotek Consulting,Information Technology,"Reston, Virginia, United States",2022-05-17,Growth Capital,,,4.3,True,,0,0,https://mergr.com/company/310857,2026-09-08T11:57:59.511276+00:00
6350,Attain Capital,Virginia,300087,Cardinality.ai,Internet Software and Services,"Gaithersburg, Maryland, United States",2022-02-23,Growth Capital,,,4.5,True,,0,0,https://mergr.com/company/300087,2026-09-08T11:57:59.511276+00:00
6350,Attain Capital,Virginia,296311,Safal Partners,Business Services,"Houston, Texas, United States",2022-02-14,Growth Capital,,,4.5,True,,0,0,https://mergr.com/company/296311,2026-09-08T11:57:59.511276+00:00
3529,Blue Delta Capital Partners,Virginia,336203,HTL,Technology Hardware,"Germantown, Maryland, United States",2024-04-10,Growth Capital,,,2.3,True,,0,0,https://mergr.com/company/336203,2026-09-08T11:57:59.511276+00:00
3529,Blue Delta Capital Partners,Virginia,336205,MetroStar,Information Technology,"Reston, Virginia, United States",2024-01-01,"Buyout (LBO, MBO, MBI)",2025-11-12,Trade Sale - Public Company,1.8,False,,0,0,https://mergr.com/company/336205,2026-09-08T11:57:59.511276+00:00
3529,Blue Delta Capital Partners,Virginia,336184,Concept Plus,Information Technology,"Fairfax, Virginia, United States",2023-11-08,Growth Capital,,,2.8,True,,0,0,https://mergr.com/company/336184,2026-09-08T11:57:59.511276+00:00
3529,Blue Delta Capital Partners,Virginia,336196,Core One Solutions,Information Technology,"Sterling, Virginia, United States",2023-01-10,Growth Capital,,,3.6,True,,0,0,https://mergr.com/company/336196,2026-09-08T11:57:59.511276+00:00
3529,Blue Delta Capital Partners,Virginia,336202,Edgewater Federal Solutions,Information Technology,"Frederick, Maryland, United States",2022-09-06,Growth Capital,,,4,True,,0,0,https://mergr.com/company/336202,2026-09-08T11:57:59.511276+00:00
3529,Blue Delta Capital Partners,Virginia,336206,Redhorse,Information Technology,"Arlington, Virginia, United States",2021-12-01,Growth Capital,,,4.8,True,,0,0,https://mergr.com/company/336206,2026-09-08T11:57:59.511276+00:00
3529,Blue Delta Capital Partners,Virginia,336200,Client Solution Architects,Information Technology,"Virginia Beach, Virginia, United States",2021-07-01,Growth Capital,,,5.2,True,,1,0,https://mergr.com/company/336200,2026-09-08T11:57:59.511276+00:00
3529,Blue Delta Capital Partners,Virginia,298881,Applied Information Sciences,Internet Software and Services,"Reston, Virginia, United States",2020-09-01,Stake Purchase,,,6,True,,1,0,https://mergr.com/company/298881,2026-09-08T11:57:59.511276+00:00
3529,Blue Delta Capital Partners,Virginia,307826,Gunnison Consulting,Information Technology,"McLean, Virginia, United States",2019-04-01,Recapitalization,,,7.4,True,,0,0,https://mergr.com/company/307826,2026-09-08T11:57:59.511276+00:00
