owner_firm_id,owner_firm_name,owner_firm_state,company_id,company_name,sector,location,acquired_date,acquisition_type,exit_date,exit_type,hold_years,is_current,revenue_millions_usd,acquisitions_during_hold,divestitures_during_hold,mergr_url,_fetched_at
2969,Frazier Healthcare Partners,Washington,206372,MatrixCare,Software,"San Diego, California, United States",2026-07-07,Divestiture,,,0.2,True,122,0,0,https://mergr.com/company/206372,2026-09-08T12:32:04.980451+00:00
2969,Frazier Healthcare Partners,Washington,294520,Altruix,Life Science,"Cockeysville, Maryland, United States",2026-05-28,Secondary Buyout,,,0.3,True,,0,0,https://mergr.com/company/294520,2026-09-08T12:32:04.980451+00:00
2969,Frazier Healthcare Partners,Washington,116409,CareTria,Healthcare Services,"Lakewood, New Jersey, United States",2025-02-25,Secondary Buyout,,,1.5,True,,1,0,https://mergr.com/company/116409,2026-09-08T12:32:04.980451+00:00
2969,Frazier Healthcare Partners,Washington,240088,DirectMed Imaging,Medical Products,"Poway, California, United States",2024-10-15,Secondary Buyout,,,1.8,True,,2,0,https://mergr.com/company/240088,2026-09-08T12:32:04.980451+00:00
2969,Frazier Healthcare Partners,Washington,231335,BioMatrix Specialty Pharmacy,Life Science,"Plantation, Florida, United States",2024-06-25,Secondary Buyout,,,2.2,True,,4,0,https://mergr.com/company/231335,2026-09-08T12:32:04.980451+00:00
2969,Frazier Healthcare Partners,Washington,5546,RevSpring,Information Technology,"Nashville, Tennessee, United States",2024-03-12,Secondary Buyout,,,2.4,True,,2,0,https://mergr.com/company/5546,2026-09-08T12:32:04.980451+00:00
2969,Frazier Healthcare Partners,Washington,249885,Vatica Health,Information Technology,"St. Louis Park, Minnesota, United States",2023-09-25,Secondary Buyout,,,2.9,True,,0,0,https://mergr.com/company/249885,2026-09-08T12:32:04.980451+00:00
2969,Frazier Healthcare Partners,Washington,300883,Konovo,Business Services,"Pocatello, Idaho, United States",2022-06-07,"Buyout (LBO, MBO, MBI)",,,4.3,True,,1,0,https://mergr.com/company/300883,2026-09-08T12:32:04.980451+00:00
2969,Frazier Healthcare Partners,Washington,311239,Effective School Solutions,Education,"New Providence, New Jersey, United States",2021-11-01,Secondary Buyout,,,4.8,True,,0,0,https://mergr.com/company/311239,2026-09-08T12:32:04.980451+00:00
2969,Frazier Healthcare Partners,Washington,311280,AirLife,Medical Products,"Grand Rapids, Michigan, United States",2021-08-05,"Buyout (LBO, MBO, MBI)",,,5.1,True,,2,0,https://mergr.com/company/311280,2026-09-08T12:32:04.980451+00:00
2969,Frazier Healthcare Partners,Washington,258582,CSafe Global,Life Science,"Monroe, Ohio, United States",2020-12-24,Recapitalization,,,5.7,True,,1,0,https://mergr.com/company/258582,2026-09-08T12:32:04.980451+00:00
2969,Frazier Healthcare Partners,Washington,242372,Accuity Delivery Systems,Information Technology,"Mount Laurel, New Jersey, United States",2020-10-26,Secondary Buyout,,,5.8,True,,0,0,https://mergr.com/company/242372,2026-09-08T12:32:04.980451+00:00
2969,Frazier Healthcare Partners,Washington,177095,Adare Pharma Solutions,Life Science,"Philadelphia, Pennsylvania, United States",2020-09-22,Secondary Buyout,,,5.9,True,,1,1,https://mergr.com/company/177095,2026-09-08T12:32:04.980451+00:00
2969,Frazier Healthcare Partners,Washington,95277,Eptam Precision Solutions,Plastics,"Northfield, New Hampshire, United States",2020-01-24,Secondary Buyout,,,6.6,True,,0,0,https://mergr.com/company/95277,2026-09-08T12:32:04.980451+00:00
2969,Frazier Healthcare Partners,Washington,185,Elevate Patient Financial Solutions,Information Technology,"Spring, Texas, United States",2019-10-10,Divestiture,2025-08-04,Trade Sale - Public Company,5.8,False,,4,0,https://mergr.com/company/185,2026-09-08T12:32:04.980451+00:00
2969,Frazier Healthcare Partners,Washington,36925,CPS,Healthcare Services,"Dublin, Ohio, United States",2019-03-27,Secondary Buyout,,,7.4,True,,0,0,https://mergr.com/company/36925,2026-09-08T12:32:04.980451+00:00
2969,Frazier Healthcare Partners,Washington,256750,United Digestive,Healthcare Services,"Atlanta, Georgia, United States",2018-12-17,Joint Venture,2023-03-30,Trade Sale - Public Company,4.3,False,,0,0,https://mergr.com/company/256750,2026-09-08T12:32:04.980451+00:00
2969,Frazier Healthcare Partners,Washington,267569,Caravel Autism Health,Healthcare Services,"Green Bay, Wisconsin, United States",2018-08-29,Growth Capital,2024-05-20,Trade Sale - Public Company,5.7,False,,1,0,https://mergr.com/company/267569,2026-09-08T12:32:04.980451+00:00
2969,Frazier Healthcare Partners,Washington,253575,Krystal Biotech,Life Science,"Pittsburgh, Pennsylvania, United States",2018-08-16,Stake Purchase,,,8,True,389,0,0,https://mergr.com/company/253575,2026-09-08T12:32:04.980451+00:00
2969,Frazier Healthcare Partners,Washington,267672,Scout Bio,Life Science,"Philadelphia, Pennsylvania, United States",2018-01-01,Venture,2024-01-25,Divestiture,6,False,,0,0,https://mergr.com/company/267672,2026-09-08T12:32:04.980451+00:00
2969,Frazier Healthcare Partners,Washington,267669,Passage Bio,Life Science,"Philadelphia, Pennsylvania, United States",2018-01-01,Venture,2020-02-27,IPO,2.1,False,103,0,0,https://mergr.com/company/267669,2026-09-08T12:32:04.980451+00:00
2969,Frazier Healthcare Partners,Washington,267656,Amunix,Life Science,"South San Francisco, California, United States",2018-01-01,"Buyout (LBO, MBO, MBI)",2021-12-21,Divestiture,3.9,False,,0,0,https://mergr.com/company/267656,2026-09-08T12:32:04.980451+00:00
2969,Frazier Healthcare Partners,Washington,267574,Vein Clinics of America,Healthcare Services,"Downers Grove, Illinois, United States",2017-12-29,"Buyout (LBO, MBO, MBI)",,,8.7,True,,0,0,https://mergr.com/company/267574,2026-09-08T12:32:04.980451+00:00
2969,Frazier Healthcare Partners,Washington,263283,Outpost Medicine,Life Science,"Indianapolis, Indiana, United States",2017-11-15,Venture,,,8.8,True,,0,0,https://mergr.com/company/263283,2026-09-08T12:32:04.980451+00:00
2969,Frazier Healthcare Partners,Washington,267566,AppianRx,Healthcare Services,"Houston, Texas, United States",2017-11-03,"Buyout (LBO, MBO, MBI)",,,8.8,True,,0,0,https://mergr.com/company/267566,2026-09-08T12:32:04.980451+00:00
2969,Frazier Healthcare Partners,Washington,238408,Parata,Business Services,"Durham, North Carolina, United States",2017-07-31,"Buyout (LBO, MBO, MBI)",2022-06-06,Divestiture,4.8,False,,2,0,https://mergr.com/company/238408,2026-09-08T12:32:04.980451+00:00
2969,Frazier Healthcare Partners,Washington,250149,CORE Institute,Healthcare Services,"Phoenix, Arizona, United States",2017-01-23,Growth Capital,2019-08-15,Trade Sale - Public Company,2.5,False,,0,0,https://mergr.com/company/250149,2026-09-08T12:32:04.980451+00:00
2969,Frazier Healthcare Partners,Washington,267673,Sojournix,Life Science,"Waltham, Massachusetts, United States",2017-01-01,Venture,,,9.7,True,,0,0,https://mergr.com/company/267673,2026-09-08T12:32:04.980451+00:00
2969,Frazier Healthcare Partners,Washington,267676,Vaxcyte,Life Science,"San Carlos, California, United States",2017-01-01,Venture,2020-06-16,IPO,3.4,False,388,0,0,https://mergr.com/company/267676,2026-09-08T12:32:04.980451+00:00
2969,Frazier Healthcare Partners,Washington,242939,United Derm Partners,Healthcare Services,"Brentwood, Tennessee, United States",2016-12-06,Growth Capital,,,9.8,True,,2,0,https://mergr.com/company/242939,2026-09-08T12:32:04.980451+00:00
2969,Frazier Healthcare Partners,Washington,231,Matrix Medical Network,Healthcare Services,"Phoenix, Arizona, United States",2016-10-25,Divestiture,,,9.8,True,,3,2,https://mergr.com/company/231,2026-09-08T12:32:04.980451+00:00
2969,Frazier Healthcare Partners,Washington,267565,Alteon Health,Healthcare Services,"Germantown, Maryland, United States",2016-09-20,Growth Capital,2022-02-01,Divestiture,5.3,False,,1,0,https://mergr.com/company/267565,2026-09-08T12:32:04.980451+00:00
2969,Frazier Healthcare Partners,Washington,297319,Aptinyx,Life Science,"Evanston, Illinois, United States",2016-05-10,Venture,2018-06-25,IPO,2.1,False,2,0,0,https://mergr.com/company/297319,2026-09-08T12:32:04.980451+00:00
2969,Frazier Healthcare Partners,Washington,267659,Arcutis,Life Science,"Westlake Village, California, United States",2016-01-01,Venture,2020-01-30,IPO,4,False,376,0,0,https://mergr.com/company/267659,2026-09-08T12:32:04.980451+00:00
2969,Frazier Healthcare Partners,Washington,267651,Leiters Health,Life Science,"Englewood, Colorado, United States",2015-01-01,Growth Capital,2021-11-09,Trade Sale - Public Company,6.8,False,,0,0,https://mergr.com/company/267651,2026-09-08T12:32:04.980451+00:00
2969,Frazier Healthcare Partners,Washington,267661,Imago BioSciences,Life Science,"South San Francisco, California, United States",2014-01-01,Venture,2021-07-12,IPO,7.5,False,,0,0,https://mergr.com/company/267661,2026-09-08T12:32:04.980451+00:00
2969,Frazier Healthcare Partners,Washington,11655,Orthotic Group,Medical Products,"Markham, Ontario, Canada",2013-04-09,Secondary Buyout,,,13.3,True,,1,0,https://mergr.com/company/11655,2026-09-08T12:32:04.980451+00:00
2969,Frazier Healthcare Partners,Washington,176571,Ohi,Consumer Products,"Mesa, Arizona, United States",2013-04-08,"Buyout (LBO, MBO, MBI)",2022-12-22,Trade Sale - Public Company,9.7,False,,1,0,https://mergr.com/company/176571,2026-09-08T12:32:04.980451+00:00
2969,Frazier Healthcare Partners,Washington,4430,US Renal Care,Healthcare Services,"Plano, Texas, United States",2012-06-21,Recapitalization,2019-02-13,Trade Sale - Public Company,6.6,False,,1,0,https://mergr.com/company/4430,2026-09-08T12:32:04.980451+00:00
2969,Frazier Healthcare Partners,Washington,110933,PCI Pharma Services,Life Science,"Philadelphia, Pennsylvania, United States",2012-06-20,Divestiture,2016-06-01,Trade Sale - Public Company,3.9,False,,3,0,https://mergr.com/company/110933,2026-09-08T12:32:04.980451+00:00
2969,Frazier Healthcare Partners,Washington,214328,MISHA Knee System,Medical Products,"Fremont, California, United States",2011-06-30,Venture,,,15.2,True,,0,0,https://mergr.com/company/214328,2026-09-08T12:32:04.980451+00:00
2969,Frazier Healthcare Partners,Washington,176573,Northfield Medical,Healthcare Services,"Novi, Michigan, United States",2011-03-01,"Buyout (LBO, MBO, MBI)",2021-03-19,Divestiture,10,False,,1,0,https://mergr.com/company/176573,2026-09-08T12:32:04.980451+00:00
2969,Frazier Healthcare Partners,Washington,176569,"Laboratory Supply Co., Inc.",Healthcare Services,"Louisville, Kentucky, United States",2011-02-01,"Buyout (LBO, MBO, MBI)",2016-05-24,Divestiture,5.3,False,,1,0,https://mergr.com/company/176569,2026-09-08T12:32:04.980451+00:00
2969,Frazier Healthcare Partners,Washington,267649,Alcresta Therapeutics,Life Science,"Waltham, Massachusetts, United States",2011-01-01,Venture,2024-03-12,Trade Sale - Public Company,13.2,False,,0,0,https://mergr.com/company/267649,2026-09-08T12:32:04.980451+00:00
2969,Frazier Healthcare Partners,Washington,176567,"Elements Behavioral Health, Inc.",Healthcare Services,"Long Beach, California, United States",2008-01-01,Growth Capital,2019-05-01,Divestiture,11.3,False,,1,0,https://mergr.com/company/176567,2026-09-08T12:32:04.980451+00:00
2969,Frazier Healthcare Partners,Washington,36965,TridentCare,Healthcare Services,"Sparks Glencoe, Maryland, United States",2008-01-01,Consolidation,2013-06-28,Trade Sale - Public Company,5.4,False,,0,0,https://mergr.com/company/36965,2026-09-08T12:32:04.980451+00:00
2969,Frazier Healthcare Partners,Washington,214817,"FlowCardia, Inc.",Medical Products,"Sunnyvale, California, United States",2007-08-30,Venture,2010-05-17,Divestiture,2.7,False,,0,0,https://mergr.com/company/214817,2026-09-08T12:32:04.980451+00:00
2969,Frazier Healthcare Partners,Washington,800,Bravo Health,Healthcare Services,"Baltimore, Maryland, United States",2007-08-01,Venture,,,19.1,True,,0,0,https://mergr.com/company/800,2026-09-08T12:32:04.980451+00:00
2969,Frazier Healthcare Partners,Washington,1247,Pentec Health,Healthcare Services,"Boothwyn, Pennsylvania, United States",2006-05-04,Growth Capital,2012-06-12,Trade Sale - Public Company,6.1,False,,0,0,https://mergr.com/company/1247,2026-09-08T12:32:04.980451+00:00
2969,Frazier Healthcare Partners,Washington,26045,"Priority Solutions International, Inc.",Distribution,"Swedesboro, New Jersey, United States",2004-02-01,Divestiture,2007-10-03,Divestiture,3.7,False,,0,0,https://mergr.com/company/26045,2026-09-08T12:32:04.980451+00:00
2969,Frazier Healthcare Partners,Washington,5765,"MedPointe Pharmaceuticals, Inc.",Life Science,"Somerset, New Jersey, United States",2001-09-01,"Buyout (LBO, MBO, MBI)",2007-07-20,Divestiture,5.8,False,,1,1,https://mergr.com/company/5765,2026-09-08T12:32:04.980451+00:00
754,Cascade Investments,Washington,49738,Signature Aviation,Business Services,"Orlando, Florida, United States",2021-02-05,Going Private,,,5.6,True,3481,1,0,https://mergr.com/company/49738,2026-09-08T12:32:04.980451+00:00
754,Cascade Investments,Washington,114217,Four Seasons Hotels,Leisure,"Toronto, Ontario, Canada",2007-02-12,"Buyout (LBO, MBO, MBI)",2014-01-01,Trade Sale - Public Company,6.8,False,,0,0,https://mergr.com/company/114217,2026-09-08T12:32:04.980451+00:00
1184,Cercano Management,Washington,330254,Nelogica,Software,"Porto Alegre, Brazil",2020-11-26,Stake Purchase,,,5.8,True,,1,0,https://mergr.com/company/330254,2026-09-08T12:32:04.980451+00:00
1184,Cercano Management,Washington,306796,Neon,Financial Services,"Belo Horizonte, Brazil",2020-09-02,Venture,,,6,True,,0,0,https://mergr.com/company/306796,2026-09-08T12:32:04.980451+00:00
1184,Cercano Management,Washington,247924,Epic Games,Digital Media,"Cary, North Carolina, United States",2018-10-26,Growth Capital,,,7.8,True,,7,2,https://mergr.com/company/247924,2026-09-08T12:32:04.980451+00:00
1184,Cercano Management,Washington,85073,Scytl,Information Technology,"Barcelona, Spain",2014-04-07,Growth Capital,2020-05-11,Bankruptcy,6.1,False,,0,0,https://mergr.com/company/85073,2026-09-08T12:32:04.980451+00:00
1184,Cercano Management,Washington,73449,TrueCar,Internet Software and Services,"Santa Monica, California, United States",2013-12-12,Growth Capital,2014-05-16,IPO,0.4,False,176,0,0,https://mergr.com/company/73449,2026-09-08T12:32:04.980451+00:00
1184,Cercano Management,Washington,80325,Flipkart,E-Commerce,"Bengaluru, India",2013-10-09,Venture,2018-05-09,Divestiture,4.6,False,,5,0,https://mergr.com/company/80325,2026-09-08T12:32:04.980451+00:00
1184,Cercano Management,Washington,80341,Zuora,Internet Software and Services,"Foster City, California, United States",2013-09-05,Venture,2018-04-12,IPO,4.6,False,432,2,0,https://mergr.com/company/80341,2026-09-08T12:32:04.980451+00:00
1184,Cercano Management,Washington,32410,"Water Pik, Inc.",Consumer Products,"Fort Collins, Colorado, United States",2013-07-09,Secondary Buyout,2017-07-17,Divestiture,4,False,265,0,0,https://mergr.com/company/32410,2026-09-08T12:32:04.980451+00:00
1184,Cercano Management,Washington,35529,"Masthead Industries, Inc.",Business Services,"Orange Park, Florida, United States",2013-01-15,Acquisition Financing,2014-07-01,Divestiture,1.4,False,102,0,0,https://mergr.com/company/35529,2026-09-08T12:32:04.980451+00:00
