owner_firm_id,owner_firm_name,owner_firm_state,company_id,company_name,sector,location,acquired_date,acquisition_type,exit_date,exit_type,hold_years,is_current,revenue_millions_usd,acquisitions_during_hold,divestitures_during_hold,mergr_url,_fetched_at
6726,Sound Growth Partners,Washington,353136,Diamond Art Club,Consumer Products,"Miami, Florida, United States",2026-08-25,Growth Capital,,,0,True,,0,0,https://mergr.com/company/353136,2026-09-08T12:32:04.980451+00:00
6726,Sound Growth Partners,Washington,347744,RK HydroVac,Business Services,"Piqua, Ohio, United States",2026-04-07,"Buyout (LBO, MBO, MBI)",,,0.4,True,,0,0,https://mergr.com/company/347744,2026-09-08T12:32:04.980451+00:00
6726,Sound Growth Partners,Washington,344130,Sports Attack,Consumer Products,"Verdi, Nevada, United States",2025-12-18,Growth Capital,,,0.7,True,,0,0,https://mergr.com/company/344130,2026-09-08T12:32:04.980451+00:00
6726,Sound Growth Partners,Washington,340351,BARS,Business Services,"Lakewood, Colorado, United States",2025-06-18,Recapitalization,,,1.2,True,,0,0,https://mergr.com/company/340351,2026-09-08T12:32:04.980451+00:00
6726,Sound Growth Partners,Washington,205872,LPi,Publishing,"New Berlin, Wisconsin, United States",2024-10-25,"Buyout (LBO, MBO, MBI)",,,1.8,True,,0,0,https://mergr.com/company/205872,2026-09-08T12:32:04.980451+00:00
6726,Sound Growth Partners,Washington,210133,Stueve Construction,Construction,"Algona, Iowa, United States",2024-10-01,"Buyout (LBO, MBO, MBI)",,,1.9,True,,0,0,https://mergr.com/company/210133,2026-09-08T12:32:04.980451+00:00
6726,Sound Growth Partners,Washington,329277,Sunny,Technology Hardware,"Lakewood, Colorado, United States",2024-09-24,Recapitalization,,,1.9,True,,0,0,https://mergr.com/company/329277,2026-09-08T12:32:04.980451+00:00
6726,Sound Growth Partners,Washington,328654,ATEK Access Technologies,Technology Hardware,"Eden Prairie, Minnesota, United States",2024-09-10,"Buyout (LBO, MBO, MBI)",,,1.9,True,,0,0,https://mergr.com/company/328654,2026-09-08T12:32:04.980451+00:00
6184,Rainier Partners,Washington,339927,Kleen-Tech Services,Business Services,"Denver, Colorado, United States",2025-09-04,Divestiture,,,1,True,,0,0,https://mergr.com/company/339927,2026-09-08T12:32:04.980451+00:00
6184,Rainier Partners,Washington,280447,WPAS,Financial Services,"Mercer Island, Washington, United States",2024-12-19,Secondary Buyout,,,1.7,True,,0,0,https://mergr.com/company/280447,2026-09-08T12:32:04.980451+00:00
6184,Rainier Partners,Washington,340244,Omega Fitness Holdings,Consumer Services,"Monona, Wisconsin, United States",2023-11-16,"Buyout (LBO, MBO, MBI)",,,2.8,True,,0,0,https://mergr.com/company/340244,2026-09-08T12:32:04.980451+00:00
6184,Rainier Partners,Washington,124665,SCI Floor Covering,Distribution,"Romulus, Michigan, United States",2023-07-11,Divestiture,,,3.1,True,,2,0,https://mergr.com/company/124665,2026-09-08T12:32:04.980451+00:00
6184,Rainier Partners,Washington,271166,Consolidated Flooring,Distribution,"Romulus, Michigan, United States",2023-07-10,Secondary Buyout,,,3.1,True,,0,1,https://mergr.com/company/271166,2026-09-08T12:32:04.980451+00:00
6184,Rainier Partners,Washington,312880,Pet Food Express,Retail,"Concord, California, United States",2022-06-08,Growth Capital,,,4.3,True,,0,0,https://mergr.com/company/312880,2026-09-08T12:32:04.980451+00:00
6184,Rainier Partners,Washington,294593,Performance Tool,Automotive,"Kent, Washington, United States",2022-01-06,Growth Capital,,,4.7,True,,1,0,https://mergr.com/company/294593,2026-09-08T12:32:04.980451+00:00
6184,Rainier Partners,Washington,283965,Calpine,Packaging,"Clovis, California, United States",2021-04-13,"Buyout (LBO, MBO, MBI)",,,5.3,True,,1,0,https://mergr.com/company/283965,2026-09-08T12:32:04.980451+00:00
