owner_firm_id,owner_firm_name,owner_firm_state,company_id,company_name,sector,location,acquired_date,acquisition_type,exit_date,exit_type,hold_years,is_current,revenue_millions_usd,acquisitions_during_hold,divestitures_during_hold,mergr_url,_fetched_at
60,Montlake Capital,Washington,17272,i4cp,Internet Software and Services,"Seattle, Washington, United States",2025-04-08,Growth Capital,,,1.4,True,4,0,0,https://mergr.com/company/17272,2026-09-08T12:32:04.980451+00:00
60,Montlake Capital,Washington,290812,SWS Equipment,Manufacturing,"Spokane Valley, Washington, United States",2021-09-23,Growth Capital,,,4.9,True,,0,0,https://mergr.com/company/290812,2026-09-08T12:32:04.980451+00:00
60,Montlake Capital,Washington,268620,Fedelta Home Care,Healthcare Services,"Seattle, Washington, United States",2020-01-29,Growth Capital,,,6.6,True,,0,0,https://mergr.com/company/268620,2026-09-08T12:32:04.980451+00:00
60,Montlake Capital,Washington,252006,Fast Water Heater,Business Services,"Bothell, Washington, United States",2018-06-26,Recapitalization,,,8.2,True,,0,0,https://mergr.com/company/252006,2026-09-08T12:32:04.980451+00:00
60,Montlake Capital,Washington,277678,AA Asphalting,Construction,"Sumner, Washington, United States",2015-01-01,Recapitalization,,,11.7,True,,0,0,https://mergr.com/company/277678,2026-09-08T12:32:04.980451+00:00
60,Montlake Capital,Washington,171637,Specified Fittings LLC,Building Materials,"Bellingham, Washington, United States",2014-07-23,Growth Capital,2019-11-15,Divestiture,5.3,False,,0,0,https://mergr.com/company/171637,2026-09-08T12:32:04.980451+00:00
60,Montlake Capital,Washington,30839,SOG,Consumer Products,"Lynnwood, Washington, United States",2011-08-11,Secondary Buyout,2021-12-20,Divestiture,10.3,False,,0,0,https://mergr.com/company/30839,2026-09-08T12:32:04.980451+00:00
60,Montlake Capital,Washington,33317,Coastal Community Bank,Financial Services,"Everett, Washington, United States",2011-04-13,Growth Capital,2018-07-16,IPO,7.3,False,405,0,0,https://mergr.com/company/33317,2026-09-08T12:32:04.980451+00:00
60,Montlake Capital,Washington,33321,"Contour, Inc.",Consumer Products,"Seattle, Washington, United States",2010-10-21,Growth Capital,,,15.8,True,,0,0,https://mergr.com/company/33321,2026-09-08T12:32:04.980451+00:00
60,Montlake Capital,Washington,17271,Blue Dog Bakery,Food,"Seattle, Washington, United States",2009-01-01,Recapitalization,,,17.7,True,,0,0,https://mergr.com/company/17271,2026-09-08T12:32:04.980451+00:00
60,Montlake Capital,Washington,12463,"VeriWave, Inc.",Information Technology,"Beaverton, Oregon, United States",2008-11-01,"Buyout (LBO, MBO, MBI)",2011-06-27,Divestiture,2.6,False,,0,0,https://mergr.com/company/12463,2026-09-08T12:32:04.980451+00:00
60,Montlake Capital,Washington,33329,"SmartRG, Inc.",Communications,"Vancouver, Washington, United States",2008-01-01,Venture,2018-12-06,Divestiture,10.9,False,,0,0,https://mergr.com/company/33329,2026-09-08T12:32:04.980451+00:00
60,Montlake Capital,Washington,517,PayScale,Software,"Seattle, Washington, United States",2007-07-31,Venture,2014-04-24,Merger,6.7,False,,0,0,https://mergr.com/company/517,2026-09-08T12:32:04.980451+00:00
60,Montlake Capital,Washington,515,Intrepid Learning Solutions,Internet Software and Services,"Seattle, Washington, United States",2006-07-28,Venture,2014-11-17,Divestiture,8.3,False,,0,0,https://mergr.com/company/515,2026-09-08T12:32:04.980451+00:00
60,Montlake Capital,Washington,513,Wellpartner,Healthcare Services,"Portland, Oregon, United States",2005-01-11,Venture,2015-06-03,Divestiture,10.3,False,17,0,0,https://mergr.com/company/513,2026-09-08T12:32:04.980451+00:00
4073,Westward Partners,Washington,325276,Globe Machine Manufacturing,Machinery,"Tacoma, Washington, United States",2024-04-04,"Buyout (LBO, MBO, MBI)",,,2.4,True,,0,0,https://mergr.com/company/325276,2026-09-08T12:32:04.980451+00:00
4073,Westward Partners,Washington,325278,Three Bears Alaska,Retail,"Wasilla, Alaska, United States",2022-03-18,Recapitalization,,,4.4,True,,0,0,https://mergr.com/company/325278,2026-09-08T12:32:04.980451+00:00
4073,Westward Partners,Washington,325280,Superfeet Worldwide,Consumer Products,"Essex, United Kingdom",2021-06-16,"Buyout (LBO, MBO, MBI)",,,5.2,True,,0,0,https://mergr.com/company/325280,2026-09-08T12:32:04.980451+00:00
4073,Westward Partners,Washington,325282,Grant Aviation,Transportation,"Anchorage, Alaska, United States",2021-02-26,"Buyout (LBO, MBO, MBI)",,,5.5,True,,0,0,https://mergr.com/company/325282,2026-09-08T12:32:04.980451+00:00
4073,Westward Partners,Washington,325286,Cascade Coffee,Consumer Products,"Everett, Washington, United States",2020-08-04,"Buyout (LBO, MBO, MBI)",,,6.1,True,,0,0,https://mergr.com/company/325286,2026-09-08T12:32:04.980451+00:00
4073,Westward Partners,Washington,249207,Osw Equipment & Repair,Automotive,"Snohomish, Washington, United States",2016-12-22,"Buyout (LBO, MBO, MBI)",2021-02-18,Divestiture,4.1,False,,2,0,https://mergr.com/company/249207,2026-09-08T12:32:04.980451+00:00
4073,Westward Partners,Washington,177062,Classic Vacuum Truck Ltd.,Business Services,"Alida, Saskatchewan, Canada",2014-02-10,"Buyout (LBO, MBO, MBI)",,,12.5,True,,0,0,https://mergr.com/company/177062,2026-09-08T12:32:04.980451+00:00
4073,Westward Partners,Washington,177063,Curtis Construction,Construction,"Kinston, North Carolina, United States",2013-08-09,"Buyout (LBO, MBO, MBI)",,,13,True,,0,0,https://mergr.com/company/177063,2026-09-08T12:32:04.980451+00:00
4073,Westward Partners,Washington,177058,Axis Crane,Business Services,"Hubbard, Oregon, United States",2013-05-20,"Buyout (LBO, MBO, MBI)",,,13.3,True,,1,0,https://mergr.com/company/177058,2026-09-08T12:32:04.980451+00:00
4073,Westward Partners,Washington,177070,Medicine Valley Transport Ltd.,Transportation,"Eckville, Alberta, Canada",2012-09-17,"Buyout (LBO, MBO, MBI)",,,13.9,True,,0,0,https://mergr.com/company/177070,2026-09-08T12:32:04.980451+00:00
4073,Westward Partners,Washington,144601,Dlm Oilfield Enterprises Ltd. ,Business Services,"Bonnyville, Alberta, Canada",2012-04-16,"Buyout (LBO, MBO, MBI)",,,14.3,True,,2,0,https://mergr.com/company/144601,2026-09-08T12:32:04.980451+00:00
4073,Westward Partners,Washington,177065,"Jmb Crushing Systems, Inc.",Business Services,"Bonnyville, Alberta, Canada",2011-06-01,"Buyout (LBO, MBO, MBI)",2018-11-22,Unknown,7.4,False,,1,0,https://mergr.com/company/177065,2026-09-08T12:32:04.980451+00:00
4073,Westward Partners,Washington,177061,Benchmark Industrial Services,Manufacturing,"Portland, Oregon, United States",2010-12-31,"Buyout (LBO, MBO, MBI)",,,15.7,True,,0,0,https://mergr.com/company/177061,2026-09-08T12:32:04.980451+00:00
5383,Arable Capital Partners,Washington,322807,Progressive Produce,Agriculture,"Los Angeles, California, United States",2024-03-14,Growth Capital,,,2.4,True,,0,0,https://mergr.com/company/322807,2026-09-08T12:32:04.980451+00:00
5383,Arable Capital Partners,Washington,317301,organicgirl,Food,"Salinas, California, United States",2023-05-30,Growth Capital,,,3.3,True,,1,0,https://mergr.com/company/317301,2026-09-08T12:32:04.980451+00:00
5383,Arable Capital Partners,Washington,286841,Royal Ridge Fruits,Agriculture,"Royal City, Washington, United States",2021-06-21,"Buyout (LBO, MBO, MBI)",,,5.2,True,,0,0,https://mergr.com/company/286841,2026-09-08T12:32:04.980451+00:00
5383,Arable Capital Partners,Washington,282035,Pacific Trellis Fruit,Agriculture,"Los Angeles, California, United States",2021-02-12,Growth Capital,,,5.5,True,,0,0,https://mergr.com/company/282035,2026-09-08T12:32:04.980451+00:00
5383,Arable Capital Partners,Washington,306380,Laurel AG & Water,Machinery,"Bakersfield, California, United States",2018-12-17,Consolidation,,,7.7,True,,3,0,https://mergr.com/company/306380,2026-09-08T12:32:04.980451+00:00
5383,Arable Capital Partners,Washington,256760,Universal Irrigation & Supply,Machinery,"Bakersfield, California, United States",2018-08-30,"Buyout (LBO, MBO, MBI)",2018-12-17,Spin Off,0.3,False,,0,0,https://mergr.com/company/256760,2026-09-08T12:32:04.980451+00:00
5383,Arable Capital Partners,Washington,252258,Lodi Pump and Irrigation,Machinery,"Lodi, California, United States",2018-07-09,"Buyout (LBO, MBO, MBI)",2018-12-17,Spin Off,0.4,False,,0,0,https://mergr.com/company/252258,2026-09-08T12:32:04.980451+00:00
5383,Arable Capital Partners,Washington,13345,Hydratec,Machinery,"Delano, California, United States",2018-04-24,Secondary Buyout,2018-12-17,Spin Off,0.6,False,,0,0,https://mergr.com/company/13345,2026-09-08T12:32:04.980451+00:00
